; Candidate 10407
; ADRP+ADD at VM 0xfffffff008d30a84 (fileoff 0x1d2ca84): page=0x1fe64e000 add_imm=0xdb1

0xfffffff008d30a04: 2004000f  movi	v0.2s, #1
0xfffffff008d30a08: 603600fd  str	d0, [x19, #0x68]
0xfffffff008d30a0c: 757200b9  str	w21, [x19, #0x70]
0xfffffff008d30a10: 8832ff90  adrp	x8, #0xfffffff007380000
0xfffffff008d30a14: 000dc23d  ldr	q0, [x8, #0x830]
0xfffffff008d30a18: 6042883c  stur	q0, [x19, #0x84]
0xfffffff008d30a1c: 8832ff90  adrp	x8, #0xfffffff007380000
0xfffffff008d30a20: 0011c23d  ldr	q0, [x8, #0x840]
0xfffffff008d30a24: 6042893c  stur	q0, [x19, #0x94]
0xfffffff008d30a28: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008d30a2c: 60420afc  stur	d0, [x19, #0xa4]
0xfffffff008d30a30: e80f8012  mov	w8, #-0x80
0xfffffff008d30a34: 68ae00b9  str	w8, [x19, #0xac]
0xfffffff008d30a38: 68c20291  add	x8, x19, #0xb0
0xfffffff008d30a3c: e91b8092  mov	x9, #-0xe0
0xfffffff008d30a40: 2a010411  add	w10, w9, #0x100
0xfffffff008d30a44: 0a4500b8  str	w10, [x8], #4
0xfffffff008d30a48: 298100b1  adds	x9, x9, #0x20
0xfffffff008d30a4c: a1ffff54  b.ne	#0xfffffff008d30a40
0xfffffff008d30a50: 00008052  mov	w0, #0
0xfffffff008d30a54: 8832ff90  adrp	x8, #0xfffffff007380000
0xfffffff008d30a58: 003144fd  ldr	d0, [x8, #0x860]
0xfffffff008d30a5c: 60c20cfc  stur	d0, [x19, #0xcc]
0xfffffff008d30a60: 081e8052  mov	w8, #0xf0
0xfffffff008d30a64: 68d600b9  str	w8, [x19, #0xd4]
0xfffffff008d30a68: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008d30a6c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008d30a70: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008d30a74: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008d30a78: ff430191  add	sp, sp, #0x50
0xfffffff008d30a7c: ff0f5fd6  retab	
0xfffffff008d30a80: e00300f9  str	x0, [sp]
0xfffffff008d30a84: 6032ffd0  adrp	x0, #0xfffffff00737e000
0xfffffff008d30a88: 00c43691  add	x0, x0, #0xdb1
0xfffffff008d30a8c: 5cfeff97  bl	#0xfffffff008d303fc
0xfffffff008d30a90: 80578052  mov	w0, #0x2bc
0xfffffff008d30a94: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008d30a98: f4ffff17  b	#0xfffffff008d30a68
0xfffffff008d30a9c: 5f2403d5  bti	c
0xfffffff008d30aa0: 00008052  mov	w0, #0
0xfffffff008d30aa4: c0035fd6  ret	
0xfffffff008d30aa8: 7f2303d5  pacibsp	
0xfffffff008d30aac: ffc307d1  sub	sp, sp, #0x1f0
0xfffffff008d30ab0: fc6f19a9  stp	x28, x27, [sp, #0x190]
0xfffffff008d30ab4: fa671aa9  stp	x26, x25, [sp, #0x1a0]
0xfffffff008d30ab8: f85f1ba9  stp	x24, x23, [sp, #0x1b0]
0xfffffff008d30abc: f6571ca9  stp	x22, x21, [sp, #0x1c0]
0xfffffff008d30ac0: f44f1da9  stp	x20, x19, [sp, #0x1d0]
0xfffffff008d30ac4: fd7b1ea9  stp	x29, x30, [sp, #0x1e0]
0xfffffff008d30ac8: fd830791  add	x29, sp, #0x1e0
0xfffffff008d30acc: f40301aa  mov	x20, x1
0xfffffff008d30ad0: f30300aa  mov	x19, x0
0xfffffff008d30ad4: a132ff90  adrp	x1, #0xfffffff007384000
0xfffffff008d30ad8: 21000791  add	x1, x1, #0x1c0
0xfffffff008d30adc: e0230191  add	x0, sp, #0x48
0xfffffff008d30ae0: 02288052  mov	w2, #0x140
0xfffffff008d30ae4: ab6fc097  bl	#0xfffffff007d4c990
0xfffffff008d30ae8: 68f64239  ldrb	w8, [x19, #0xbd]
0xfffffff008d30aec: 7a32ff90  adrp	x26, #0xfffffff00737c000
0xfffffff008d30af0: 5a1f3d91  add	x26, x26, #0xf47
0xfffffff008d30af4: e8020034  cbz	w8, #0xfffffff008d30b50
0xfffffff008d30af8: 68d643b9  ldr	w8, [x19, #0x3d4]
0xfffffff008d30afc: 681a088b  add	x8, x19, x8, lsl #6
0xfffffff008d30b00: 00510391  add	x0, x8, #0xd4
