; Candidate 9988
; ADRP+ADD at VM 0xfffffff008bdf17c (fileoff 0x1bdb17c): page=0x1fe758000 add_imm=0xcfa

0xfffffff008bdf0fc: f10309aa  mov	x17, x9
0xfffffff008bdf100: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008bdf104: 11093fd7  blraa	x8, x17
0xfffffff008bdf108: 13fbffb4  cbz	x19, #0xfffffff008bdf068
0xfffffff008bdf10c: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff008bdf110: 700240f9  ldr	x16, [x19]
0xfffffff008bdf114: f01ac1da  autda	x16, x23
0xfffffff008bdf118: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008bdf11c: e10310aa  mov	x1, x16
0xfffffff008bdf120: f00308aa  mov	x16, x8
0xfffffff008bdf124: e00313aa  mov	x0, x19
0xfffffff008bdf128: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008bdf12c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008bdf130: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008bdf134: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008bdf138: ff430191  add	sp, sp, #0x50
0xfffffff008bdf13c: ff2303d5  autibsp	
0xfffffff008bdf140: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008bdf144: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008bdf14c
0xfffffff008bdf148: 208e38d4  brk	#0xc471
0xfffffff008bdf14c: f10301aa  mov	x17, x1
0xfffffff008bdf150: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008bdf154: 110a1fd7  braa	x16, x17
0xfffffff008bdf158: c03aff90  adrp	x0, #0xfffffff007337000
0xfffffff008bdf15c: 00dc2e91  add	x0, x0, #0xbb7
0xfffffff008bdf160: ff000094  bl	#0xfffffff008bdf55c
0xfffffff008bdf164: c03aff90  adrp	x0, #0xfffffff007337000
0xfffffff008bdf168: 00643091  add	x0, x0, #0xc19
0xfffffff008bdf16c: fc000094  bl	#0xfffffff008bdf55c
0xfffffff008bdf170: c03aff90  adrp	x0, #0xfffffff007337000
0xfffffff008bdf174: 002c3291  add	x0, x0, #0xc8b
0xfffffff008bdf178: f9000094  bl	#0xfffffff008bdf55c
0xfffffff008bdf17c: c03aff90  adrp	x0, #0xfffffff007337000
0xfffffff008bdf180: 00e83391  add	x0, x0, #0xcfa
0xfffffff008bdf184: f6000094  bl	#0xfffffff008bdf55c
0xfffffff008bdf188: 5f2403d5  bti	c
0xfffffff008bdf18c: 3f200071  cmp	w1, #8
0xfffffff008bdf190: c1000054  b.ne	#0xfffffff008bdf1a8
0xfffffff008bdf194: 5f080071  cmp	w2, #2
0xfffffff008bdf198: 81000054  b.ne	#0xfffffff008bdf1a8
0xfffffff008bdf19c: 7f000071  cmp	w3, #0
0xfffffff008bdf1a0: e8079f1a  cset	w8, ne
0xfffffff008bdf1a4: 08000539  strb	w8, [x0, #0x140]
0xfffffff008bdf1a8: c875ffb0  adrp	x8, #0xfffffff007a98000
0xfffffff008bdf1ac: 08ed42f9  ldr	x8, [x8, #0x5d8]
0xfffffff008bdf1b0: 04e11691  add	x4, x8, #0x5b8
0xfffffff008bdf1b4: 10dd42f9  ldr	x16, [x8, #0x5b8]
0xfffffff008bdf1b8: f10304aa  mov	x17, x4
0xfffffff008bdf1bc: 91c0fcf2  movk	x17, #0xe604, lsl #48
0xfffffff008bdf1c0: 110a1fd7  braa	x16, x17
0xfffffff008bdf1c4: 7f2303d5  pacibsp	
0xfffffff008bdf1c8: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008bdf1cc: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008bdf1d0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008bdf1d4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008bdf1d8: fdc30091  add	x29, sp, #0x30
0xfffffff008bdf1dc: ff0311d1  sub	sp, sp, #0x440
0xfffffff008bdf1e0: f60304aa  mov	x22, x4
0xfffffff008bdf1e4: f70303aa  mov	x23, x3
0xfffffff008bdf1e8: f50302aa  mov	x21, x2
0xfffffff008bdf1ec: f40301aa  mov	x20, x1
0xfffffff008bdf1f0: f30300aa  mov	x19, x0
0xfffffff008bdf1f4: c875ffb0  adrp	x8, #0xfffffff007a98000
0xfffffff008bdf1f8: 08f142f9  ldr	x8, [x8, #0x5e0]
