; Candidate 15239
; ADRP+ADD at VM 0xfffffff009b42adc (fileoff 0x2b3eadc): page=0x1fdae6000 add_imm=0xed0

0xfffffff009b42a5c: 40000054  b.eq	#0xfffffff009b42a64
0xfffffff009b42a60: 408e38d4  brk	#0xc472
0xfffffff009b42a64: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b42a68: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b42a6c: e00313aa  mov	x0, x19
0xfffffff009b42a70: 010080d2  mov	x1, #0
0xfffffff009b42a74: f10308aa  mov	x17, x8
0xfffffff009b42a78: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b42a7c: 31093fd7  blraa	x9, x17
0xfffffff009b42a80: f50300aa  mov	x21, x0
0xfffffff009b42a84: 700240f9  ldr	x16, [x19]
0xfffffff009b42a88: f10313aa  mov	x17, x19
0xfffffff009b42a8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b42a90: 301ac1da  autda	x16, x17
0xfffffff009b42a94: f10310aa  mov	x17, x16
0xfffffff009b42a98: f147c1da  xpacd	x17
0xfffffff009b42a9c: 1f0211eb  cmp	x16, x17
0xfffffff009b42aa0: 40000054  b.eq	#0xfffffff009b42aa8
0xfffffff009b42aa4: 408e38d4  brk	#0xc472
0xfffffff009b42aa8: 08620891  add	x8, x16, #0x218
0xfffffff009b42aac: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b42ab0: e00313aa  mov	x0, x19
0xfffffff009b42ab4: 010080d2  mov	x1, #0
0xfffffff009b42ab8: f10308aa  mov	x17, x8
0xfffffff009b42abc: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b42ac0: 31093fd7  blraa	x9, x17
0xfffffff009b42ac4: 28d7fef0  adrp	x8, #0xfffffff007629000
0xfffffff009b42ac8: 08552891  add	x8, x8, #0xa15
0xfffffff009b42acc: 29d7fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b42ad0: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b42ad4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b42ad8: f50300a9  stp	x21, x0, [sp]
0xfffffff009b42adc: 20d7fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b42ae0: 00403b91  add	x0, x0, #0xed0
0xfffffff009b42ae4: 43d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b42ae8: 63a42791  add	x3, x3, #0x9e9
0xfffffff009b42aec: e10314aa  mov	x1, x20
0xfffffff009b42af0: 02028052  mov	w2, #0x10
0xfffffff009b42af4: 8fc19f97  bl	#0xfffffff008333130
0xfffffff009b42af8: 00008052  mov	w0, #0
0xfffffff009b42afc: e8000014  b	#0xfffffff009b42e9c
0xfffffff009b42b00: 88020012  and	w8, w20, #1
0xfffffff009b42b04: 08791f53  lsl	w8, w8, #1
0xfffffff009b42b08: 14011f52  eor	w20, w8, #2
0xfffffff009b42b0c: 700240f9  ldr	x16, [x19]
0xfffffff009b42b10: f10313aa  mov	x17, x19
0xfffffff009b42b14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b42b18: 301ac1da  autda	x16, x17
0xfffffff009b42b1c: 113d80d2  mov	x17, #0x1e8
0xfffffff009b42b20: 1002118b  add	x16, x16, x17
0xfffffff009b42b24: 080240f9  ldr	x8, [x16]
0xfffffff009b42b28: e90310aa  mov	x9, x16
0xfffffff009b42b2c: e00313aa  mov	x0, x19
0xfffffff009b42b30: 010080d2  mov	x1, #0
0xfffffff009b42b34: f10309aa  mov	x17, x9
0xfffffff009b42b38: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b42b3c: 11093fd7  blraa	x8, x17
0xfffffff009b42b40: 700240f9  ldr	x16, [x19]
0xfffffff009b42b44: f10313aa  mov	x17, x19
0xfffffff009b42b48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b42b4c: 301ac1da  autda	x16, x17
0xfffffff009b42b50: 114380d2  mov	x17, #0x218
0xfffffff009b42b54: 1002118b  add	x16, x16, x17
0xfffffff009b42b58: 080240f9  ldr	x8, [x16]
