; Candidate 817
; ADRP+ADD at VM 0xfffffff0080c8864 (fileoff 0x10c4864): page=0x1fefc3000 add_imm=0xd5e

0xfffffff0080c87e4: e2031eaa  mov	x2, x30
0xfffffff0080c87e8: e243c1da  xpaci	x2
0xfffffff0080c87ec: c1000034  cbz	w1, #0xfffffff0080c8804
0xfffffff0080c87f0: 084c42b9  ldr	w8, [x0, #0x24c]
0xfffffff0080c87f4: 1f010071  cmp	w8, #0
0xfffffff0080c87f8: 6d030054  b.le	#0xfffffff0080c8864
0xfffffff0080c87fc: 08050051  sub	w8, w8, #1
0xfffffff0080c8800: 084c02b9  str	w8, [x0, #0x24c]
0xfffffff0080c8804: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff0080c8808: a80300b4  cbz	x8, #0xfffffff0080c887c
0xfffffff0080c880c: 09844a39  ldrb	w9, [x0, #0x2a1]
0xfffffff0080c8810: 090c098b  add	x9, x0, x9, lsl #3
0xfffffff0080c8814: 224101f9  str	x2, [x9, #0x280]
0xfffffff0080c8818: 09844a39  ldrb	w9, [x0, #0x2a1]
0xfffffff0080c881c: 29050011  add	w9, w9, #1
0xfffffff0080c8820: 29050012  and	w9, w9, #3
0xfffffff0080c8824: 09840a39  strb	w9, [x0, #0x2a1]
0xfffffff0080c8828: 81d038d5  mrs	x1, tpidr_el1
0xfffffff0080c882c: 09210091  add	x9, x8, #8
0xfffffff0080c8830: 2a1844b9  ldr	w10, [x1, #0x418]
0xfffffff0080c8834: e2030aaa  mov	x2, x10
0xfffffff0080c8838: 3ffda288  casl	w2, wzr, [x9]
0xfffffff0080c883c: 5f000a6b  cmp	w2, w10
0xfffffff0080c8840: c1000054  b.ne	#0xfffffff0080c8858
0xfffffff0080c8844: 00008052  mov	w0, #0
0xfffffff0080c8848: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0080c884c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0080c8850: ff430191  add	sp, sp, #0x50
0xfffffff0080c8854: ff0f5fd6  retab	
0xfffffff0080c8858: e00308aa  mov	x0, x8
0xfffffff0080c885c: c28ff397  bl	#0xfffffff007dac764
0xfffffff0080c8860: f9ffff17  b	#0xfffffff0080c8844
0xfffffff0080c8864: 007efff0  adrp	x0, #0xfffffff00708b000
0xfffffff0080c8868: 00783591  add	x0, x0, #0xd5e
0xfffffff0080c886c: 617dffb0  adrp	x1, #0xfffffff007075000
0xfffffff0080c8870: 21d82991  add	x1, x1, #0xa76
0xfffffff0080c8874: a2468152  mov	w2, #0xa35
0xfffffff0080c8878: e75b0f94  bl	#0xfffffff00849f814
0xfffffff0080c887c: f30300aa  mov	x19, x0
0xfffffff0080c8880: f40302aa  mov	x20, x2
0xfffffff0080c8884: 336d0594  bl	#0xfffffff008223d50
0xfffffff0080c8888: 48478152  mov	w8, #0xa3a
0xfffffff0080c888c: 697dffb0  adrp	x9, #0xfffffff007075000
0xfffffff0080c8890: 29d12b91  add	x9, x9, #0xaf4
0xfffffff0080c8894: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0080c8898: e80b01d0  adrp	x8, #0xfffffff00a246000
0xfffffff0080c889c: 08210e91  add	x8, x8, #0x388
0xfffffff0080c88a0: 697dffb0  adrp	x9, #0xfffffff007075000
0xfffffff0080c88a4: 29c93091  add	x9, x9, #0xc32
0xfffffff0080c88a8: f42301a9  stp	x20, x8, [sp, #0x10]
0xfffffff0080c88ac: e94f00a9  stp	x9, x19, [sp]
0xfffffff0080c88b0: c07dffd0  adrp	x0, #0xfffffff007082000
0xfffffff0080c88b4: 00683c91  add	x0, x0, #0xf1a
0xfffffff0080c88b8: 152f0f94  bl	#0xfffffff00849450c
0xfffffff0080c88bc: 7f2303d5  pacibsp	
0xfffffff0080c88c0: ffc301d1  sub	sp, sp, #0x70
0xfffffff0080c88c4: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff0080c88c8: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0080c88cc: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0080c88d0: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0080c88d4: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0080c88d8: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0080c88dc: fd830191  add	x29, sp, #0x60
0xfffffff0080c88e0: f50305aa  mov	x21, x5
