; Candidate 5055
; ADRP+ADD at VM 0xfffffff0087d51e8 (fileoff 0x17d11e8): page=0x1fea14000 add_imm=0xe80

0xfffffff0087d5168: 9a990294  bl	#0xfffffff00887b7d0
0xfffffff0087d516c: e0040034  cbz	w0, #0xfffffff0087d5208
0xfffffff0087d5170: 600e8052  mov	w0, #0x73
0xfffffff0087d5174: a9990294  bl	#0xfffffff00887b818
0xfffffff0087d5178: f80300aa  mov	x24, x0
0xfffffff0087d517c: 0c7c0394  bl	#0xfffffff0088b41ac
0xfffffff0087d5180: f70300aa  mov	x23, x0
0xfffffff0087d5184: c0008052  mov	w0, #6
0xfffffff0087d5188: b2990294  bl	#0xfffffff00887b850
0xfffffff0087d518c: 98010034  cbz	w24, #0xfffffff0087d51bc
0xfffffff0087d5190: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087d5194: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5198: 08f92791  add	x8, x8, #0x9fe
0xfffffff0087d519c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087d51a0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087d51a4: 680e8052  mov	w8, #0x73
0xfffffff0087d51a8: e051ff90  adrp	x0, #0xfffffff007211000
0xfffffff0087d51ac: 006c2791  add	x0, x0, #0x9db
0xfffffff0087d51b0: f72300a9  stp	x23, x8, [sp]
0xfffffff0087d51b4: ab88d797  bl	#0xfffffff007db7460
0xfffffff0087d51b8: 14000014  b	#0xfffffff0087d5208
0xfffffff0087d51bc: fc7b0394  bl	#0xfffffff0088b41ac
0xfffffff0087d51c0: f70300aa  mov	x23, x0
0xfffffff0087d51c4: c0008052  mov	w0, #6
0xfffffff0087d51c8: a2990294  bl	#0xfffffff00887b850
0xfffffff0087d51cc: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff0087d51d0: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d51d4: 08f92791  add	x8, x8, #0x9fe
0xfffffff0087d51d8: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087d51dc: 680e8052  mov	w8, #0x73
0xfffffff0087d51e0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d51e4: f70300f9  str	x23, [sp]
0xfffffff0087d51e8: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d51ec: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d51f0: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d51f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d51f8: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d51fc: 63841691  add	x3, x3, #0x5a1
0xfffffff0087d5200: 02008052  mov	w2, #0
0xfffffff0087d5204: cb77ed97  bl	#0xfffffff008333130
0xfffffff0087d5208: c85e40f9  ldr	x8, [x22, #0xb8]
0xfffffff0087d520c: c80200b4  cbz	x8, #0xfffffff0087d5264
0xfffffff0087d5210: 8891fff0  adrp	x8, #0xfffffff007a08000
0xfffffff0087d5214: 080d42f9  ldr	x8, [x8, #0x418]
0xfffffff0087d5218: 010140f9  ldr	x1, [x8]
0xfffffff0087d521c: e00314aa  mov	x0, x20
0xfffffff0087d5220: b53aec97  bl	#0xfffffff0082e3cf4
0xfffffff0087d5224: a00500b4  cbz	x0, #0xfffffff0087d52d8
0xfffffff0087d5228: f70300aa  mov	x23, x0
0xfffffff0087d522c: 100040f9  ldr	x16, [x0]
0xfffffff0087d5230: f10300aa  mov	x17, x0
0xfffffff0087d5234: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d5238: 301ac1da  autda	x16, x17
0xfffffff0087d523c: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff0087d5240: e90310aa  mov	x9, x16
0xfffffff0087d5244: f10309aa  mov	x17, x9
0xfffffff0087d5248: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff0087d524c: 11093fd7  blraa	x8, x17
0xfffffff0087d5250: c05e40f9  ldr	x0, [x22, #0xb8]
0xfffffff0087d5254: e10317aa  mov	x1, x23
0xfffffff0087d5258: cf460094  bl	#0xfffffff0087e6d94
0xfffffff0087d525c: 16008052  mov	w22, #0
0xfffffff0087d5260: 56000014  b	#0xfffffff0087d53b8
0xfffffff0087d5264: 600e8052  mov	w0, #0x73
