; Candidate 16588
; ADRP+ADD at VM 0xfffffff009ef9134 (fileoff 0x2ef5134): page=0x1fd953000 add_imm=0xd88

0xfffffff009ef90b4: fd430491  add	x29, sp, #0x110
0xfffffff009ef90b8: f50303aa  mov	x21, x3
0xfffffff009ef90bc: f30302aa  mov	x19, x2
0xfffffff009ef90c0: f60301aa  mov	x22, x1
0xfffffff009ef90c4: f40300aa  mov	x20, x0
0xfffffff009ef90c8: ffff02a9  stp	xzr, xzr, [sp, #0x28]
0xfffffff009ef90cc: f7030191  add	x23, sp, #0x40
0xfffffff009ef90d0: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff009ef90d4: e0a30091  add	x0, sp, #0x28
0xfffffff009ef90d8: 01008052  mov	w1, #0
0xfffffff009ef90dc: 02038052  mov	w2, #0x18
0xfffffff009ef90e0: b84e7997  bl	#0xfffffff007d4cbc0
0xfffffff009ef90e4: f31b00f9  str	x19, [sp, #0x30]
0xfffffff009ef90e8: c8608052  mov	w8, #0x306
0xfffffff009ef90ec: 0803a072  movk	w8, #0x18, lsl #16
0xfffffff009ef90f0: e82b00b9  str	w8, [sp, #0x28]
0xfffffff009ef90f4: 39008052  mov	w25, #1
0xfffffff009ef90f8: e2a30091  add	x2, sp, #0x28
0xfffffff009ef90fc: e00314aa  mov	x0, x20
0xfffffff009ef9100: 21008052  mov	w1, #1
0xfffffff009ef9104: e30315aa  mov	x3, x21
0xfffffff009ef9108: cdc1ff97  bl	#0xfffffff009ee983c
0xfffffff009ef910c: 98cafef0  adrp	x24, #0xfffffff00784c000
0xfffffff009ef9110: 18f73691  add	x24, x24, #0xdbd
0xfffffff009ef9114: 60010034  cbz	w0, #0xfffffff009ef9140
0xfffffff009ef9118: 083e8452  mov	w8, #0x21f0
0xfffffff009ef911c: 8802088b  add	x8, x20, x8
0xfffffff009ef9120: e91b40f9  ldr	x9, [sp, #0x30]
0xfffffff009ef9124: e98301a9  stp	x9, x0, [sp, #0x18]
0xfffffff009ef9128: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ef912c: 88408752  mov	w8, #0x3a04
0xfffffff009ef9130: f82300a9  stp	x24, x8, [sp]
0xfffffff009ef9134: 80cafef0  adrp	x0, #0xfffffff00784c000
0xfffffff009ef9138: 00203691  add	x0, x0, #0xd88
0xfffffff009ef913c: e219fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ef9140: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff009ef9144: e08203ad  stp	q0, q0, [x23, #0x70]
0xfffffff009ef9148: e08304ad  stp	q0, q0, [sp, #0x90]
0xfffffff009ef914c: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff009ef9150: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff009ef9154: e013803d  str	q0, [sp, #0x40]
0xfffffff009ef9158: e0030191  add	x0, sp, #0x40
0xfffffff009ef915c: 01008052  mov	w1, #0
0xfffffff009ef9160: 02128052  mov	w2, #0x90
0xfffffff009ef9164: 974e7997  bl	#0xfffffff007d4cbc0
0xfffffff009ef9168: f45b04a9  stp	x20, x22, [sp, #0x40]
0xfffffff009ef916c: ff4f05a9  stp	xzr, x19, [sp, #0x50]
0xfffffff009ef9170: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff009ef9174: ff3b00f9  str	xzr, [sp, #0x70]
0xfffffff009ef9178: f9920878  sturh	w25, [x23, #0x89]
0xfffffff009ef917c: f54700f9  str	x21, [sp, #0x88]
0xfffffff009ef9180: e0030191  add	x0, sp, #0x40
0xfffffff009ef9184: dceeff97  bl	#0xfffffff009ef4cf4
0xfffffff009ef9188: 40010034  cbz	w0, #0xfffffff009ef91b0
0xfffffff009ef918c: 083e8452  mov	w8, #0x21f0
0xfffffff009ef9190: 8802088b  add	x8, x20, x8
0xfffffff009ef9194: f38301a9  stp	x19, x0, [sp, #0x18]
0xfffffff009ef9198: a9418752  mov	w9, #0x3a0d
0xfffffff009ef919c: f82700a9  stp	x24, x9, [sp]
0xfffffff009ef91a0: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ef91a4: 80cafef0  adrp	x0, #0xfffffff00784c000
0xfffffff009ef91a8: 00783791  add	x0, x0, #0xdde
0xfffffff009ef91ac: c619fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ef91b0: fd7b51a9  ldp	x29, x30, [sp, #0x110]
