; Candidate 3492
; ADRP+ADD at VM 0xfffffff008742294 (fileoff 0x173e294): page=0x1fe9ef000 add_imm=0xd90

0xfffffff008742214: 016d40b3  bfxil	x1, x8, #0, #0x1c
0xfffffff008742218: e14e40b3  bfxil	x1, x23, #0, #0x14
0xfffffff00874221c: 00018052  mov	w0, #8
0xfffffff008742220: 003da672  movk	w0, #0x31e8, lsl #16
0xfffffff008742224: 050080d2  mov	x5, #0
0xfffffff008742228: 37efe897  bl	#0xfffffff00817df04
0xfffffff00874222c: 480340f9  ldr	x8, [x26]
0xfffffff008742230: 000540f9  ldr	x0, [x8, #8]
0xfffffff008742234: 29daff97  bl	#0xfffffff008738ad8
0xfffffff008742238: e8a340b9  ldr	w8, [sp, #0xa0]
0xfffffff00874223c: 18210553  ubfx	w24, w8, #5, #4
0xfffffff008742240: 1f130071  cmp	w24, #4
0xfffffff008742244: a8030054  b.hi	#0xfffffff0087422b8
0xfffffff008742248: 1c008052  mov	w28, #0
0xfffffff00874224c: f00318aa  mov	x16, x24
0xfffffff008742250: 1f1200f1  cmp	x16, #4
0xfffffff008742254: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008742258: 11000090  adrp	x17, #0xfffffff008742000
0xfffffff00874225c: 31f21391  add	x17, x17, #0x4fc
0xfffffff008742260: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008742264: 11000010  adr	x17, #0xfffffff008742264
0xfffffff008742268: 3002108b  add	x16, x17, x16
0xfffffff00874226c: 00021fd6  br	x16
0xfffffff008742270: 9f2403d5  bti	j
0xfffffff008742274: 097d1053  lsr	w9, w8, #0x10
0xfffffff008742278: 08350a53  ubfx	w8, w8, #0xa, #4
0xfffffff00874227c: eaa740b9  ldr	w10, [sp, #0xa4]
0xfffffff008742280: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff008742284: e9cf00a9  stp	x9, x19, [sp, #8]
0xfffffff008742288: a850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff00874228c: 08a13891  add	x8, x8, #0xe28
0xfffffff008742290: e80300f9  str	x8, [sp]
0xfffffff008742294: 604ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008742298: 00403691  add	x0, x0, #0xd90
0xfffffff00874229c: c195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087422a0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087422a4: e34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff0087422a8: 63bc3b91  add	x3, x3, #0xeef
0xfffffff0087422ac: 02008052  mov	w2, #0
0xfffffff0087422b0: a0c3ef97  bl	#0xfffffff008333130
0xfffffff0087422b4: 42000014  b	#0xfffffff0087423bc
0xfffffff0087422b8: 9f2403d5  bti	j
0xfffffff0087422bc: 087d1053  lsr	w8, w8, #0x10
0xfffffff0087422c0: e9a740b9  ldr	w9, [sp, #0xa4]
0xfffffff0087422c4: e9e301a9  stp	x9, x24, [sp, #0x18]
0xfffffff0087422c8: ea0313aa  mov	x10, x19
0xfffffff0087422cc: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff0087422d0: a950ffb0  adrp	x9, #0xfffffff007157000
0xfffffff0087422d4: 29a13891  add	x9, x9, #0xe28
0xfffffff0087422d8: e90300f9  str	x9, [sp]
0xfffffff0087422dc: 604ffff0  adrp	x0, #0xfffffff007131000
0xfffffff0087422e0: 00403691  add	x0, x0, #0xd90
0xfffffff0087422e4: c195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087422e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087422ec: e34fff90  adrp	x3, #0xfffffff00713e000
0xfffffff0087422f0: 63fc3e91  add	x3, x3, #0xfbf
0xfffffff0087422f4: 02008052  mov	w2, #0
0xfffffff0087422f8: 8ec3ef97  bl	#0xfffffff008333130
0xfffffff0087422fc: 18008052  mov	w24, #0
0xfffffff008742300: 1c008052  mov	w28, #0
0xfffffff008742304: f706f836  tbz	w23, #0x1f, #0xfffffff0087423e0
0xfffffff008742308: 6d000014  b	#0xfffffff0087424bc
0xfffffff00874230c: 9f2403d5  bti	j
0xfffffff008742310: 097d1053  lsr	w9, w8, #0x10
