; Candidate 10169
; ADRP+ADD at VM 0xfffffff008cbb6e0 (fileoff 0x1cb76e0): page=0x1fe69e000 add_imm=0xd7b

0xfffffff008cbb660: 09ce43f9  ldr	x9, [x16, #0x798]
0xfffffff008cbb664: e2a30191  add	x2, sp, #0x68
0xfffffff008cbb668: e00313aa  mov	x0, x19
0xfffffff008cbb66c: a1008052  mov	w1, #5
0xfffffff008cbb670: 23028052  mov	w3, #0x11
0xfffffff008cbb674: f10308aa  mov	x17, x8
0xfffffff008cbb678: d1bbe8f2  movk	x17, #0x45de, lsl #48
0xfffffff008cbb67c: 31093fd7  blraa	x9, x17
0xfffffff008cbb680: 60030034  cbz	w0, #0xfffffff008cbb6ec
0xfffffff008cbb684: 280340b9  ldr	w8, [x25]
0xfffffff008cbb688: 28031836  tbz	w8, #3, #0xfffffff008cbb6ec
0xfffffff008cbb68c: 09050012  and	w9, w8, #3
0xfffffff008cbb690: e9020034  cbz	w9, #0xfffffff008cbb6ec
0xfffffff008cbb694: 48020036  tbz	w8, #0, #0xfffffff008cbb6dc
0xfffffff008cbb698: 0e63c897  bl	#0xfffffff007ed42d0
0xfffffff008cbb69c: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff008cbb6a0: e1830191  add	x1, sp, #0x60
0xfffffff008cbb6a4: 6764c897  bl	#0xfffffff007ed4840
0xfffffff008cbb6a8: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008cbb6ac: 08fd43d3  lsr	x8, x8, #3
0xfffffff008cbb6b0: e9f99ed2  mov	x9, #0xf7cf
0xfffffff008cbb6b4: 696abcf2  movk	x9, #0xe353, lsl #16
0xfffffff008cbb6b8: a974d3f2  movk	x9, #0x9ba5, lsl #32
0xfffffff008cbb6bc: 8918e4f2  movk	x9, #0x20c4, lsl #48
0xfffffff008cbb6c0: 087dc99b  umulh	x8, x8, x9
0xfffffff008cbb6c4: 08fd44d3  lsr	x8, x8, #4
0xfffffff008cbb6c8: e80300f9  str	x8, [sp]
0xfffffff008cbb6cc: e034ffd0  adrp	x0, #0xfffffff007359000
0xfffffff008cbb6d0: 002c3591  add	x0, x0, #0xd4b
0xfffffff008cbb6d4: 9fcfde97  bl	#0xfffffff00846f550
0xfffffff008cbb6d8: 280340b9  ldr	w8, [x25]
0xfffffff008cbb6dc: 88000836  tbz	w8, #1, #0xfffffff008cbb6ec
0xfffffff008cbb6e0: e034ffd0  adrp	x0, #0xfffffff007359000
0xfffffff008cbb6e4: 00ec3591  add	x0, x0, #0xd7b
0xfffffff008cbb6e8: 4e6eda97  bl	#0xfffffff008357020
0xfffffff008cbb6ec: e093c63c  ldur	q0, [sp, #0x69]
0xfffffff008cbb6f0: e023803d  str	q0, [sp, #0x80]
0xfffffff008cbb6f4: e0030291  add	x0, sp, #0x80
0xfffffff008cbb6f8: e1430291  add	x1, sp, #0x90
0xfffffff008cbb6fc: 51ded997  bl	#0xfffffff008333040
0xfffffff008cbb700: 700240f9  ldr	x16, [x19]
0xfffffff008cbb704: f10313aa  mov	x17, x19
0xfffffff008cbb708: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008cbb70c: 301ac1da  autda	x16, x17
0xfffffff008cbb710: 080e4df8  ldr	x8, [x16, #0xd0]!
0xfffffff008cbb714: e90310aa  mov	x9, x16
0xfffffff008cbb718: e134ffd0  adrp	x1, #0xfffffff007359000
0xfffffff008cbb71c: 21903691  add	x1, x1, #0xda4
0xfffffff008cbb720: e2430291  add	x2, sp, #0x90
0xfffffff008cbb724: e00313aa  mov	x0, x19
0xfffffff008cbb728: f10309aa  mov	x17, x9
0xfffffff008cbb72c: 9102e3f2  movk	x17, #0x1814, lsl #48
0xfffffff008cbb730: 11093fd7  blraa	x8, x17
0xfffffff008cbb734: 280340b9  ldr	w8, [x25]
0xfffffff008cbb738: 88031836  tbz	w8, #3, #0xfffffff008cbb7a8
0xfffffff008cbb73c: 09050012  and	w9, w8, #3
0xfffffff008cbb740: 49030034  cbz	w9, #0xfffffff008cbb7a8
0xfffffff008cbb744: 68020036  tbz	w8, #0, #0xfffffff008cbb790
0xfffffff008cbb748: e262c897  bl	#0xfffffff007ed42d0
0xfffffff008cbb74c: ff3300f9  str	xzr, [sp, #0x60]
0xfffffff008cbb750: e1830191  add	x1, sp, #0x60
0xfffffff008cbb754: 3b64c897  bl	#0xfffffff007ed4840
0xfffffff008cbb758: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff008cbb75c: 08fd43d3  lsr	x8, x8, #3
