; Candidate 12709
; ADRP+ADD at VM 0xfffffff009126104 (fileoff 0x2122104): page=0x11ee000 add_imm=0xe88

0xfffffff009126084: 1fac00b9  str	wzr, [x0, #0xac]
0xfffffff009126088: 1f040339  strb	wzr, [x0, #0xc1]
0xfffffff00912608c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009126090: ff0f5fd6  retab	
0xfffffff009126094: 5f2403d5  bti	c
0xfffffff009126098: 59b8ff17  b	#0xfffffff0091141fc
0xfffffff00912609c: 5f2403d5  bti	c
0xfffffff0091260a0: 57b8ff17  b	#0xfffffff0091141fc
0xfffffff0091260a4: 7f2303d5  pacibsp	
0xfffffff0091260a8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0091260ac: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0091260b0: fd430091  add	x29, sp, #0x10
0xfffffff0091260b4: f30300aa  mov	x19, x0
0xfffffff0091260b8: 51b8ff97  bl	#0xfffffff0091141fc
0xfffffff0091260bc: a051fff0  adrp	x0, #0xfffffff007b5d000
0xfffffff0091260c0: 00e02591  add	x0, x0, #0x978
0xfffffff0091260c4: e10313aa  mov	x1, x19
0xfffffff0091260c8: 021c8052  mov	w2, #0xe0
0xfffffff0091260cc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0091260d0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0091260d4: ff2303d5  autibsp	
0xfffffff0091260d8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0091260dc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0091260e4
0xfffffff0091260e0: 208e38d4  brk	#0xc471
0xfffffff0091260e4: 6e05c717  b	#0xfffffff0082e769c
0xfffffff0091260e8: 5f2403d5  bti	c
0xfffffff0091260ec: e20301aa  mov	x2, x1
0xfffffff0091260f0: e10300aa  mov	x1, x0
0xfffffff0091260f4: a051fff0  adrp	x0, #0xfffffff007b5d000
0xfffffff0091260f8: 00e02591  add	x0, x0, #0x978
0xfffffff0091260fc: 6805c717  b	#0xfffffff0082e769c
0xfffffff009126100: 5f2403d5  bti	c
0xfffffff009126104: 608f00d0  adrp	x0, #0xfffffff00a314000
0xfffffff009126108: 00203a91  add	x0, x0, #0xe88
0xfffffff00912610c: c0035fd6  ret	
0xfffffff009126110: 7f2303d5  pacibsp	
0xfffffff009126114: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009126118: fd030091  mov	x29, sp
0xfffffff00912611c: 811afff0  adrp	x1, #0xfffffff007479000
0xfffffff009126120: 21903e91  add	x1, x1, #0xfa4
0xfffffff009126124: 628f00d0  adrp	x2, #0xfffffff00a314000
0xfffffff009126128: 42a02e91  add	x2, x2, #0xba8
0xfffffff00912612c: 031c8052  mov	w3, #0xe0
0xfffffff009126130: 82f6c697  bl	#0xfffffff0082e3b38
0xfffffff009126134: 9051fff0  adrp	x16, #0xfffffff007b59000
0xfffffff009126138: 10a21391  add	x16, x16, #0x4e8
0xfffffff00912613c: 10420091  add	x16, x16, #0x10
0xfffffff009126140: f10300aa  mov	x17, x0
0xfffffff009126144: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009126148: 300ac1da  pacda	x16, x17
0xfffffff00912614c: 100000f9  str	x16, [x0]
0xfffffff009126150: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009126154: ff0f5fd6  retab	
0xfffffff009126158: 7f2303d5  pacibsp	
0xfffffff00912615c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009126160: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009126164: fd430091  add	x29, sp, #0x10
0xfffffff009126168: a051fff0  adrp	x0, #0xfffffff007b5d000
0xfffffff00912616c: 00e02591  add	x0, x0, #0x978
0xfffffff009126170: 011c8052  mov	w1, #0xe0
0xfffffff009126174: 3105c797  bl	#0xfffffff0082e7638
0xfffffff009126178: f30300aa  mov	x19, x0
0xfffffff00912617c: 748f00d0  adrp	x20, #0xfffffff00a314000
0xfffffff009126180: 94223a91  add	x20, x20, #0xe88
