; Candidate 2522
; ADRP+ADD at VM 0xfffffff0086aa320 (fileoff 0x16a6320): page=0x1c2f000 add_imm=0xea8

0xfffffff0086aa2a0: e10313aa  mov	x1, x19
0xfffffff0086aa2a4: f10309aa  mov	x17, x9
0xfffffff0086aa2a8: 71fef3f2  movk	x17, #0x9ff3, lsl #48
0xfffffff0086aa2ac: 11093fd7  blraa	x8, x17
0xfffffff0086aa2b0: a01e0012  and	w0, w21, #0xff
0xfffffff0086aa2b4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086aa2b8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086aa2bc: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0086aa2c0: ff0f5fd6  retab	
0xfffffff0086aa2c4: 5f2403d5  bti	c
0xfffffff0086aa2c8: 0be9f017  b	#0xfffffff0082e46f4
0xfffffff0086aa2cc: 7f2303d5  pacibsp	
0xfffffff0086aa2d0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086aa2d4: fd030091  mov	x29, sp
0xfffffff0086aa2d8: 60e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086aa2dc: 00a03a91  add	x0, x0, #0xea8
0xfffffff0086aa2e0: 0154ff90  adrp	x1, #0xfffffff00712a000
0xfffffff0086aa2e4: 21c03691  add	x1, x1, #0xdb0
0xfffffff0086aa2e8: 62e100f0  adrp	x2, #0xfffffff00a2d9000
0xfffffff0086aa2ec: 42002591  add	x2, x2, #0x940
0xfffffff0086aa2f0: 031e8052  mov	w3, #0xf0
0xfffffff0086aa2f4: 11e6f097  bl	#0xfffffff0082e3b38
0xfffffff0086aa2f8: 309affd0  adrp	x16, #0xfffffff0079f0000
0xfffffff0086aa2fc: 10e20391  add	x16, x16, #0xf8
0xfffffff0086aa300: 10420091  add	x16, x16, #0x10
0xfffffff0086aa304: f10300aa  mov	x17, x0
0xfffffff0086aa308: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086aa30c: 300ac1da  pacda	x16, x17
0xfffffff0086aa310: 100000f9  str	x16, [x0]
0xfffffff0086aa314: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086aa318: ff0f5fd6  retab	
0xfffffff0086aa31c: 5f2403d5  bti	c
0xfffffff0086aa320: 60e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086aa324: 00a03a91  add	x0, x0, #0xea8
0xfffffff0086aa328: f3e8f017  b	#0xfffffff0082e46f4
0xfffffff0086aa32c: 7f2303d5  pacibsp	
0xfffffff0086aa330: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086aa334: fd030091  mov	x29, sp
0xfffffff0086aa338: 0154ff90  adrp	x1, #0xfffffff00712a000
0xfffffff0086aa33c: 21a83891  add	x1, x1, #0xe2a
0xfffffff0086aa340: c299ffb0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086aa344: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff0086aa348: 031d8052  mov	w3, #0xe8
0xfffffff0086aa34c: fbe5f097  bl	#0xfffffff0082e3b38
0xfffffff0086aa350: 309affd0  adrp	x16, #0xfffffff0079f0000
0xfffffff0086aa354: 10621d91  add	x16, x16, #0x758
0xfffffff0086aa358: 10420091  add	x16, x16, #0x10
0xfffffff0086aa35c: f10300aa  mov	x17, x0
0xfffffff0086aa360: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086aa364: 300ac1da  pacda	x16, x17
0xfffffff0086aa368: 100000f9  str	x16, [x0]
0xfffffff0086aa36c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086aa370: ff0f5fd6  retab	
0xfffffff0086aa374: 5f2403d5  bti	c
0xfffffff0086aa378: dfe8f017  b	#0xfffffff0082e46f4
0xfffffff0086aa37c: 7f2303d5  pacibsp	
0xfffffff0086aa380: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086aa384: fd030091  mov	x29, sp
0xfffffff0086aa388: d866f397  bl	#0xfffffff008383ee8
0xfffffff0086aa38c: 309affd0  adrp	x16, #0xfffffff0079f0000
0xfffffff0086aa390: 10420691  add	x16, x16, #0x190
0xfffffff0086aa394: 10420091  add	x16, x16, #0x10
0xfffffff0086aa398: f10300aa  mov	x17, x0
0xfffffff0086aa39c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
