; Candidate 12993
; ADRP+ADD at VM 0xfffffff0091aa550 (fileoff 0x21a6550): page=0x1fe9d7000 add_imm=0xd38

0xfffffff0091aa4d0: 687640f9  ldr	x8, [x19, #0xe8]
0xfffffff0091aa4d4: 680000b5  cbnz	x8, #0xfffffff0091aa4e0
0xfffffff0091aa4d8: 68c24339  ldrb	w8, [x19, #0xf0]
0xfffffff0091aa4dc: c8000034  cbz	w8, #0xfffffff0091aa4f4
0xfffffff0091aa4e0: e00313aa  mov	x0, x19
0xfffffff0091aa4e4: 61040094  bl	#0xfffffff0091ab668
0xfffffff0091aa4e8: 35008052  mov	w21, #1
0xfffffff0091aa4ec: 20640034  cbz	w0, #0xfffffff0091ab170
0xfffffff0091aa4f0: 75620539  strb	w21, [x19, #0x158]
0xfffffff0091aa4f4: 68624439  ldrb	w8, [x19, #0x118]
0xfffffff0091aa4f8: 280e0034  cbz	w8, #0xfffffff0091aa6bc
0xfffffff0091aa4fc: 4fb4c697  bl	#0xfffffff008357638
0xfffffff0091aa500: 609e00f9  str	x0, [x19, #0x138]
0xfffffff0091aa504: 406300b4  cbz	x0, #0xfffffff0091ab16c
0xfffffff0091aa508: 6017ffb0  adrp	x0, #0xfffffff007497000
0xfffffff0091aa50c: 00d03e91  add	x0, x0, #0xfb4
0xfffffff0091aa510: 010080d2  mov	x1, #0
0xfffffff0091aa514: df7ec797  bl	#0xfffffff00838a090
0xfffffff0091aa518: f50300aa  mov	x21, x0
0xfffffff0091aa51c: 01008092  mov	x1, #-1
0xfffffff0091aa520: 1b7ec797  bl	#0xfffffff008389d8c
0xfffffff0091aa524: f60300aa  mov	x22, x0
0xfffffff0091aa528: 100000b0  adrp	x16, #0xfffffff0091ab000
0xfffffff0091aa52c: 10521d91  add	x16, x16, #0x754
0xfffffff0091aa530: 117b8ed2  mov	x17, #0x73d8
0xfffffff0091aa534: 3002c1da  pacia	x16, x17
0xfffffff0091aa538: e00310aa  mov	x0, x16
0xfffffff0091aa53c: e10313aa  mov	x1, x19
0xfffffff0091aa540: 22008052  mov	w2, #1
0xfffffff0091aa544: 23008052  mov	w3, #1
0xfffffff0091aa548: 6416b197  bl	#0xfffffff007defed8
0xfffffff0091aa54c: 600601f9  str	x0, [x19, #0x208]
0xfffffff0091aa550: a04efff0  adrp	x0, #0xfffffff007b81000
0xfffffff0091aa554: 00e03491  add	x0, x0, #0xd38
0xfffffff0091aa558: 01038052  mov	w1, #0x18
0xfffffff0091aa55c: 1db2c697  bl	#0xfffffff008356dd0
0xfffffff0091aa560: 600a01f9  str	x0, [x19, #0x210]
0xfffffff0091aa564: 084effb0  adrp	x8, #0xfffffff007b6b000
0xfffffff0091aa568: 08f940f9  ldr	x8, [x8, #0x1f0]
0xfffffff0091aa56c: 170140f9  ldr	x23, [x8]
0xfffffff0091aa570: 700240f9  ldr	x16, [x19]
0xfffffff0091aa574: f10313aa  mov	x17, x19
0xfffffff0091aa578: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091aa57c: 301ac1da  autda	x16, x17
0xfffffff0091aa580: f10310aa  mov	x17, x16
0xfffffff0091aa584: f147c1da  xpacd	x17
0xfffffff0091aa588: 1f0211eb  cmp	x16, x17
0xfffffff0091aa58c: 40000054  b.eq	#0xfffffff0091aa594
0xfffffff0091aa590: 408e38d4  brk	#0xc472
0xfffffff0091aa594: 08e21c91  add	x8, x16, #0x738
0xfffffff0091aa598: 109e43f9  ldr	x16, [x16, #0x738]
0xfffffff0091aa59c: f10308aa  mov	x17, x8
0xfffffff0091aa5a0: f172fff2  movk	x17, #0xfb97, lsl #48
0xfffffff0091aa5a4: 3012c1da  autia	x16, x17
0xfffffff0091aa5a8: f10310aa  mov	x17, x16
0xfffffff0091aa5ac: f143c1da  xpaci	x17
0xfffffff0091aa5b0: 1f0211eb  cmp	x16, x17
0xfffffff0091aa5b4: 40000054  b.eq	#0xfffffff0091aa5bc
0xfffffff0091aa5b8: 008e38d4  brk	#0xc470
0xfffffff0091aa5bc: 519a80d2  mov	x17, #0x4d2
0xfffffff0091aa5c0: 3002c1da  pacia	x16, x17
0xfffffff0091aa5c4: e20310aa  mov	x2, x16
0xfffffff0091aa5c8: d00200b5  cbnz	x16, #0xfffffff0091aa620
0xfffffff0091aa5cc: 100000b0  adrp	x16, #0xfffffff0091ab000
