; Candidate 6179
; ADRP+ADD at VM 0xfffffff008818b30 (fileoff 0x1814b30): page=0x1fe9d1000 add_imm=0xe80

0xfffffff008818ab0: c9208152  mov	w9, #0x906
0xfffffff008818ab4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008818ab8: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff008818abc: 08210091  add	x8, x8, #8
0xfffffff008818ac0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008818ac4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008818ac8: 880e8052  mov	w8, #0x74
0xfffffff008818acc: 2050fff0  adrp	x0, #0xfffffff00721f000
0xfffffff008818ad0: 00c80491  add	x0, x0, #0x132
0xfffffff008818ad4: 10020014  b	#0xfffffff008819314
0xfffffff008818ad8: 7fea40b9  ldr	wzr, [x19, #0xe8]
0xfffffff008818adc: b46d0294  bl	#0xfffffff0088b41ac
0xfffffff008818ae0: f80300aa  mov	x24, x0
0xfffffff008818ae4: a0008052  mov	w0, #5
0xfffffff008818ae8: 5a8b0194  bl	#0xfffffff00887b850
0xfffffff008818aec: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008818af0: 69ea40b9  ldr	w9, [x19, #0xe8]
0xfffffff008818af4: 597e8012  mov	w25, #-0x3f3
0xfffffff008818af8: f7e705a9  stp	x23, x25, [sp, #0x58]
0xfffffff008818afc: ea0316aa  mov	x10, x22
0xfffffff008818b00: ead704a9  stp	x10, x21, [sp, #0x48]
0xfffffff008818b04: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008818b08: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008818b0c: 6a1e8152  mov	w10, #0x8f3
0xfffffff008818b10: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff008818b14: 08210091  add	x8, x8, #8
0xfffffff008818b18: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008818b1c: 880e8052  mov	w8, #0x74
0xfffffff008818b20: 8351ff90  adrp	x3, #0xfffffff007248000
0xfffffff008818b24: 63cc3b91  add	x3, x3, #0xef3
0xfffffff008818b28: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008818b2c: f80300f9  str	x24, [sp]
0xfffffff008818b30: 804effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008818b34: 00003a91  add	x0, x0, #0xe80
0xfffffff008818b38: 818fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008818b3c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008818b40: 02008052  mov	w2, #0
0xfffffff008818b44: 7b69ec97  bl	#0xfffffff008333130
0xfffffff008818b48: f80319aa  mov	x24, x25
0xfffffff008818b4c: 7bffff17  b	#0xfffffff008818938
0xfffffff008818b50: 976d0294  bl	#0xfffffff0088b41ac
0xfffffff008818b54: f90300aa  mov	x25, x0
0xfffffff008818b58: 80008052  mov	w0, #4
0xfffffff008818b5c: 3d8b0194  bl	#0xfffffff00887b850
0xfffffff008818b60: e80318aa  mov	x8, x24
0xfffffff008818b64: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008818b68: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff008818b6c: e80316aa  mov	x8, x22
0xfffffff008818b70: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff008818b74: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008818b78: c84fff90  adrp	x8, #0xfffffff007210000
0xfffffff008818b7c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008818b80: 29208152  mov	w9, #0x901
0xfffffff008818b84: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008818b88: 2850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff008818b8c: 08210091  add	x8, x8, #8
0xfffffff008818b90: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008818b94: 880e8052  mov	w8, #0x74
0xfffffff008818b98: 8351ff90  adrp	x3, #0xfffffff007248000
0xfffffff008818b9c: 63b43c91  add	x3, x3, #0xf2d
0xfffffff008818ba0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008818ba4: f90300f9  str	x25, [sp]
0xfffffff008818ba8: 804effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008818bac: 00003a91  add	x0, x0, #0xe80
