; Candidate 4664
; ADRP+ADD at VM 0xfffffff0087bfc80 (fileoff 0x17bbc80): page=0x1fe972000 add_imm=0xd90

0xfffffff0087bfc00: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff0087bfc04: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff0087bfc08: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff0087bfc0c: fdc30091  add	x29, sp, #0x30
0xfffffff0087bfc10: f40301aa  mov	x20, x1
0xfffffff0087bfc14: f30300aa  mov	x19, x0
0xfffffff0087bfc18: 082c40b9  ldr	w8, [x0, #0x2c]
0xfffffff0087bfc1c: 1f090072  tst	w8, #7
0xfffffff0087bfc20: c0010054  b.eq	#0xfffffff0087bfc58
0xfffffff0087bfc24: 68198052  mov	w8, #0xcb
0xfffffff0087bfc28: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bfc2c: 29b53691  add	x9, x9, #0xdad
0xfffffff0087bfc30: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bfc34: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bfc38: 00403691  add	x0, x0, #0xd90
0xfffffff0087bfc3c: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bfc40: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bfc44: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bfc48: 63c82591  add	x3, x3, #0x972
0xfffffff0087bfc4c: 02008052  mov	w2, #0
0xfffffff0087bfc50: 38cded97  bl	#0xfffffff008333130
0xfffffff0087bfc54: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0087bfc58: 89721d53  lsl	w9, w20, #3
0xfffffff0087bfc5c: 3501086b  subs	w21, w9, w8
0xfffffff0087bfc60: 29070054  b.ls	#0xfffffff0087bfd44
0xfffffff0087bfc64: 7f1600f9  str	xzr, [x19, #0x28]
0xfffffff0087bfc68: bf0a0072  tst	w21, #7
0xfffffff0087bfc6c: a0010054  b.eq	#0xfffffff0087bfca0
0xfffffff0087bfc70: 081b8052  mov	w8, #0xd8
0xfffffff0087bfc74: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bfc78: 29b53691  add	x9, x9, #0xdad
0xfffffff0087bfc7c: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bfc80: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bfc84: 00403691  add	x0, x0, #0xd90
0xfffffff0087bfc88: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bfc8c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bfc90: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bfc94: 63942691  add	x3, x3, #0x9a5
0xfffffff0087bfc98: 02008052  mov	w2, #0
0xfffffff0087bfc9c: 25cded97  bl	#0xfffffff008333130
0xfffffff0087bfca0: 08008052  mov	w8, #0
0xfffffff0087bfca4: 14008052  mov	w20, #0
0xfffffff0087bfca8: a97e0353  lsr	w9, w21, #3
0xfffffff0087bfcac: 2a691e12  and	w10, w9, #0x1ffffffc
0xfffffff0087bfcb0: 6b2641a9  ldp	x11, x9, [x19, #0x10]
0xfffffff0087bfcb4: 6b010a8b  add	x11, x11, x10
0xfffffff0087bfcb8: 6b0a00f9  str	x11, [x19, #0x10]
0xfffffff0087bfcbc: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0087bfcc0: 8a008052  mov	w10, #4
0xfffffff0087bfcc4: 945e1853  lsl	w20, w20, #8
0xfffffff0087bfcc8: 7f0109eb  cmp	x11, x9
0xfffffff0087bfccc: 02010054  b.hs	#0xfffffff0087bfcec
0xfffffff0087bfcd0: 08210011  add	w8, w8, #8
0xfffffff0087bfcd4: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0087bfcd8: 6c050091  add	x12, x11, #1
0xfffffff0087bfcdc: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0087bfce0: 6b014039  ldrb	w11, [x11]
0xfffffff0087bfce4: 94020b2a  orr	w20, w20, w11
0xfffffff0087bfce8: eb030caa  mov	x11, x12
0xfffffff0087bfcec: 4a050071  subs	w10, w10, #1
0xfffffff0087bfcf0: a1feff54  b.ne	#0xfffffff0087bfcc4
0xfffffff0087bfcf4: b5120012  and	w21, w21, #0x1f
0xfffffff0087bfcf8: 69a67cb9  ldr	w9, [x19, #0x3ca4]
0xfffffff0087bfcfc: 2a008052  mov	w10, #1
