; Candidate 2449
; ADRP+ADD at VM 0xfffffff008680be4 (fileoff 0x167cbe4): page=0x1feaa4000 add_imm=0xd05

0xfffffff008680b64: ffc30191  add	sp, sp, #0x70
0xfffffff008680b68: ff0f5fd6  retab	
0xfffffff008680b6c: 7f2303d5  pacibsp	
0xfffffff008680b70: ff4301d1  sub	sp, sp, #0x50
0xfffffff008680b74: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008680b78: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008680b7c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008680b80: fd030191  add	x29, sp, #0x40
0xfffffff008680b84: f40301aa  mov	x20, x1
0xfffffff008680b88: f30300aa  mov	x19, x0
0xfffffff008680b8c: d6e200b0  adrp	x22, #0xfffffff00a2d9000
0xfffffff008680b90: d6621a91  add	x22, x22, #0x698
0xfffffff008680b94: c8024039  ldrb	w8, [x22]
0xfffffff008680b98: 1f0d0071  cmp	w8, #3
0xfffffff008680b9c: a3020054  b.lo	#0xfffffff008680bf0
0xfffffff008680ba0: e803142a  mov	w8, w20
0xfffffff008680ba4: e80300f9  str	x8, [sp]
0xfffffff008680ba8: 0055ffb0  adrp	x0, #0xfffffff007121000
0xfffffff008680bac: 00400591  add	x0, x0, #0x150
0xfffffff008680bb0: 019bfff0  adrp	x1, #0xfffffff0079e3000
0xfffffff008680bb4: 214847f9  ldr	x1, [x1, #0xe90]
0xfffffff008680bb8: 0355fff0  adrp	x3, #0xfffffff007123000
0xfffffff008680bbc: 63300c91  add	x3, x3, #0x30c
0xfffffff008680bc0: 02008052  mov	w2, #0
0xfffffff008680bc4: 5bc9f297  bl	#0xfffffff008333130
0xfffffff008680bc8: c8064039  ldrb	w8, [x22, #1]
0xfffffff008680bcc: 28010034  cbz	w8, #0xfffffff008680bf0
0xfffffff008680bd0: 2855ff90  adrp	x8, #0xfffffff007124000
0xfffffff008680bd4: 08a13491  add	x8, x8, #0xd28
0xfffffff008680bd8: a9398052  mov	w9, #0x1cd
0xfffffff008680bdc: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff008680be0: e80300f9  str	x8, [sp]
0xfffffff008680be4: 2055ff90  adrp	x0, #0xfffffff007124000
0xfffffff008680be8: 00143491  add	x0, x0, #0xd05
0xfffffff008680bec: 0d59f397  bl	#0xfffffff008357020
0xfffffff008680bf0: 700240f9  ldr	x16, [x19]
0xfffffff008680bf4: f10313aa  mov	x17, x19
0xfffffff008680bf8: f1eceaf2  movk	x17, #0x5767, lsl #48
0xfffffff008680bfc: 301ac1da  autda	x16, x17
0xfffffff008680c00: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008680c04: e90310aa  mov	x9, x16
0xfffffff008680c08: e00313aa  mov	x0, x19
0xfffffff008680c0c: f10309aa  mov	x17, x9
0xfffffff008680c10: f1d3eef2  movk	x17, #0x769f, lsl #48
0xfffffff008680c14: 11093fd7  blraa	x8, x17
0xfffffff008680c18: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008680c1c: 68020034  cbz	w8, #0xfffffff008680c68
0xfffffff008680c20: 68824739  ldrb	w8, [x19, #0x1e0]
0xfffffff008680c24: c8010034  cbz	w8, #0xfffffff008680c5c
0xfffffff008680c28: b4010037  tbnz	w20, #0, #0xfffffff008680c5c
0xfffffff008680c2c: 700240f9  ldr	x16, [x19]
0xfffffff008680c30: f10313aa  mov	x17, x19
0xfffffff008680c34: f1eceaf2  movk	x17, #0x5767, lsl #48
0xfffffff008680c38: 301ac1da  autda	x16, x17
0xfffffff008680c3c: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff008680c40: e90310aa  mov	x9, x16
0xfffffff008680c44: e00313aa  mov	x0, x19
0xfffffff008680c48: f10309aa  mov	x17, x9
0xfffffff008680c4c: d1b0e3f2  movk	x17, #0x1d86, lsl #48
0xfffffff008680c50: 11093fd7  blraa	x8, x17
0xfffffff008680c54: e00313aa  mov	x0, x19
0xfffffff008680c58: 23feff97  bl	#0xfffffff0086804e4
0xfffffff008680c5c: 15008052  mov	w21, #0
0xfffffff008680c60: 74820739  strb	w20, [x19, #0x1e0]
