; Candidate 12913
; ADRP+ADD at VM 0xfffffff009184ff0 (fileoff 0x2180ff0): page=0x1fe30f000 add_imm=0xe2c

0xfffffff009184f70: f30300aa  mov	x19, x0
0xfffffff009184f74: 08008052  mov	w8, #0
0xfffffff009184f78: e11f00b9  str	w1, [sp, #0x1c]
0xfffffff009184f7c: ff6f0039  strb	wzr, [sp, #0x1b]
0xfffffff009184f80: 008840f9  ldr	x0, [x0, #0x110]
0xfffffff009184f84: 094440f9  ldr	x9, [x0, #0x88]
0xfffffff009184f88: 41000035  cbnz	w1, #0xfffffff009184f90
0xfffffff009184f8c: 28f94339  ldrb	w8, [x9, #0xfe]
0xfffffff009184f90: e86b0039  strb	w8, [sp, #0x1a]
0xfffffff009184f94: 21e94179  ldrh	w1, [x9, #0xf4]
0xfffffff009184f98: 100040f9  ldr	x16, [x0]
0xfffffff009184f9c: f10300aa  mov	x17, x0
0xfffffff009184fa0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009184fa4: 301ac1da  autda	x16, x17
0xfffffff009184fa8: 11b480d2  mov	x17, #0x5a0
0xfffffff009184fac: 1002118b  add	x16, x16, x17
0xfffffff009184fb0: 080240f9  ldr	x8, [x16]
0xfffffff009184fb4: e90310aa  mov	x9, x16
0xfffffff009184fb8: e26f0091  add	x2, sp, #0x1b
0xfffffff009184fbc: 23008052  mov	w3, #1
0xfffffff009184fc0: f10309aa  mov	x17, x9
0xfffffff009184fc4: 1156fcf2  movk	x17, #0xe2b0, lsl #48
0xfffffff009184fc8: 11093fd7  blraa	x8, x17
0xfffffff009184fcc: 7618fff0  adrp	x22, #0xfffffff007493000
0xfffffff009184fd0: d62e3991  add	x22, x22, #0xe4b
0xfffffff009184fd4: 40010034  cbz	w0, #0xfffffff009184ffc
0xfffffff009184fd8: f50300aa  mov	x21, x0
0xfffffff009184fdc: 808c00d0  adrp	x0, #0xfffffff00a316000
0xfffffff009184fe0: 00a00291  add	x0, x0, #0xa8
0xfffffff009184fe4: 5d7ec597  bl	#0xfffffff0082e4958
0xfffffff009184fe8: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff009184fec: e00300f9  str	x0, [sp]
0xfffffff009184ff0: 6018fff0  adrp	x0, #0xfffffff007493000
0xfffffff009184ff4: 00b03891  add	x0, x0, #0xe2c
0xfffffff009184ff8: 0a48c797  bl	#0xfffffff008357020
0xfffffff009184ffc: e86f4039  ldrb	w8, [sp, #0x1b]
0xfffffff009185000: e20313aa  mov	x2, x19
0xfffffff009185004: 496c4f38  ldrb	w9, [x2, #0xf6]!
0xfffffff009185008: 3f01086a  tst	w9, w8
0xfffffff00918500c: 40030054  b.eq	#0xfffffff009185074
0xfffffff009185010: 608a40f9  ldr	x0, [x19, #0x110]
0xfffffff009185014: 084440f9  ldr	x8, [x0, #0x88]
0xfffffff009185018: 01e94179  ldrh	w1, [x8, #0xf4]
0xfffffff00918501c: 100040f9  ldr	x16, [x0]
0xfffffff009185020: f10300aa  mov	x17, x0
0xfffffff009185024: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009185028: 301ac1da  autda	x16, x17
0xfffffff00918502c: 11b580d2  mov	x17, #0x5a8
0xfffffff009185030: 1002118b  add	x16, x16, x17
0xfffffff009185034: 080240f9  ldr	x8, [x16]
0xfffffff009185038: e90310aa  mov	x9, x16
0xfffffff00918503c: 23008052  mov	w3, #1
0xfffffff009185040: f10309aa  mov	x17, x9
0xfffffff009185044: 7158e7f2  movk	x17, #0x3ac3, lsl #48
0xfffffff009185048: 11093fd7  blraa	x8, x17
0xfffffff00918504c: 40010034  cbz	w0, #0xfffffff009185074
0xfffffff009185050: f50300aa  mov	x21, x0
0xfffffff009185054: 808c00b0  adrp	x0, #0xfffffff00a316000
0xfffffff009185058: 00a00291  add	x0, x0, #0xa8
0xfffffff00918505c: 3f7ec597  bl	#0xfffffff0082e4958
0xfffffff009185060: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff009185064: e00300f9  str	x0, [sp]
0xfffffff009185068: 6018ffd0  adrp	x0, #0xfffffff007493000
0xfffffff00918506c: 006c3991  add	x0, x0, #0xe5b
