; Candidate 16904
; ADRP+ADD at VM 0xfffffff009fd5f90 (fileoff 0x2fd1f90): page=0x1fdd6f000 add_imm=0xea0

0xfffffff009fd5f10: b9088012  mov	w25, #-0x46
0xfffffff009fd5f14: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff009fd5f18: 69ebfef0  adrp	x9, #0xfffffff007d44000
0xfffffff009fd5f1c: 292d43f9  ldr	x9, [x9, #0x658]
0xfffffff009fd5f20: 290140f9  ldr	x9, [x9]
0xfffffff009fd5f24: 3f0108eb  cmp	x9, x8
0xfffffff009fd5f28: c1010054  b.ne	#0xfffffff009fd5f60
0xfffffff009fd5f2c: e00319aa  mov	x0, x25
0xfffffff009fd5f30: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff009fd5f34: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff009fd5f38: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff009fd5f3c: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff009fd5f40: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff009fd5f44: ffc30391  add	sp, sp, #0xf0
0xfffffff009fd5f48: ff0f5fd6  retab	
0xfffffff009fd5f4c: e1430191  add	x1, sp, #0x50
0xfffffff009fd5f50: e00314aa  mov	x0, x20
0xfffffff009fd5f54: e20315aa  mov	x2, x21
0xfffffff009fd5f58: 8eda7597  bl	#0xfffffff007d4c990
0xfffffff009fd5f5c: e8ffff17  b	#0xfffffff009fd5efc
0xfffffff009fd5f60: bb1f7697  bl	#0xfffffff007d5de4c
0xfffffff009fd5f64: 5f2403d5  bti	c
0xfffffff009fd5f68: dae7fe17  b	#0xfffffff009f8fed0
0xfffffff009fd5f6c: 5f2403d5  bti	c
0xfffffff009fd5f70: 80ebfeb0  adrp	x0, #0xfffffff007d46000
0xfffffff009fd5f74: 00c02f91  add	x0, x0, #0xbf0
0xfffffff009fd5f78: c0035fd6  ret	
0xfffffff009fd5f7c: 5f2403d5  bti	c
0xfffffff009fd5f80: 80ebfeb0  adrp	x0, #0xfffffff007d46000
0xfffffff009fd5f84: 00003291  add	x0, x0, #0xc80
0xfffffff009fd5f88: c0035fd6  ret	
0xfffffff009fd5f8c: 5f2403d5  bti	c
0xfffffff009fd5f90: 60ebfef0  adrp	x0, #0xfffffff007d44000
0xfffffff009fd5f94: 00803a91  add	x0, x0, #0xea0
0xfffffff009fd5f98: c0035fd6  ret	
0xfffffff009fd5f9c: 5f2403d5  bti	c
0xfffffff009fd5fa0: 80ebfeb0  adrp	x0, #0xfffffff007d46000
0xfffffff009fd5fa4: 00603f91  add	x0, x0, #0xfd8
0xfffffff009fd5fa8: c0035fd6  ret	
0xfffffff009fd5fac: 7f2303d5  pacibsp	
0xfffffff009fd5fb0: ffc300d1  sub	sp, sp, #0x30
0xfffffff009fd5fb4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009fd5fb8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009fd5fbc: fd830091  add	x29, sp, #0x20
0xfffffff009fd5fc0: f30300aa  mov	x19, x0
0xfffffff009fd5fc4: 68ebfef0  adrp	x8, #0xfffffff007d44000
0xfffffff009fd5fc8: 082d43f9  ldr	x8, [x8, #0x658]
0xfffffff009fd5fcc: 080140f9  ldr	x8, [x8]
0xfffffff009fd5fd0: e80700f9  str	x8, [sp, #8]
0xfffffff009fd5fd4: a8430091  add	x8, x29, #0x10
0xfffffff009fd5fd8: e80300f9  str	x8, [sp]
0xfffffff009fd5fdc: edc8ff97  bl	#0xfffffff009fc8390
0xfffffff009fd5fe0: e80340f9  ldr	x8, [sp]
0xfffffff009fd5fe4: 09210091  add	x9, x8, #8
0xfffffff009fd5fe8: e90300f9  str	x9, [sp]
0xfffffff009fd5fec: 010140f9  ldr	x1, [x8]
0xfffffff009fd5ff0: 210100b4  cbz	x1, #0xfffffff009fd6014
0xfffffff009fd5ff4: 73f27dd3  lsl	x19, x19, #3
0xfffffff009fd5ff8: e00313aa  mov	x0, x19
0xfffffff009fd5ffc: 4c67ff97  bl	#0xfffffff009fafd2c
0xfffffff009fd6000: e80340f9  ldr	x8, [sp]
0xfffffff009fd6004: 09210091  add	x9, x8, #8
0xfffffff009fd6008: e90300f9  str	x9, [sp]
0xfffffff009fd600c: 010140f9  ldr	x1, [x8]
