; Candidate 16648
; ADRP+ADD at VM 0xfffffff009f10d54 (fileoff 0x2f0cd54): page=0x1fd945000 add_imm=0xd26

0xfffffff009f10cd4: 087d3391  add	x8, x8, #0xcdf
0xfffffff009f10cd8: 09708052  mov	w9, #0x380
0xfffffff009f10cdc: e82700a9  stp	x8, x9, [sp]
0xfffffff009f10ce0: 20cafeb0  adrp	x0, #0xfffffff007855000
0xfffffff009f10ce4: 00c43391  add	x0, x0, #0xcf1
0xfffffff009f10ce8: d6bafd97  bl	#0xfffffff009e7f840
0xfffffff009f10cec: 88b641f9  ldr	x8, [x20, #0x368]
0xfffffff009f10cf0: 080140b2  orr	x8, x8, #1
0xfffffff009f10cf4: 88b601f9  str	x8, [x20, #0x368]
0xfffffff009f10cf8: e00313aa  mov	x0, x19
0xfffffff009f10cfc: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff009f10d00: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff009f10d04: ff030191  add	sp, sp, #0x40
0xfffffff009f10d08: ff0f5fd6  retab	
0xfffffff009f10d0c: 7f2303d5  pacibsp	
0xfffffff009f10d10: ffc300d1  sub	sp, sp, #0x30
0xfffffff009f10d14: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff009f10d18: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009f10d1c: fd830091  add	x29, sp, #0x20
0xfffffff009f10d20: 2d399597  bl	#0xfffffff00845f1d4
0xfffffff009f10d24: 60000035  cbnz	w0, #0xfffffff009f10d30
0xfffffff009f10d28: 70f48a97  bl	#0xfffffff0081cdee8
0xfffffff009f10d2c: c0010034  cbz	w0, #0xfffffff009f10d64
0xfffffff009f10d30: 28260090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009f10d34: 09f16839  ldrb	w9, [x8, #0xa3c]
0xfffffff009f10d38: 33008052  mov	w19, #1
0xfffffff009f10d3c: 69010037  tbnz	w9, #0, #0xfffffff009f10d68
0xfffffff009f10d40: 13f12839  strb	w19, [x8, #0xa3c]
0xfffffff009f10d44: 28cafeb0  adrp	x8, #0xfffffff007855000
0xfffffff009f10d48: 081d3591  add	x8, x8, #0xd47
0xfffffff009f10d4c: 49728052  mov	w9, #0x392
0xfffffff009f10d50: e82700a9  stp	x8, x9, [sp]
0xfffffff009f10d54: 20cafeb0  adrp	x0, #0xfffffff007855000
0xfffffff009f10d58: 00983491  add	x0, x0, #0xd26
0xfffffff009f10d5c: b9bafd97  bl	#0xfffffff009e7f840
0xfffffff009f10d60: 02000014  b	#0xfffffff009f10d68
0xfffffff009f10d64: 13008052  mov	w19, #0
0xfffffff009f10d68: e00313aa  mov	x0, x19
0xfffffff009f10d6c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff009f10d70: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff009f10d74: ffc30091  add	sp, sp, #0x30
0xfffffff009f10d78: ff0f5fd6  retab	
0xfffffff009f10d7c: 5f2403d5  bti	c
0xfffffff009f10d80: 089c40f9  ldr	x8, [x0, #0x138]
0xfffffff009f10d84: 1f0100f1  cmp	x8, #0
0xfffffff009f10d88: 0800889a  csel	x8, x0, x8, eq
0xfffffff009f10d8c: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009f10d90: 088540f9  ldr	x8, [x8, #0x108]
0xfffffff009f10d94: 29218052  mov	w9, #0x109
0xfffffff009f10d98: 0801098a  and	x8, x8, x9
0xfffffff009f10d9c: 1f0104f1  cmp	x8, #0x100
0xfffffff009f10da0: c0000054  b.eq	#0xfffffff009f10db8
0xfffffff009f10da4: 1f2100f1  cmp	x8, #8
0xfffffff009f10da8: c0000054  b.eq	#0xfffffff009f10dc0
0xfffffff009f10dac: e80000b5  cbnz	x8, #0xfffffff009f10dc8
0xfffffff009f10db0: 20008052  mov	w0, #1
0xfffffff009f10db4: c0035fd6  ret	
0xfffffff009f10db8: 60008052  mov	w0, #3
0xfffffff009f10dbc: c0035fd6  ret	
0xfffffff009f10dc0: 40008052  mov	w0, #2
0xfffffff009f10dc4: c0035fd6  ret	
0xfffffff009f10dc8: 00008052  mov	w0, #0
0xfffffff009f10dcc: c0035fd6  ret	
0xfffffff009f10dd0: 5f2403d5  bti	c
