; Candidate 3225
; ADRP+ADD at VM 0xfffffff00871f36c (fileoff 0x171b36c): page=0x1fea12000 add_imm=0xd90

0xfffffff00871f2ec: 951b0034  cbz	w21, #0xfffffff00871f65c
0xfffffff00871f2f0: 7600f8b7  tbnz	x22, #0x3f, #0xfffffff00871f2fc
0xfffffff00871f2f4: 680e40b9  ldr	w8, [x19, #0xc]
0xfffffff00871f2f8: a8040035  cbnz	w8, #0xfffffff00871f38c
0xfffffff00871f2fc: 2097ff90  adrp	x0, #0xfffffff007a03000
0xfffffff00871f300: 00a02c91  add	x0, x0, #0xb28
0xfffffff00871f304: 7cdcf097  bl	#0xfffffff0083564f4
0xfffffff00871f308: 60b208f9  str	x0, [x19, #0x1160]
0xfffffff00871f30c: 000400b4  cbz	x0, #0xfffffff00871f38c
0xfffffff00871f310: 01008052  mov	w1, #0
0xfffffff00871f314: 02ee8152  mov	w2, #0xf70
0xfffffff00871f318: 2ab6d897  bl	#0xfffffff007d4cbc0
0xfffffff00871f31c: e80f40f9  ldr	x8, [sp, #0x18]
0xfffffff00871f320: 08c14039  ldrb	w8, [x8, #0x30]
0xfffffff00871f324: c8190034  cbz	w8, #0xfffffff00871f65c
0xfffffff00871f328: 88c24139  ldrb	w8, [x20, #0x70]
0xfffffff00871f32c: 1f090072  tst	w8, #7
0xfffffff00871f330: 60150054  b.eq	#0xfffffff00871f5dc
0xfffffff00871f334: 953640f9  ldr	x21, [x20, #0x68]
0xfffffff00871f338: 88a640b9  ldr	w8, [x20, #0xa4]
0xfffffff00871f33c: 08050011  add	w8, w8, #1
0xfffffff00871f340: 88a600b9  str	w8, [x20, #0xa4]
0xfffffff00871f344: e00314aa  mov	x0, x20
0xfffffff00871f348: 21008052  mov	w1, #1
0xfffffff00871f34c: 02008052  mov	w2, #0
0xfffffff00871f350: ccefff97  bl	#0xfffffff00871b280
0xfffffff00871f354: b5feffb7  tbnz	x21, #0x3f, #0xfffffff00871f328
0xfffffff00871f358: 0d000014  b	#0xfffffff00871f38c
0xfffffff00871f35c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00871f360: a851ffd0  adrp	x8, #0xfffffff007155000
0xfffffff00871f364: 08493791  add	x8, x8, #0xdd2
0xfffffff00871f368: e86b00a9  stp	x8, x26, [sp]
0xfffffff00871f36c: 8050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff00871f370: 00403691  add	x0, x0, #0xd90
0xfffffff00871f374: e196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871f378: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871f37c: c350ffd0  adrp	x3, #0xfffffff007139000
0xfffffff00871f380: 63081891  add	x3, x3, #0x602
0xfffffff00871f384: 02008052  mov	w2, #0
0xfffffff00871f388: 6a4ff097  bl	#0xfffffff008333130
0xfffffff00871f38c: e00313aa  mov	x0, x19
0xfffffff00871f390: b7000094  bl	#0xfffffff00871f66c
0xfffffff00871f394: 00008052  mov	w0, #0
0xfffffff00871f398: 08008012  mov	w8, #-1
0xfffffff00871f39c: 680200b9  str	w8, [x19]
0xfffffff00871f3a0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00871f3a4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00871f3a8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00871f3ac: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00871f3b0: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff00871f3b4: fc6f42a9  ldp	x28, x27, [sp, #0x20]
0xfffffff00871f3b8: ff030291  add	sp, sp, #0x80
0xfffffff00871f3bc: ff0f5fd6  retab	
0xfffffff00871f3c0: 966e40b9  ldr	w22, [x20, #0x6c]
0xfffffff00871f3c4: 88a640b9  ldr	w8, [x20, #0xa4]
0xfffffff00871f3c8: 08810011  add	w8, w8, #0x20
0xfffffff00871f3cc: 88a600b9  str	w8, [x20, #0xa4]
0xfffffff00871f3d0: e00314aa  mov	x0, x20
0xfffffff00871f3d4: 01048052  mov	w1, #0x20
0xfffffff00871f3d8: 02008052  mov	w2, #0
0xfffffff00871f3dc: a9efff97  bl	#0xfffffff00871b280
0xfffffff00871f3e0: 762e11b9  str	w22, [x19, #0x112c]
0xfffffff00871f3e4: 966e40b9  ldr	w22, [x20, #0x6c]
0xfffffff00871f3e8: 88a640b9  ldr	w8, [x20, #0xa4]
