; Candidate 1253
; ADRP+ADD at VM 0xfffffff00830176c (fileoff 0x12fd76c): page=0x1ff67c000 add_imm=0xe70

0xfffffff0083016ec: f1031aaa  mov	x17, x26
0xfffffff0083016f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0083016f4: 301ac1da  autda	x16, x17
0xfffffff0083016f8: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0083016fc: e90310aa  mov	x9, x16
0xfffffff008301700: e0031aaa  mov	x0, x26
0xfffffff008301704: e11740b9  ldr	w1, [sp, #0x14]
0xfffffff008301708: e20319aa  mov	x2, x25
0xfffffff00830170c: 030080d2  mov	x3, #0
0xfffffff008301710: f10309aa  mov	x17, x9
0xfffffff008301714: d1c2f5f2  movk	x17, #0xae16, lsl #48
0xfffffff008301718: 11093fd7  blraa	x8, x17
0xfffffff00830171c: e0260035  cbnz	w0, #0xfffffff008301bf8
0xfffffff008301720: 9c070011  add	w28, w28, #1
0xfffffff008301724: 9f031b6b  cmp	w28, w27
0xfffffff008301728: 61faff54  b.ne	#0xfffffff008301674
0xfffffff00830172c: 700240f9  ldr	x16, [x19]
0xfffffff008301730: f10313aa  mov	x17, x19
0xfffffff008301734: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008301738: 301ac1da  autda	x16, x17
0xfffffff00830173c: 088e4ff8  ldr	x8, [x16, #0xf8]!
0xfffffff008301740: e90310aa  mov	x9, x16
0xfffffff008301744: e00313aa  mov	x0, x19
0xfffffff008301748: f10309aa  mov	x17, x9
0xfffffff00830174c: b1a9e2f2  movk	x17, #0x154d, lsl #48
0xfffffff008301750: 11093fd7  blraa	x8, x17
0xfffffff008301754: f80300aa  mov	x24, x0
0xfffffff008301758: a0dcff35  cbnz	w0, #0xfffffff0083012ec
0xfffffff00830175c: 68420291  add	x8, x19, #0x90
0xfffffff008301760: 682209a9  stp	x8, x8, [x19, #0x90]
0xfffffff008301764: 60820291  add	x0, x19, #0xa0
0xfffffff008301768: 1ac50094  bl	#0xfffffff008332bd0
0xfffffff00830176c: e0b3ff90  adrp	x0, #0xfffffff00797d000
0xfffffff008301770: 00c03991  add	x0, x0, #0xe70
0xfffffff008301774: 082840b9  ldr	w8, [x0, #0x28]
0xfffffff008301778: 1f011c72  tst	w8, #0x10
0xfffffff00830177c: 88008052  mov	w8, #4
0xfffffff008301780: 89009052  mov	w9, #0x8004
0xfffffff008301784: 2101881a  csel	w1, w9, w8, eq
0xfffffff008301788: 8e94ea97  bl	#0xfffffff007da69c0
0xfffffff00830178c: 605a00f9  str	x0, [x19, #0xb0]
0xfffffff008301790: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff008301794: 080d40b9  ldr	w8, [x8, #0xc]
0xfffffff008301798: 081800b9  str	w8, [x0, #0x18]
0xfffffff00830179c: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff0083017a0: 1f210079  strh	wzr, [x8, #0x10]
0xfffffff0083017a4: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff0083017a8: 09408052  mov	w9, #0x200
0xfffffff0083017ac: 09290079  strh	w9, [x8, #0x14]
0xfffffff0083017b0: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff0083017b4: 131100f9  str	x19, [x8, #0x20]
0xfffffff0083017b8: c8f80090  adrp	x8, #0xfffffff00a219000
0xfffffff0083017bc: 08fd47f9  ldr	x8, [x8, #0xff8]
0xfffffff0083017c0: 690e40f9  ldr	x9, [x19, #0x18]
0xfffffff0083017c4: 3f0108eb  cmp	x9, x8
0xfffffff0083017c8: e1000054  b.ne	#0xfffffff0083017e4
0xfffffff0083017cc: 605a40f9  ldr	x0, [x19, #0xb0]
0xfffffff0083017d0: 4004ee97  bl	#0xfffffff007e828d0
0xfffffff0083017d4: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff0083017d8: 08254079  ldrh	w8, [x8, #0x12]
0xfffffff0083017dc: c9f80090  adrp	x9, #0xfffffff00a219000
0xfffffff0083017e0: 28e10479  strh	w8, [x9, #0x270]
0xfffffff0083017e4: 688240b9  ldr	w8, [x19, #0x80]
0xfffffff0083017e8: 08011932  orr	w8, w8, #0x80
