; Candidate 3721
; ADRP+ADD at VM 0xfffffff0087543c4 (fileoff 0x17503c4): page=0x1fe9dd000 add_imm=0xd90

0xfffffff008754344: 0aa50129  stp	w10, w9, [x8, #0xc]
0xfffffff008754348: 0f000014  b	#0xfffffff008754384
0xfffffff00875434c: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff008754350: 2850ffb0  adrp	x8, #0xfffffff007159000
0xfffffff008754354: 08e10391  add	x8, x8, #0xf8
0xfffffff008754358: e80300f9  str	x8, [sp]
0xfffffff00875435c: e04effb0  adrp	x0, #0xfffffff007131000
0xfffffff008754360: 00403691  add	x0, x0, #0xd90
0xfffffff008754364: 4195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008754368: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875436c: 634fffb0  adrp	x3, #0xfffffff007141000
0xfffffff008754370: 63a80291  add	x3, x3, #0xaa
0xfffffff008754374: 02008052  mov	w2, #0
0xfffffff008754378: 6e7bef97  bl	#0xfffffff008333130
0xfffffff00875437c: 80578052  mov	w0, #0x2bc
0xfffffff008754380: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008754384: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008754388: ffc30091  add	sp, sp, #0x30
0xfffffff00875438c: ff0f5fd6  retab	
0xfffffff008754390: 7f2303d5  pacibsp	
0xfffffff008754394: ff8300d1  sub	sp, sp, #0x20
0xfffffff008754398: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00875439c: fd430091  add	x29, sp, #0x10
0xfffffff0087543a0: 080c40b9  ldr	w8, [x0, #0xc]
0xfffffff0087543a4: a8000034  cbz	w8, #0xfffffff0087543b8
0xfffffff0087543a8: 080040f9  ldr	x8, [x0]
0xfffffff0087543ac: 091440b9  ldr	w9, [x0, #0x14]
0xfffffff0087543b0: 007969b8  ldr	w0, [x8, x9, lsl #2]
0xfffffff0087543b4: 0d000014  b	#0xfffffff0087543e8
0xfffffff0087543b8: 2850ffb0  adrp	x8, #0xfffffff007159000
0xfffffff0087543bc: 08f50391  add	x8, x8, #0xfd
0xfffffff0087543c0: e87f00a9  stp	x8, xzr, [sp]
0xfffffff0087543c4: e04effb0  adrp	x0, #0xfffffff007131000
0xfffffff0087543c8: 00403691  add	x0, x0, #0xd90
0xfffffff0087543cc: 4195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087543d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087543d4: 634fffb0  adrp	x3, #0xfffffff007141000
0xfffffff0087543d8: 63b40391  add	x3, x3, #0xed
0xfffffff0087543dc: 02008052  mov	w2, #0
0xfffffff0087543e0: 547bef97  bl	#0xfffffff008333130
0xfffffff0087543e4: 00008052  mov	w0, #0
0xfffffff0087543e8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0087543ec: ff830091  add	sp, sp, #0x20
0xfffffff0087543f0: ff0f5fd6  retab	
0xfffffff0087543f4: 7f2303d5  pacibsp	
0xfffffff0087543f8: ff8300d1  sub	sp, sp, #0x20
0xfffffff0087543fc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008754400: fd430091  add	x29, sp, #0x10
0xfffffff008754404: 090c40b9  ldr	w9, [x0, #0xc]
0xfffffff008754408: 89010034  cbz	w9, #0xfffffff008754438
0xfffffff00875440c: 080040f9  ldr	x8, [x0]
0xfffffff008754410: 0a1440b9  ldr	w10, [x0, #0x14]
0xfffffff008754414: 08796ab8  ldr	w8, [x8, x10, lsl #2]
0xfffffff008754418: 4a050011  add	w10, w10, #1
0xfffffff00875441c: 0b0840b9  ldr	w11, [x0, #8]
0xfffffff008754420: 4c09cb1a  udiv	w12, w10, w11
0xfffffff008754424: 8aa90b1b  msub	w10, w12, w11, w10
0xfffffff008754428: 0a1400b9  str	w10, [x0, #0x14]
0xfffffff00875442c: 29050051  sub	w9, w9, #1
0xfffffff008754430: 090c00b9  str	w9, [x0, #0xc]
0xfffffff008754434: 0d000014  b	#0xfffffff008754468
0xfffffff008754438: 2850ffb0  adrp	x8, #0xfffffff007159000
0xfffffff00875443c: 08090491  add	x8, x8, #0x102
0xfffffff008754440: e87f00a9  stp	x8, xzr, [sp]
