; Candidate 9020
; ADRP+ADD at VM 0xfffffff00898be60 (fileoff 0x1987e60): page=0x1fe8f8000 add_imm=0xd0b

0xfffffff00898bde0: 09ae42f9  ldr	x9, [x16, #0x558]
0xfffffff00898bde4: ea03152a  mov	w10, w21
0xfffffff00898bde8: f8ab00a9  stp	x24, x10, [sp, #8]
0xfffffff00898bdec: c447ff90  adrp	x4, #0xfffffff007283000
0xfffffff00898bdf0: 84bc3491  add	x4, x4, #0xd2f
0xfffffff00898bdf4: e00300f9  str	x0, [sp]
0xfffffff00898bdf8: e00316aa  mov	x0, x22
0xfffffff00898bdfc: 41008052  mov	w1, #2
0xfffffff00898be00: e20317aa  mov	x2, x23
0xfffffff00898be04: 03008052  mov	w3, #0
0xfffffff00898be08: f10308aa  mov	x17, x8
0xfffffff00898be0c: 312ae3f2  movk	x17, #0x1951, lsl #48
0xfffffff00898be10: 31093fd7  blraa	x9, x17
0xfffffff00898be14: 2c000014  b	#0xfffffff00898bec4
0xfffffff00898be18: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff00898be1c: 08070034  cbz	w8, #0xfffffff00898befc
0xfffffff00898be20: 700240f9  ldr	x16, [x19]
0xfffffff00898be24: f10313aa  mov	x17, x19
0xfffffff00898be28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898be2c: 301ac1da  autda	x16, x17
0xfffffff00898be30: 113d80d2  mov	x17, #0x1e8
0xfffffff00898be34: 1002118b  add	x16, x16, x17
0xfffffff00898be38: 080240f9  ldr	x8, [x16]
0xfffffff00898be3c: e90310aa  mov	x9, x16
0xfffffff00898be40: e00313aa  mov	x0, x19
0xfffffff00898be44: 010080d2  mov	x1, #0
0xfffffff00898be48: f10309aa  mov	x17, x9
0xfffffff00898be4c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00898be50: 11093fd7  blraa	x8, x17
0xfffffff00898be54: 686240f9  ldr	x8, [x19, #0xc0]
0xfffffff00898be58: f8a300a9  stp	x24, x8, [sp, #8]
0xfffffff00898be5c: e00300f9  str	x0, [sp]
0xfffffff00898be60: c047ff90  adrp	x0, #0xfffffff007283000
0xfffffff00898be64: 002c3491  add	x0, x0, #0xd0b
0xfffffff00898be68: 6e2ce797  bl	#0xfffffff008357020
0xfffffff00898be6c: 24000014  b	#0xfffffff00898befc
0xfffffff00898be70: 68324239  ldrb	w8, [x19, #0x8c]
0xfffffff00898be74: 88020034  cbz	w8, #0xfffffff00898bec4
0xfffffff00898be78: 700240f9  ldr	x16, [x19]
0xfffffff00898be7c: f10313aa  mov	x17, x19
0xfffffff00898be80: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898be84: 301ac1da  autda	x16, x17
0xfffffff00898be88: 113d80d2  mov	x17, #0x1e8
0xfffffff00898be8c: 1002118b  add	x16, x16, x17
0xfffffff00898be90: 080240f9  ldr	x8, [x16]
0xfffffff00898be94: e90310aa  mov	x9, x16
0xfffffff00898be98: e00313aa  mov	x0, x19
0xfffffff00898be9c: 010080d2  mov	x1, #0
0xfffffff00898bea0: f10309aa  mov	x17, x9
0xfffffff00898bea4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00898bea8: 11093fd7  blraa	x8, x17
0xfffffff00898beac: e803152a  mov	w8, w21
0xfffffff00898beb0: f8a300a9  stp	x24, x8, [sp, #8]
0xfffffff00898beb4: e00300f9  str	x0, [sp]
0xfffffff00898beb8: c047ff90  adrp	x0, #0xfffffff007283000
0xfffffff00898bebc: 00bc3491  add	x0, x0, #0xd2f
0xfffffff00898bec0: 582ce797  bl	#0xfffffff008357020
0xfffffff00898bec4: d5010034  cbz	w21, #0xfffffff00898befc
0xfffffff00898bec8: 746200f9  str	x20, [x19, #0xc0]
0xfffffff00898becc: 900240f9  ldr	x16, [x20]
0xfffffff00898bed0: f10314aa  mov	x17, x20
0xfffffff00898bed4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00898bed8: 301ac1da  autda	x16, x17
0xfffffff00898bedc: 080e42f8  ldr	x8, [x16, #0x20]!
