; Candidate 1281
; ADRP+ADD at VM 0xfffffff008335790 (fileoff 0x1331790): page=0x1e8b000 add_imm=0xe10

0xfffffff008335710: bf0200f9  str	xzr, [x21]
0xfffffff008335714: 49f400f0  adrp	x9, #0xfffffff00a1c0000
0xfffffff008335718: 29513891  add	x9, x9, #0xe14
0xfffffff00833571c: 2a110091  add	x10, x9, #4
0xfffffff008335720: 28008052  mov	w8, #1
0xfffffff008335724: 4a0128b8  ldadd	w8, w10, [x10]
0xfffffff008335728: 290140b9  ldr	w9, [x9]
0xfffffff00833572c: 0901f836  tbz	w9, #0x1f, #0xfffffff00833574c
0xfffffff008335730: 49f400f0  adrp	x9, #0xfffffff00a1c0000
0xfffffff008335734: 29413891  add	x9, x9, #0xe10
0xfffffff008335738: 290128b8  ldadd	w8, w9, [x9]
0xfffffff00833573c: ea130432  mov	w10, #-0xfffffff
0xfffffff008335740: 29010a0b  add	w9, w9, w10
0xfffffff008335744: 3f010a6b  cmp	w9, w10
0xfffffff008335748: 49020054  b.ls	#0xfffffff008335790
0xfffffff00833574c: b80a00f9  str	x24, [x21, #0x10]
0xfffffff008335750: 0821d61a  lsl	w8, w8, w22
0xfffffff008335754: e9ff8752  mov	w9, #0x3fff
0xfffffff008335758: 29c128ab  adds	x9, x9, w8, sxtw
0xfffffff00833575c: 02020054  b.hs	#0xfffffff00833579c
0xfffffff008335760: 29c57292  and	x9, x9, #0xffffffffffffc000
0xfffffff008335764: 2901188b  add	x9, x9, x24
0xfffffff008335768: a9de01a9  stp	x9, x23, [x21, #0x18]
0xfffffff00833576c: b6d202a9  stp	x22, x20, [x21, #0x28]
0xfffffff008335770: b31e00f9  str	x19, [x21, #0x38]
0xfffffff008335774: a85200b9  str	w8, [x21, #0x50]
0xfffffff008335778: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00833577c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008335780: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008335784: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff008335788: ff430191  add	sp, sp, #0x50
0xfffffff00833578c: ff0f5fd6  retab	
0xfffffff008335790: 40f400f0  adrp	x0, #0xfffffff00a1c0000
0xfffffff008335794: 00403891  add	x0, x0, #0xe10
0xfffffff008335798: 9daa0594  bl	#0xfffffff0084a020c
0xfffffff00833579c: 886bff90  adrp	x8, #0xfffffff0070a5000
0xfffffff0083357a0: 08752591  add	x8, x8, #0x95d
0xfffffff0083357a4: 29388052  mov	w9, #0x1c1
0xfffffff0083357a8: e82700a9  stp	x8, x9, [sp]
0xfffffff0083357ac: 806bff90  adrp	x0, #0xfffffff0070a5000
0xfffffff0083357b0: 00102591  add	x0, x0, #0x944
0xfffffff0083357b4: 567b0594  bl	#0xfffffff00849450c
0xfffffff0083357b8: 7f2303d5  pacibsp	
0xfffffff0083357bc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0083357c0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0083357c4: fd430091  add	x29, sp, #0x10
0xfffffff0083357c8: f30300aa  mov	x19, x0
0xfffffff0083357cc: 08604c39  ldrb	w8, [x0, #0x318]
0xfffffff0083357d0: 1f090071  cmp	w8, #2
0xfffffff0083357d4: a0020054  b.eq	#0xfffffff008335828
0xfffffff0083357d8: 1f050071  cmp	w8, #1
0xfffffff0083357dc: 21050054  b.ne	#0xfffffff008335880
0xfffffff0083357e0: 617641f9  ldr	x1, [x19, #0x2e8]
0xfffffff0083357e4: c0b1ffd0  adrp	x0, #0xfffffff00796f000
0xfffffff0083357e8: 00201a91  add	x0, x0, #0x688
0xfffffff0083357ec: 82008052  mov	w2, #4
0xfffffff0083357f0: 6202a072  movk	w2, #0x13, lsl #16
0xfffffff0083357f4: 030080d2  mov	x3, #0
0xfffffff0083357f8: 42c3e997  bl	#0xfffffff007da6500
0xfffffff0083357fc: 609201f9  str	x0, [x19, #0x320]
0xfffffff008335800: 68620c91  add	x8, x19, #0x318
0xfffffff008335804: 69008052  mov	w9, #3
0xfffffff008335808: 09fd9f08  stlrb	w9, [x8]
0xfffffff00833580c: 28f400d0  adrp	x8, #0xfffffff00a1bb000
