; Candidate 2210
; ADRP+ADD at VM 0xfffffff0085add84 (fileoff 0x15a9d84): page=0x1ff40b000 add_imm=0xeb0

0xfffffff0085add04: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0085add08: ff0f5fd6  retab	
0xfffffff0085add0c: 7f2303d5  pacibsp	
0xfffffff0085add10: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085add14: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085add18: fd430091  add	x29, sp, #0x10
0xfffffff0085add1c: 40a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085add20: 00c03a91  add	x0, x0, #0xeb0
0xfffffff0085add24: 01338052  mov	w1, #0x198
0xfffffff0085add28: 44e6f497  bl	#0xfffffff0082e7638
0xfffffff0085add2c: f30300aa  mov	x19, x0
0xfffffff0085add30: 54e900d0  adrp	x20, #0xfffffff00a2d7000
0xfffffff0085add34: 94221291  add	x20, x20, #0x488
0xfffffff0085add38: e10314aa  mov	x1, x20
0xfffffff0085add3c: 39d8ff97  bl	#0xfffffff0085a3e20
0xfffffff0085add40: 30a0fff0  adrp	x16, #0xfffffff0079b4000
0xfffffff0085add44: 10c20291  add	x16, x16, #0xb0
0xfffffff0085add48: 10420091  add	x16, x16, #0x10
0xfffffff0085add4c: f10300aa  mov	x17, x0
0xfffffff0085add50: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085add54: 300ac1da  pacda	x16, x17
0xfffffff0085add58: 100000f9  str	x16, [x0]
0xfffffff0085add5c: 1f7801b9  str	wzr, [x0, #0x178]
0xfffffff0085add60: 1fc800f9  str	xzr, [x0, #0x190]
0xfffffff0085add64: e00314aa  mov	x0, x20
0xfffffff0085add68: f3dcf497  bl	#0xfffffff0082e5134
0xfffffff0085add6c: e00313aa  mov	x0, x19
0xfffffff0085add70: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085add74: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085add78: ff0f5fd6  retab	
0xfffffff0085add7c: 5f2403d5  bti	c
0xfffffff0085add80: e10300aa  mov	x1, x0
0xfffffff0085add84: 40a0fff0  adrp	x0, #0xfffffff0079b8000
0xfffffff0085add88: 00c03a91  add	x0, x0, #0xeb0
0xfffffff0085add8c: 2be6f417  b	#0xfffffff0082e7638
0xfffffff0085add90: 7f2303d5  pacibsp	
0xfffffff0085add94: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085add98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085add9c: fd430091  add	x29, sp, #0x10
0xfffffff0085adda0: f30300aa  mov	x19, x0
0xfffffff0085adda4: 54e900d0  adrp	x20, #0xfffffff00a2d7000
0xfffffff0085adda8: 94221291  add	x20, x20, #0x488
0xfffffff0085addac: e10314aa  mov	x1, x20
0xfffffff0085addb0: 1cd8ff97  bl	#0xfffffff0085a3e20
0xfffffff0085addb4: 30a0fff0  adrp	x16, #0xfffffff0079b4000
0xfffffff0085addb8: 10c20291  add	x16, x16, #0xb0
0xfffffff0085addbc: 10420091  add	x16, x16, #0x10
0xfffffff0085addc0: f10300aa  mov	x17, x0
0xfffffff0085addc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085addc8: 300ac1da  pacda	x16, x17
0xfffffff0085addcc: 100000f9  str	x16, [x0]
0xfffffff0085addd0: 1f7801b9  str	wzr, [x0, #0x178]
0xfffffff0085addd4: 1fc800f9  str	xzr, [x0, #0x190]
0xfffffff0085addd8: e00314aa  mov	x0, x20
0xfffffff0085adddc: d6dcf497  bl	#0xfffffff0082e5134
0xfffffff0085adde0: e00313aa  mov	x0, x19
0xfffffff0085adde4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0085adde8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0085addec: ff0f5fd6  retab	
0xfffffff0085addf0: 7f2303d5  pacibsp	
0xfffffff0085addf4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085addf8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085addfc: fd430091  add	x29, sp, #0x10
0xfffffff0085ade00: f30300aa  mov	x19, x0
