; Candidate 852
; ADRP+ADD at VM 0xfffffff0080e3420 (fileoff 0x10df420): page=0x1fef93000 add_imm=0xce3

0xfffffff0080e33a0: c07dffb0  adrp	x0, #0xfffffff00709c000
0xfffffff0080e33a4: 00341d91  add	x0, x0, #0x74d
0xfffffff0080e33a8: 59c40e94  bl	#0xfffffff00849450c
0xfffffff0080e33ac: 7f2303d5  pacibsp	
0xfffffff0080e33b0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0080e33b4: fd030091  mov	x29, sp
0xfffffff0080e33b8: 410200b4  cbz	x1, #0xfffffff0080e3400
0xfffffff0080e33bc: e8ff9f52  mov	w8, #0xffff
0xfffffff0080e33c0: 293c4079  ldrh	w9, [x1, #0x1e]
0xfffffff0080e33c4: 29020836  tbz	w9, #1, #0xfffffff0080e3408
0xfffffff0080e33c8: 297440b9  ldr	w9, [x1, #0x74]
0xfffffff0080e33cc: 29051532  orr	w9, w9, #0x1800
0xfffffff0080e33d0: 297400b9  str	w9, [x1, #0x74]
0xfffffff0080e33d4: 09ac41f9  ldr	x9, [x0, #0x358]
0xfffffff0080e33d8: 294c00f9  str	x9, [x1, #0x98]
0xfffffff0080e33dc: 296040b9  ldr	w9, [x1, #0x60]
0xfffffff0080e33e0: 3f01086b  cmp	w9, w8
0xfffffff0080e33e4: e2010054  b.hs	#0xfffffff0080e3420
0xfffffff0080e33e8: 29480179  strh	w9, [x1, #0xa4]
0xfffffff0080e33ec: 0aac41f9  ldr	x10, [x0, #0x358]
0xfffffff0080e33f0: 4901098b  add	x9, x10, x9
0xfffffff0080e33f4: 09ac01f9  str	x9, [x0, #0x358]
0xfffffff0080e33f8: 210040f9  ldr	x1, [x1]
0xfffffff0080e33fc: 21feffb5  cbnz	x1, #0xfffffff0080e33c0
0xfffffff0080e3400: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0080e3404: ff0f5fd6  retab	
0xfffffff0080e3408: 207dfff0  adrp	x0, #0xfffffff00708a000
0xfffffff0080e340c: 00cc1d91  add	x0, x0, #0x773
0xfffffff0080e3410: 817cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080e3414: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e3418: 02a48252  mov	w2, #0x1520
0xfffffff0080e341c: fef00e94  bl	#0xfffffff00849f814
0xfffffff0080e3420: 807cfff0  adrp	x0, #0xfffffff007076000
0xfffffff0080e3424: 008c3391  add	x0, x0, #0xce3
0xfffffff0080e3428: 817cfff0  adrp	x1, #0xfffffff007076000
0xfffffff0080e342c: 21bc1e91  add	x1, x1, #0x7af
0xfffffff0080e3430: 62a48252  mov	w2, #0x1523
0xfffffff0080e3434: f8f00e94  bl	#0xfffffff00849f814
0xfffffff0080e3438: 7f2303d5  pacibsp	
0xfffffff0080e343c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0080e3440: fd030091  mov	x29, sp
0xfffffff0080e3444: a206f837  tbnz	w2, #0x1f, #0xfffffff0080e3518
0xfffffff0080e3448: e80301aa  mov	x8, x1
0xfffffff0080e344c: 810300b4  cbz	x1, #0xfffffff0080e34bc
0xfffffff0080e3450: 62030034  cbz	w2, #0xfffffff0080e34bc
0xfffffff0080e3454: 090840f9  ldr	x9, [x0, #0x10]
0xfffffff0080e3458: 211940f9  ldr	x1, [x9, #0x30]
0xfffffff0080e345c: 20b841f9  ldr	x0, [x1, #0x370]
0xfffffff0080e3460: e90308aa  mov	x9, x8
0xfffffff0080e3464: 083d4079  ldrh	w8, [x8, #0x1e]
0xfffffff0080e3468: 08040836  tbz	w8, #1, #0xfffffff0080e34e8
0xfffffff0080e346c: 28d54139  ldrb	w8, [x9, #0x75]
0xfffffff0080e3470: 88041836  tbz	w8, #3, #0xfffffff0080e3500
0xfffffff0080e3474: 281940b9  ldr	w8, [x9, #0x18]
0xfffffff0080e3478: 4200084b  sub	w2, w2, w8
0xfffffff0080e347c: 280140f9  ldr	x8, [x9]
0xfffffff0080e3480: 1f0100f1  cmp	x8, #0
0xfffffff0080e3484: 4418407a  ccmp	w2, #0, #4, ne
0xfffffff0080e3488: ccfeff54  b.gt	#0xfffffff0080e3460
0xfffffff0080e348c: 2a4d40f9  ldr	x10, [x9, #0x98]
0xfffffff0080e3490: 29494179  ldrh	w9, [x9, #0xa4]
0xfffffff0080e3494: 4901098b  add	x9, x10, x9
0xfffffff0080e3498: 680000b4  cbz	x8, #0xfffffff0080e34a4
0xfffffff0080e349c: 42000035  cbnz	w2, #0xfffffff0080e34a4
