; Candidate 2589
; ADRP+ADD at VM 0xfffffff0086cb100 (fileoff 0x16c7100): page=0x1fea64000 add_imm=0xe5d

0xfffffff0086cb080: 88064039  ldrb	w8, [x20, #1]
0xfffffff0086cb084: 48040034  cbz	w8, #0xfffffff0086cb10c
0xfffffff0086cb088: 2853ff90  adrp	x8, #0xfffffff00712f000
0xfffffff0086cb08c: 08113991  add	x8, x8, #0xe44
0xfffffff0086cb090: 49088052  mov	w9, #0x42
0xfffffff0086cb094: e82700a9  stp	x8, x9, [sp]
0xfffffff0086cb098: c052ffb0  adrp	x0, #0xfffffff007124000
0xfffffff0086cb09c: 00bc2f91  add	x0, x0, #0xbef
0xfffffff0086cb0a0: 1a000014  b	#0xfffffff0086cb108
0xfffffff0086cb0a4: 75e000d0  adrp	x21, #0xfffffff00a2d9000
0xfffffff0086cb0a8: b5621a91  add	x21, x21, #0x698
0xfffffff0086cb0ac: a9024039  ldrb	w9, [x21]
0xfffffff0086cb0b0: e9020034  cbz	w9, #0xfffffff0086cb10c
0xfffffff0086cb0b4: 08050051  sub	w8, w8, #1
0xfffffff0086cb0b8: f42300a9  stp	x20, x8, [sp]
0xfffffff0086cb0bc: a052ffd0  adrp	x0, #0xfffffff007121000
0xfffffff0086cb0c0: 00400591  add	x0, x0, #0x150
0xfffffff0086cb0c4: c198ff90  adrp	x1, #0xfffffff0079e3000
0xfffffff0086cb0c8: 214847f9  ldr	x1, [x1, #0xe90]
0xfffffff0086cb0cc: c352ff90  adrp	x3, #0xfffffff007123000
0xfffffff0086cb0d0: 630c3391  add	x3, x3, #0xcc3
0xfffffff0086cb0d4: 02008052  mov	w2, #0
0xfffffff0086cb0d8: 16a0f197  bl	#0xfffffff008333130
0xfffffff0086cb0dc: a8064039  ldrb	w8, [x21, #1]
0xfffffff0086cb0e0: 68010034  cbz	w8, #0xfffffff0086cb10c
0xfffffff0086cb0e4: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0086cb0e8: 08050051  sub	w8, w8, #1
0xfffffff0086cb0ec: f42301a9  stp	x20, x8, [sp, #0x10]
0xfffffff0086cb0f0: 2853ff90  adrp	x8, #0xfffffff00712f000
0xfffffff0086cb0f4: 08113991  add	x8, x8, #0xe44
0xfffffff0086cb0f8: 09098052  mov	w9, #0x48
0xfffffff0086cb0fc: e82700a9  stp	x8, x9, [sp]
0xfffffff0086cb100: 2053ff90  adrp	x0, #0xfffffff00712f000
0xfffffff0086cb104: 00743991  add	x0, x0, #0xe5d
0xfffffff0086cb108: c62ff297  bl	#0xfffffff008357020
0xfffffff0086cb10c: 140080d2  mov	x20, #0
0xfffffff0086cb110: 700240f9  ldr	x16, [x19]
0xfffffff0086cb114: f10313aa  mov	x17, x19
0xfffffff0086cb118: f1eceaf2  movk	x17, #0x5767, lsl #48
0xfffffff0086cb11c: 301ac1da  autda	x16, x17
0xfffffff0086cb120: 080e43f8  ldr	x8, [x16, #0x30]!
0xfffffff0086cb124: e90310aa  mov	x9, x16
0xfffffff0086cb128: e00313aa  mov	x0, x19
0xfffffff0086cb12c: f10309aa  mov	x17, x9
0xfffffff0086cb130: 916ce5f2  movk	x17, #0x2b64, lsl #48
0xfffffff0086cb134: 11093fd7  blraa	x8, x17
0xfffffff0086cb138: e00314aa  mov	x0, x20
0xfffffff0086cb13c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0086cb140: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0086cb144: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0086cb148: ff430191  add	sp, sp, #0x50
0xfffffff0086cb14c: ff0f5fd6  retab	
0xfffffff0086cb150: 7f2303d5  pacibsp	
0xfffffff0086cb154: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0086cb158: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0086cb15c: fd430091  add	x29, sp, #0x10
0xfffffff0086cb160: f30301aa  mov	x19, x1
0xfffffff0086cb164: f40300aa  mov	x20, x0
0xfffffff0086cb168: 100040f9  ldr	x16, [x0]
0xfffffff0086cb16c: f10300aa  mov	x17, x0
0xfffffff0086cb170: f1eceaf2  movk	x17, #0x5767, lsl #48
0xfffffff0086cb174: 301ac1da  autda	x16, x17
0xfffffff0086cb178: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0086cb17c: e90310aa  mov	x9, x16
