; Candidate 14193
; ADRP+ADD at VM 0xfffffff00974be44 (fileoff 0x2747e44): page=0xc40000 add_imm=0xd58

0xfffffff00974bdc4: e00313aa  mov	x0, x19
0xfffffff00974bdc8: c15a8052  mov	w1, #0x2d6
0xfffffff00974bdcc: 0100bc72  movk	w1, #0xe000, lsl #16
0xfffffff00974bdd0: 020080d2  mov	x2, #0
0xfffffff00974bdd4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00974bdd8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00974bddc: ff2303d5  autibsp	
0xfffffff00974bde0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00974bde4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00974bdec
0xfffffff00974bde8: 208e38d4  brk	#0xc471
0xfffffff00974bdec: 96020014  b	#0xfffffff00974c844
0xfffffff00974bdf0: 7f2303d5  pacibsp	
0xfffffff00974bdf4: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff00974bdf8: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff00974bdfc: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00974be00: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00974be04: fdc30091  add	x29, sp, #0x30
0xfffffff00974be08: f30301aa  mov	x19, x1
0xfffffff00974be0c: f40300aa  mov	x20, x0
0xfffffff00974be10: 100040f9  ldr	x16, [x0]
0xfffffff00974be14: f10300aa  mov	x17, x0
0xfffffff00974be18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974be1c: 301ac1da  autda	x16, x17
0xfffffff00974be20: 11a880d2  mov	x17, #0x540
0xfffffff00974be24: 1002118b  add	x16, x16, x17
0xfffffff00974be28: 080240f9  ldr	x8, [x16]
0xfffffff00974be2c: e90310aa  mov	x9, x16
0xfffffff00974be30: f10309aa  mov	x17, x9
0xfffffff00974be34: 5188f3f2  movk	x17, #0x9c42, lsl #48
0xfffffff00974be38: 11093fd7  blraa	x8, x17
0xfffffff00974be3c: a00400b4  cbz	x0, #0xfffffff00974bed0
0xfffffff00974be40: f50300aa  mov	x21, x0
0xfffffff00974be44: 00620090  adrp	x0, #0xfffffff00a38b000
0xfffffff00974be48: 00603591  add	x0, x0, #0xd58
0xfffffff00974be4c: c362ae97  bl	#0xfffffff0082e4958
0xfffffff00974be50: f60300aa  mov	x22, x0
0xfffffff00974be54: b00240f9  ldr	x16, [x21]
0xfffffff00974be58: f10315aa  mov	x17, x21
0xfffffff00974be5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974be60: 301ac1da  autda	x16, x17
0xfffffff00974be64: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974be68: e90310aa  mov	x9, x16
0xfffffff00974be6c: e00315aa  mov	x0, x21
0xfffffff00974be70: f10309aa  mov	x17, x9
0xfffffff00974be74: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974be78: 11093fd7  blraa	x8, x17
0xfffffff00974be7c: f70300aa  mov	x23, x0
0xfffffff00974be80: 900240f9  ldr	x16, [x20]
0xfffffff00974be84: f10314aa  mov	x17, x20
0xfffffff00974be88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00974be8c: 301ac1da  autda	x16, x17
0xfffffff00974be90: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00974be94: e90310aa  mov	x9, x16
0xfffffff00974be98: e00314aa  mov	x0, x20
0xfffffff00974be9c: f10309aa  mov	x17, x9
0xfffffff00974bea0: f1c0e6f2  movk	x17, #0x3607, lsl #48
0xfffffff00974bea4: 11093fd7  blraa	x8, x17
0xfffffff00974bea8: e50300aa  mov	x5, x0
0xfffffff00974beac: e43e0012  and	w4, w23, #0xffff
0xfffffff00974beb0: 02f2feb0  adrp	x2, #0xfffffff00758c000
0xfffffff00974beb4: 42040691  add	x2, x2, #0x181
0xfffffff00974beb8: e00315aa  mov	x0, x21
0xfffffff00974bebc: e10316aa  mov	x1, x22
0xfffffff00974bec0: 43168052  mov	w3, #0xb2
