; Candidate 12605
; ADRP+ADD at VM 0xfffffff0090c3aa0 (fileoff 0x20bfaa0): page=0x1fe396000 add_imm=0xe24

0xfffffff0090c3a20: 18d32991  add	x24, x24, #0xa74
0xfffffff0090c3a24: 1f290071  cmp	w8, #0xa
0xfffffff0090c3a28: a8000054  b.hi	#0xfffffff0090c3a3c
0xfffffff0090c3a2c: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090c3a30: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c3a34: 00583191  add	x0, x0, #0xc56
0xfffffff0090c3a38: 7a4dca97  bl	#0xfffffff008357020
0xfffffff0090c3a3c: 81920090  adrp	x1, #0xfffffff00a313000
0xfffffff0090c3a40: 21403a91  add	x1, x1, #0xe90
0xfffffff0090c3a44: b0fffff0  adrp	x16, #0xfffffff0090ba000
0xfffffff0090c3a48: 10a20a91  add	x16, x16, #0x2a8
0xfffffff0090c3a4c: 519081d2  mov	x17, #0xc82
0xfffffff0090c3a50: 3002c1da  pacia	x16, x17
0xfffffff0090c3a54: e00310aa  mov	x0, x16
0xfffffff0090c3a58: e20316aa  mov	x2, x22
0xfffffff0090c3a5c: e30315aa  mov	x3, x21
0xfffffff0090c3a60: 040080d2  mov	x4, #0
0xfffffff0090c3a64: 05008052  mov	w5, #0
0xfffffff0090c3a68: e60314aa  mov	x6, x20
0xfffffff0090c3a6c: e70313aa  mov	x7, x19
0xfffffff0090c3a70: 47f0ff97  bl	#0xfffffff0090bfb8c
0xfffffff0090c3a74: f30300aa  mov	x19, x0
0xfffffff0090c3a78: 1f000071  cmp	w0, #0
0xfffffff0090c3a7c: c8088052  mov	w8, #0x46
0xfffffff0090c3a80: 49018052  mov	w9, #0xa
0xfffffff0090c3a84: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090c3a88: 29c34339  ldrb	w9, [x25, #0xf0]
0xfffffff0090c3a8c: 1f01096b  cmp	w8, w9
0xfffffff0090c3a90: e3000054  b.lo	#0xfffffff0090c3aac
0xfffffff0090c3a94: 687e4093  sxtw	x8, w19
0xfffffff0090c3a98: f85f00a9  stp	x24, x23, [sp]
0xfffffff0090c3a9c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090c3aa0: a01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090c3aa4: 00903891  add	x0, x0, #0xe24
0xfffffff0090c3aa8: 5e4dca97  bl	#0xfffffff008357020
0xfffffff0090c3aac: e00313aa  mov	x0, x19
0xfffffff0090c3ab0: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0090c3ab4: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0090c3ab8: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0090c3abc: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0090c3ac0: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0090c3ac4: ffc30191  add	sp, sp, #0x70
0xfffffff0090c3ac8: ff0f5fd6  retab	
0xfffffff0090c3acc: 7f2303d5  pacibsp	
0xfffffff0090c3ad0: ff0302d1  sub	sp, sp, #0x80
0xfffffff0090c3ad4: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff0090c3ad8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0090c3adc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0090c3ae0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0090c3ae4: fdc30191  add	x29, sp, #0x70
0xfffffff0090c3ae8: f40303aa  mov	x20, x3
0xfffffff0090c3aec: f60302aa  mov	x22, x2
0xfffffff0090c3af0: f30301aa  mov	x19, x1
0xfffffff0090c3af4: f50300aa  mov	x21, x0
0xfffffff0090c3af8: 779200d0  adrp	x23, #0xfffffff00a311000
0xfffffff0090c3afc: e8c24339  ldrb	w8, [x23, #0xf0]
0xfffffff0090c3b00: 1f290071  cmp	w8, #0xa
0xfffffff0090c3b04: 28010054  b.hi	#0xfffffff0090c3b28
0xfffffff0090c3b08: 281dffd0  adrp	x8, #0xfffffff007469000
0xfffffff0090c3b0c: 087d2491  add	x8, x8, #0x91f
0xfffffff0090c3b10: 091dff90  adrp	x9, #0xfffffff007463000
0xfffffff0090c3b14: 29d12991  add	x9, x9, #0xa74
0xfffffff0090c3b18: e92300a9  stp	x9, x8, [sp]
0xfffffff0090c3b1c: a01cffd0  adrp	x0, #0xfffffff007459000
