; Candidate 9472
; ADRP+ADD at VM 0xfffffff008a57a84 (fileoff 0x1a53a84): page=0x1fe850000 add_imm=0xed0

0xfffffff008a57a04: 01f8ff54  b.ne	#0xfffffff008a57904
0xfffffff008a57a08: 770100b4  cbz	x23, #0xfffffff008a57a34
0xfffffff008a57a0c: f00240f9  ldr	x16, [x23]
0xfffffff008a57a10: f10317aa  mov	x17, x23
0xfffffff008a57a14: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a57a18: 301ac1da  autda	x16, x17
0xfffffff008a57a1c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a57a20: e90310aa  mov	x9, x16
0xfffffff008a57a24: e00317aa  mov	x0, x23
0xfffffff008a57a28: f10309aa  mov	x17, x9
0xfffffff008a57a2c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a57a30: 11093fd7  blraa	x8, x17
0xfffffff008a57a34: e00313aa  mov	x0, x19
0xfffffff008a57a38: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008a57a3c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008a57a40: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008a57a44: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008a57a48: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008a57a4c: ffc30191  add	sp, sp, #0x70
0xfffffff008a57a50: ff0f5fd6  retab	
0xfffffff008a57a54: 9342ff90  adrp	x19, #0xfffffff0072a7000
0xfffffff008a57a58: 73e23a91  add	x19, x19, #0xeb8
0xfffffff008a57a5c: f37f00a9  stp	x19, xzr, [sp]
0xfffffff008a57a60: 6042ffb0  adrp	x0, #0xfffffff0072a4000
0xfffffff008a57a64: 00402e91  add	x0, x0, #0xb90
0xfffffff008a57a68: 2180ffb0  adrp	x1, #0xfffffff007a5c000
0xfffffff008a57a6c: 215847f9  ldr	x1, [x1, #0xeb0]
0xfffffff008a57a70: 8342fff0  adrp	x3, #0xfffffff0072aa000
0xfffffff008a57a74: 63bc2f91  add	x3, x3, #0xbef
0xfffffff008a57a78: 02028052  mov	w2, #0x10
0xfffffff008a57a7c: ad6de397  bl	#0xfffffff008333130
0xfffffff008a57a80: f37f00a9  stp	x19, xzr, [sp]
0xfffffff008a57a84: 8042ff90  adrp	x0, #0xfffffff0072a7000
0xfffffff008a57a88: 00403b91  add	x0, x0, #0xed0
0xfffffff008a57a8c: 65fde397  bl	#0xfffffff008357020
0xfffffff008a57a90: 130080d2  mov	x19, #0
0xfffffff008a57a94: e8ffff17  b	#0xfffffff008a57a34
0xfffffff008a57a98: 5f2403d5  bti	c
0xfffffff008a57a9c: 48c40090  adrp	x8, #0xfffffff00a2df000
0xfffffff008a57aa0: 08210891  add	x8, x8, #0x208
0xfffffff008a57aa4: 100140f9  ldr	x16, [x8]
0xfffffff008a57aa8: 700000b4  cbz	x16, #0xfffffff008a57ab4
0xfffffff008a57aac: d19f9cd2  mov	x17, #0xe4fe
0xfffffff008a57ab0: 110a1fd7  braa	x16, x17
0xfffffff008a57ab4: 00008052  mov	w0, #0
0xfffffff008a57ab8: c0035fd6  ret	
0xfffffff008a57abc: 5f2403d5  bti	c
0xfffffff008a57ac0: 48c40090  adrp	x8, #0xfffffff00a2df000
0xfffffff008a57ac4: 08a10191  add	x8, x8, #0x68
0xfffffff008a57ac8: 00410091  add	x0, x8, #0x10
0xfffffff008a57acc: c0035fd6  ret	
0xfffffff008a57ad0: 5f2403d5  bti	c
0xfffffff008a57ad4: 48c40090  adrp	x8, #0xfffffff00a2df000
0xfffffff008a57ad8: 08a10191  add	x8, x8, #0x68
0xfffffff008a57adc: 00410191  add	x0, x8, #0x50
0xfffffff008a57ae0: c0035fd6  ret	
0xfffffff008a57ae4: 5f2403d5  bti	c
0xfffffff008a57ae8: 48c40090  adrp	x8, #0xfffffff00a2df000
0xfffffff008a57aec: 08a10191  add	x8, x8, #0x68
0xfffffff008a57af0: 000d40b9  ldr	w0, [x8, #0xc]
0xfffffff008a57af4: c0035fd6  ret	
0xfffffff008a57af8: 5f2403d5  bti	c
0xfffffff008a57afc: 48c40090  adrp	x8, #0xfffffff00a2df000
0xfffffff008a57b00: 08410891  add	x8, x8, #0x210
