; Candidate 3118
; ADRP+ADD at VM 0xfffffff008713dd4 (fileoff 0x170fdd4): page=0x1fea1e000 add_imm=0xd90

0xfffffff008713d54: 8b8e47b9  ldr	w11, [x20, #0x78c]
0xfffffff008713d58: 8b000034  cbz	w11, #0xfffffff008713d68
0xfffffff008713d5c: 0bf48052  mov	w11, #0x7a0
0xfffffff008713d60: 4b210b9b  madd	x11, x10, x11, x8
0xfffffff008713d64: 6b0200f9  str	x11, [x19]
0xfffffff008713d68: 59008052  mov	w25, #2
0xfffffff008713d6c: 1901a072  movk	w25, #8, lsl #16
0xfffffff008713d70: 0bf48052  mov	w11, #0x7a0
0xfffffff008713d74: 4b210b9b  madd	x11, x10, x11, x8
0xfffffff008713d78: 6c110a91  add	x12, x11, #0x284
0xfffffff008713d7c: 804244fd  ldr	d0, [x20, #0x880]
0xfffffff008713d80: 800100fd  str	d0, [x12]
0xfffffff008713d84: 6cd11c91  add	x12, x11, #0x734
0xfffffff008713d88: c00240fd  ldr	d0, [x22]
0xfffffff008713d8c: 800100fd  str	d0, [x12]
0xfffffff008713d90: 8c6e40b9  ldr	w12, [x20, #0x6c]
0xfffffff008713d94: 6c1907b9  str	w12, [x11, #0x718]
0xfffffff008713d98: 8c7640b9  ldr	w12, [x20, #0x74]
0xfffffff008713d9c: 6c1d07b9  str	w12, [x11, #0x71c]
0xfffffff008713da0: 8c8240b9  ldr	w12, [x20, #0x80]
0xfffffff008713da4: 6cc11c39  strb	w12, [x11, #0x730]
0xfffffff008713da8: 804248fc  ldur	d0, [x20, #0x84]
0xfffffff008713dac: 608903fd  str	d0, [x11, #0x710]
0xfffffff008713db0: 6b7a40b9  ldr	w11, [x19, #0x78]
0xfffffff008713db4: 3f032b6a  bics	wzr, w25, w11
0xfffffff008713db8: 41020054  b.ne	#0xfffffff008713e00
0xfffffff008713dbc: 0bf48052  mov	w11, #0x7a0
0xfffffff008713dc0: 48210b9b  madd	x8, x10, x11, x8
0xfffffff008713dc4: ea51ff90  adrp	x10, #0xfffffff00714f000
0xfffffff008713dc8: 4a350691  add	x10, x10, #0x18d
0xfffffff008713dcc: ea2700a9  stp	x10, x9, [sp]
0xfffffff008713dd0: e85701a9  stp	x8, x21, [sp, #0x10]
0xfffffff008713dd4: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713dd8: 00403691  add	x0, x0, #0xd90
0xfffffff008713ddc: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713de0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713de4: 2351ffb0  adrp	x3, #0xfffffff007138000
0xfffffff008713de8: 63b00291  add	x3, x3, #0xac
0xfffffff008713dec: 02008052  mov	w2, #0
0xfffffff008713df0: d07cf097  bl	#0xfffffff008333130
0xfffffff008713df4: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff008713df8: 697640b9  ldr	w9, [x19, #0x74]
0xfffffff008713dfc: 2a7d4093  sxtw	x10, w9
0xfffffff008713e00: 0bf48052  mov	w11, #0x7a0
0xfffffff008713e04: 4b210b9b  madd	x11, x10, x11, x8
0xfffffff008713e08: 75c903f9  str	x21, [x11, #0x790]
0xfffffff008713e0c: 8bbe43f9  ldr	x11, [x20, #0x778]
0xfffffff008713e10: eb0000b4  cbz	x11, #0xfffffff008713e2c
0xfffffff008713e14: 6c0140b9  ldr	w12, [x11]
0xfffffff008713e18: 8c050011  add	w12, w12, #1
0xfffffff008713e1c: 6c0100b9  str	w12, [x11]
0xfffffff008713e20: 0cf48052  mov	w12, #0x7a0
0xfffffff008713e24: 4a210c9b  madd	x10, x10, x12, x8
0xfffffff008713e28: 4bc503f9  str	x11, [x10, #0x788]
0xfffffff008713e2c: 8a4e47b9  ldr	w10, [x20, #0x74c]
0xfffffff008713e30: 8a020034  cbz	w10, #0xfffffff008713e80
0xfffffff008713e34: ca826839  ldrb	w10, [x22, #0xa20]
0xfffffff008713e38: 2a030034  cbz	w10, #0xfffffff008713e9c
0xfffffff008713e3c: 15008052  mov	w21, #0
0xfffffff008713e40: a4ffff17  b	#0xfffffff008713cd0
0xfffffff008713e44: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff008713e48: 28f40736  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff008713e4c: 15008012  mov	w21, #-1
0xfffffff008713e50: e851ff90  adrp	x8, #0xfffffff00714f000
