; Candidate 12
; ADRP+ADD at VM 0xfffffff007d768f0 (fileoff 0xd728f0): page=0x1ff2cd000 add_imm=0xd3b

0xfffffff007d76870: 28696878  ldrh	w8, [x9, x8]
0xfffffff007d76874: 08250012  and	w8, w8, #0x3ff
0xfffffff007d76878: 1f510071  cmp	w8, #0x14
0xfffffff007d7687c: 01040054  b.ne	#0xfffffff007d768fc
0xfffffff007d76880: 60320091  add	x0, x19, #0xc
0xfffffff007d76884: 88d038d5  mrs	x8, tpidr_el1
0xfffffff007d76888: 094941b9  ldr	w9, [x8, #0x148]
0xfffffff007d7688c: 29050011  add	w9, w9, #1
0xfffffff007d76890: 094901b9  str	w9, [x8, #0x148]
0xfffffff007d76894: 0820a052  mov	w8, #0x1000000
0xfffffff007d76898: 0800a8b8  ldadda	w8, w8, [x0]
0xfffffff007d7689c: 097d1053  lsr	w9, w8, #0x10
0xfffffff007d768a0: 017d1853  lsr	w1, w8, #0x18
0xfffffff007d768a4: 3f00296b  cmp	w1, w9, uxtb
0xfffffff007d768a8: 41010054  b.ne	#0xfffffff007d768d0
0xfffffff007d768ac: e00313aa  mov	x0, x19
0xfffffff007d768b0: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007d768b4: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007d768b8: ffc30091  add	sp, sp, #0x30
0xfffffff007d768bc: ff2303d5  autibsp	
0xfffffff007d768c0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007d768c4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007d768cc
0xfffffff007d768c8: 208e38d4  brk	#0xc471
0xfffffff007d768cc: 3bfbff17  b	#0xfffffff007d755b8
0xfffffff007d768d0: 02dbffd0  adrp	x2, #0xfffffff0078d8000
0xfffffff007d768d4: 42201b91  add	x2, x2, #0x6c8
0xfffffff007d768d8: bbe10094  bl	#0xfffffff007daefc4
0xfffffff007d768dc: f4ffff17  b	#0xfffffff007d768ac
0xfffffff007d768e0: 6896ffb0  adrp	x8, #0xfffffff007043000
0xfffffff007d768e4: 08b93491  add	x8, x8, #0xd2e
0xfffffff007d768e8: 49668052  mov	w9, #0x332
0xfffffff007d768ec: e82700a9  stp	x8, x9, [sp]
0xfffffff007d768f0: 6096ffb0  adrp	x0, #0xfffffff007043000
0xfffffff007d768f4: 00ec3491  add	x0, x0, #0xd3b
0xfffffff007d768f8: 05771c94  bl	#0xfffffff00849450c
0xfffffff007d768fc: 80028052  mov	w0, #0x14
0xfffffff007d76900: e10313aa  mov	x1, x19
0xfffffff007d76904: 8c8e1c94  bl	#0xfffffff00849a334
0xfffffff007d76908: 7f2303d5  pacibsp	
0xfffffff007d7690c: ffc300d1  sub	sp, sp, #0x30
0xfffffff007d76910: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007d76914: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007d76918: fd830091  add	x29, sp, #0x20
0xfffffff007d7691c: f30300aa  mov	x19, x0
0xfffffff007d76920: 3f480071  cmp	w1, #0x12
0xfffffff007d76924: 80010054  b.eq	#0xfffffff007d76954
0xfffffff007d76928: 3f440071  cmp	w1, #0x11
0xfffffff007d7692c: e1080054  b.ne	#0xfffffff007d76a48
0xfffffff007d76930: e00313aa  mov	x0, x19
0xfffffff007d76934: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007d76938: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007d7693c: ffc30091  add	sp, sp, #0x30
0xfffffff007d76940: ff2303d5  autibsp	
0xfffffff007d76944: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007d76948: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007d76950
0xfffffff007d7694c: 208e38d4  brk	#0xc471
0xfffffff007d76950: a7100014  b	#0xfffffff007d7abec
0xfffffff007d76954: 680240b9  ldr	w8, [x19]
0xfffffff007d76958: 0a391012  and	w10, w8, #0x7fff0000
0xfffffff007d7695c: 08dbffd0  adrp	x8, #0xfffffff0078d8000
0xfffffff007d76960: 08411c91  add	x8, x8, #0x710
0xfffffff007d76964: 09210091  add	x9, x8, #8
0xfffffff007d76968: 082540a9  ldp	x8, x9, [x8]
0xfffffff007d7696c: 5f414071  cmp	w10, #0x10, lsl #12
