; Candidate 653
; ADRP+ADD at VM 0xfffffff00800bdac (fileoff 0x1007dac): page=0x1ff96a000 add_imm=0xdb0

0xfffffff00800bd2c: 08850991  add	x8, x8, #0x261
0xfffffff00800bd30: 0983ff90  adrp	x9, #0xfffffff00706b000
0xfffffff00800bd34: 29b90891  add	x9, x9, #0x22e
0xfffffff00800bd38: e92300a9  stp	x9, x8, [sp]
0xfffffff00800bd3c: 0080ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff00800bd40: 00000091  add	x0, x0, #0
0xfffffff00800bd44: 611001f0  adrp	x1, #0xfffffff00a21a000
0xfffffff00800bd48: 21502f91  add	x1, x1, #0xbd4
0xfffffff00800bd4c: 6385ffb0  adrp	x3, #0xfffffff0070b8000
0xfffffff00800bd50: 63f80e91  add	x3, x3, #0x3be
0xfffffff00800bd54: 02028052  mov	w2, #0x10
0xfffffff00800bd58: f69c0c94  bl	#0xfffffff008333130
0xfffffff00800bd5c: d4028052  mov	w20, #0x16
0xfffffff00800bd60: 2ffdff17  b	#0xfffffff00800b21c
0xfffffff00800bd64: e89641b9  ldr	w8, [x23, #0x194]
0xfffffff00800bd68: 1f0d0071  cmp	w8, #3
0xfffffff00800bd6c: 63a5ff54  b.lo	#0xfffffff00800b218
0xfffffff00800bd70: 0883ff90  adrp	x8, #0xfffffff00706b000
0xfffffff00800bd74: 08110b91  add	x8, x8, #0x2c4
0xfffffff00800bd78: e85300a9  stp	x8, x20, [sp]
0xfffffff00800bd7c: 0080ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff00800bd80: 00000091  add	x0, x0, #0
0xfffffff00800bd84: 611001f0  adrp	x1, #0xfffffff00a21a000
0xfffffff00800bd88: 21502f91  add	x1, x1, #0xbd4
0xfffffff00800bd8c: 6385ffb0  adrp	x3, #0xfffffff0070b8000
0xfffffff00800bd90: 63580f91  add	x3, x3, #0x3d6
0xfffffff00800bd94: 02028052  mov	w2, #0x10
0xfffffff00800bd98: e69c0c94  bl	#0xfffffff008333130
0xfffffff00800bd9c: 1ffdff17  b	#0xfffffff00800b218
0xfffffff00800bda0: 08610391  add	x8, x8, #0xd8
0xfffffff00800bda4: 1f0114eb  cmp	x8, x20
0xfffffff00800bda8: c1110054  b.ne	#0xfffffff00800bfe0
0xfffffff00800bdac: 40cbffd0  adrp	x0, #0xfffffff007975000
0xfffffff00800bdb0: 00c03691  add	x0, x0, #0xdb0
0xfffffff00800bdb4: 81009052  mov	w1, #0x8004
0xfffffff00800bdb8: 476cf697  bl	#0xfffffff007da6ed4
0xfffffff00800bdbc: f60300aa  mov	x22, x0
0xfffffff00800bdc0: 20cbff90  adrp	x0, #0xfffffff00796f000
0xfffffff00800bdc4: 00201a91  add	x0, x0, #0x688
0xfffffff00800bdc8: e10314aa  mov	x1, x20
0xfffffff00800bdcc: 02009052  mov	w2, #0x8000
0xfffffff00800bdd0: 030080d2  mov	x3, #0
0xfffffff00800bdd4: cb69f697  bl	#0xfffffff007da6500
0xfffffff00800bdd8: c04200f9  str	x0, [x22, #0x80]
0xfffffff00800bddc: d7420091  add	x23, x22, #0x10
0xfffffff00800bde0: 810d01f0  adrp	x1, #0xfffffff00a1be000
0xfffffff00800bde4: 21200f91  add	x1, x1, #0x3c8
0xfffffff00800bde8: e00317aa  mov	x0, x23
0xfffffff00800bdec: 020080d2  mov	x2, #0
0xfffffff00800bdf0: ad84f697  bl	#0xfffffff007dad0a4
0xfffffff00800bdf4: c04240f9  ldr	x0, [x22, #0x80]
0xfffffff00800bdf8: e10315aa  mov	x1, x21
0xfffffff00800bdfc: e20314aa  mov	x2, x20
0xfffffff00800be00: e402f597  bl	#0xfffffff007d4c990
0xfffffff00800be04: c14240f9  ldr	x1, [x22, #0x80]
0xfffffff00800be08: e0c30091  add	x0, sp, #0x30
0xfffffff00800be0c: 02028052  mov	w2, #0x10
0xfffffff00800be10: e002f597  bl	#0xfffffff007d4c990
0xfffffff00800be14: e00313aa  mov	x0, x19
0xfffffff00800be18: e10316aa  mov	x1, x22
0xfffffff00800be1c: af020094  bl	#0xfffffff00800c8d8
0xfffffff00800be20: 40120034  cbz	w0, #0xfffffff00800c068
0xfffffff00800be24: f40300aa  mov	x20, x0
0xfffffff00800be28: e00317aa  mov	x0, x23
