; Candidate 7784
; ADRP+ADD at VM 0xfffffff00887f358 (fileoff 0x187b358): page=0x1fe994000 add_imm=0xe0f

0xfffffff00887f2d8: e34eff90  adrp	x3, #0xfffffff00725b000
0xfffffff00887f2dc: 63701691  add	x3, x3, #0x59c
0xfffffff00887f2e0: 02008052  mov	w2, #0
0xfffffff00887f2e4: 93cfea97  bl	#0xfffffff008333130
0xfffffff00887f2e8: f57c8012  mov	w21, #-0x3e8
0xfffffff00887f2ec: 36008052  mov	w22, #1
0xfffffff00887f2f0: 4fffff17  b	#0xfffffff00887f02c
0xfffffff00887f2f4: 7f2303d5  pacibsp	
0xfffffff00887f2f8: ffc301d1  sub	sp, sp, #0x70
0xfffffff00887f2fc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00887f300: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff00887f304: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff00887f308: fd830191  add	x29, sp, #0x60
0xfffffff00887f30c: f30300aa  mov	x19, x0
0xfffffff00887f310: 600d8052  mov	w0, #0x6b
0xfffffff00887f314: 01018052  mov	w1, #8
0xfffffff00887f318: 2ef1ff97  bl	#0xfffffff00887b7d0
0xfffffff00887f31c: 40020034  cbz	w0, #0xfffffff00887f364
0xfffffff00887f320: 600d8052  mov	w0, #0x6b
0xfffffff00887f324: 3df1ff97  bl	#0xfffffff00887b818
0xfffffff00887f328: f50300aa  mov	x21, x0
0xfffffff00887f32c: a0d30094  bl	#0xfffffff0088b41ac
0xfffffff00887f330: f40300aa  mov	x20, x0
0xfffffff00887f334: 00018052  mov	w0, #8
0xfffffff00887f338: 46f1ff97  bl	#0xfffffff00887b850
0xfffffff00887f33c: 55070034  cbz	w21, #0xfffffff00887f424
0xfffffff00887f340: 684dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887f344: 08011f91  add	x8, x8, #0x7c0
0xfffffff00887f348: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00887f34c: 680d8052  mov	w8, #0x6b
0xfffffff00887f350: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00887f354: f40300f9  str	x20, [sp]
0xfffffff00887f358: a04cff90  adrp	x0, #0xfffffff007213000
0xfffffff00887f35c: 003c3891  add	x0, x0, #0xe0f
0xfffffff00887f360: 40e0d497  bl	#0xfffffff007db7460
0xfffffff00887f364: 730800b4  cbz	x19, #0xfffffff00887f470
0xfffffff00887f368: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff00887f36c: a00200b4  cbz	x0, #0xfffffff00887f3c0
0xfffffff00887f370: 100040f9  ldr	x16, [x0]
0xfffffff00887f374: f10300aa  mov	x17, x0
0xfffffff00887f378: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00887f37c: 301ac1da  autda	x16, x17
0xfffffff00887f380: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff00887f384: e90310aa  mov	x9, x16
0xfffffff00887f388: f10309aa  mov	x17, x9
0xfffffff00887f38c: 1131f2f2  movk	x17, #0x9188, lsl #48
0xfffffff00887f390: 11093fd7  blraa	x8, x17
0xfffffff00887f394: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff00887f398: 100040f9  ldr	x16, [x0]
0xfffffff00887f39c: f10300aa  mov	x17, x0
0xfffffff00887f3a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00887f3a4: 301ac1da  autda	x16, x17
0xfffffff00887f3a8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00887f3ac: e90310aa  mov	x9, x16
0xfffffff00887f3b0: f10309aa  mov	x17, x9
0xfffffff00887f3b4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00887f3b8: 11093fd7  blraa	x8, x17
0xfffffff00887f3bc: 7f1200f9  str	xzr, [x19, #0x20]
0xfffffff00887f3c0: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00887f3c4: a00800b4  cbz	x0, #0xfffffff00887f4d8
0xfffffff00887f3c8: 100040f9  ldr	x16, [x0]
0xfffffff00887f3cc: f10300aa  mov	x17, x0
0xfffffff00887f3d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00887f3d4: 301ac1da  autda	x16, x17
