; Candidate 11137
; ADRP+ADD at VM 0xfffffff008e75a58 (fileoff 0x1e71a58): page=0x1495000 add_imm=0xda0

0xfffffff008e759d8: 030c8052  mov	w3, #0x60
0xfffffff008e759dc: 57b8d197  bl	#0xfffffff0082e3b38
0xfffffff008e759e0: 7064ffb0  adrp	x16, #0xfffffff007b02000
0xfffffff008e759e4: 10a21e91  add	x16, x16, #0x7a8
0xfffffff008e759e8: 10420091  add	x16, x16, #0x10
0xfffffff008e759ec: f10313aa  mov	x17, x19
0xfffffff008e759f0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e759f4: 300ac1da  pacda	x16, x17
0xfffffff008e759f8: 700200f9  str	x16, [x19]
0xfffffff008e759fc: a0a400b0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e75a00: 00203791  add	x0, x0, #0xdc8
0xfffffff008e75a04: 212bff90  adrp	x1, #0xfffffff0073d9000
0xfffffff008e75a08: 21343591  add	x1, x1, #0xd4d
0xfffffff008e75a0c: e20313aa  mov	x2, x19
0xfffffff008e75a10: 03148052  mov	w3, #0xa0
0xfffffff008e75a14: 49b8d197  bl	#0xfffffff0082e3b38
0xfffffff008e75a18: 7064ffb0  adrp	x16, #0xfffffff007b02000
0xfffffff008e75a1c: 10822a91  add	x16, x16, #0xaa0
0xfffffff008e75a20: 10420091  add	x16, x16, #0x10
0xfffffff008e75a24: f10300aa  mov	x17, x0
0xfffffff008e75a28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e75a2c: 300ac1da  pacda	x16, x17
0xfffffff008e75a30: 100000f9  str	x16, [x0]
0xfffffff008e75a34: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008e75a38: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008e75a3c: ff0f5fd6  retab	
0xfffffff008e75a40: 7f2303d5  pacibsp	
0xfffffff008e75a44: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008e75a48: fd030091  mov	x29, sp
0xfffffff008e75a4c: a0a400b0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e75a50: 00203791  add	x0, x0, #0xdc8
0xfffffff008e75a54: 28bbd197  bl	#0xfffffff0082e46f4
0xfffffff008e75a58: a0a400b0  adrp	x0, #0xfffffff00a30a000
0xfffffff008e75a5c: 00803691  add	x0, x0, #0xda0
0xfffffff008e75a60: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008e75a64: ff2303d5  autibsp	
0xfffffff008e75a68: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008e75a6c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008e75a74
0xfffffff008e75a70: 208e38d4  brk	#0xc471
0xfffffff008e75a74: 20bbd117  b	#0xfffffff0082e46f4
0xfffffff008e75a78: 5f2403d5  bti	c
0xfffffff008e75a7c: 7064ffb0  adrp	x16, #0xfffffff007b02000
0xfffffff008e75a80: 10a22c91  add	x16, x16, #0xb28
0xfffffff008e75a84: 10420091  add	x16, x16, #0x10
0xfffffff008e75a88: f10300aa  mov	x17, x0
0xfffffff008e75a8c: 319afcf2  movk	x17, #0xe4d1, lsl #48
0xfffffff008e75a90: 300ac1da  pacda	x16, x17
0xfffffff008e75a94: 100000f9  str	x16, [x0]
0xfffffff008e75a98: 010800b9  str	w1, [x0, #8]
0xfffffff008e75a9c: 282cffb0  adrp	x8, #0xfffffff0073fa000
0xfffffff008e75aa0: 08c10391  add	x8, x8, #0xf0
0xfffffff008e75aa4: 085961b8  ldr	w8, [x8, w1, uxtw #2]
0xfffffff008e75aa8: 490840b9  ldr	w9, [x2, #8]
0xfffffff008e75aac: 2801080b  add	w8, w9, w8
0xfffffff008e75ab0: 082000b9  str	w8, [x0, #0x20]
0xfffffff008e75ab4: 000d040e  dup	v0.2s, w8
0xfffffff008e75ab8: 282cffb0  adrp	x8, #0xfffffff0073fa000
0xfffffff008e75abc: 016140fd  ldr	d1, [x8, #0xc0]
0xfffffff008e75ac0: 0084a10e  add	v0.2s, v0.2s, v1.2s
0xfffffff008e75ac4: 004002fc  stur	d0, [x0, #0x24]
0xfffffff008e75ac8: 4000c03d  ldr	q0, [x2]
0xfffffff008e75acc: 0004803d  str	q0, [x0, #0x10]
0xfffffff008e75ad0: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff008e75ad4: 480000b4  cbz	x8, #0xfffffff008e75adc
