; Candidate 14341
; ADRP+ADD at VM 0xfffffff00976809c (fileoff 0x276409c): page=0xc23000 add_imm=0xea8

0xfffffff00976801c: 08610091  add	x8, x8, #0x18
0xfffffff009768020: 9026ff90  adrp	x16, #0xfffffff007c38000
0xfffffff009768024: 10820691  add	x16, x16, #0x1a0
0xfffffff009768028: f10308aa  mov	x17, x8
0xfffffff00976802c: 7117f8f2  movk	x17, #0xc0bb, lsl #48
0xfffffff009768030: 300ac1da  pacda	x16, x17
0xfffffff009768034: a84301d1  sub	x8, x29, #0x50
0xfffffff009768038: f02700f9  str	x16, [sp, #0x48]
0xfffffff00976803c: e84f05a9  stp	x8, x19, [sp, #0x50]
0xfffffff009768040: e1c30091  add	x1, sp, #0x30
0xfffffff009768044: e00313aa  mov	x0, x19
0xfffffff009768048: a906fd97  bl	#0xfffffff0096a9aec
0xfffffff00976804c: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff009768050: 13614039  ldrb	w19, [x8, #0x18]
0xfffffff009768054: a04301d1  sub	x0, x29, #0x50
0xfffffff009768058: 01018052  mov	w1, #8
0xfffffff00976805c: e361af97  bl	#0xfffffff0083407e8
0xfffffff009768060: e00313aa  mov	x0, x19
0xfffffff009768064: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff009768068: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff00976806c: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff009768070: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff009768074: ff030391  add	sp, sp, #0xc0
0xfffffff009768078: ff0f5fd6  retab	
0xfffffff00976807c: 7f2303d5  pacibsp	
0xfffffff009768080: ffc301d1  sub	sp, sp, #0x70
0xfffffff009768084: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009768088: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff00976808c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009768090: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009768094: fd830191  add	x29, sp, #0x60
0xfffffff009768098: f30300aa  mov	x19, x0
0xfffffff00976809c: 006100f0  adrp	x0, #0xfffffff00a38b000
0xfffffff0097680a0: 00a03a91  add	x0, x0, #0xea8
0xfffffff0097680a4: 2df2ad97  bl	#0xfffffff0082e4958
0xfffffff0097680a8: e00313aa  mov	x0, x19
0xfffffff0097680ac: 6c02fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097680b0: c00100b5  cbnz	x0, #0xfffffff0097680e8
0xfffffff0097680b4: 700240f9  ldr	x16, [x19]
0xfffffff0097680b8: f10313aa  mov	x17, x19
0xfffffff0097680bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097680c0: 301ac1da  autda	x16, x17
0xfffffff0097680c4: 113d80d2  mov	x17, #0x1e8
0xfffffff0097680c8: 1002118b  add	x16, x16, x17
0xfffffff0097680cc: 080240f9  ldr	x8, [x16]
0xfffffff0097680d0: e90310aa  mov	x9, x16
0xfffffff0097680d4: e00313aa  mov	x0, x19
0xfffffff0097680d8: 010080d2  mov	x1, #0
0xfffffff0097680dc: f10309aa  mov	x17, x9
0xfffffff0097680e0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097680e4: 11093fd7  blraa	x8, x17
0xfffffff0097680e8: e00313aa  mov	x0, x19
0xfffffff0097680ec: 5c02fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097680f0: e00313aa  mov	x0, x19
0xfffffff0097680f4: 5a02fd97  bl	#0xfffffff0096a8a5c
0xfffffff0097680f8: c00100b5  cbnz	x0, #0xfffffff009768130
0xfffffff0097680fc: 700240f9  ldr	x16, [x19]
0xfffffff009768100: f10313aa  mov	x17, x19
0xfffffff009768104: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009768108: 301ac1da  autda	x16, x17
0xfffffff00976810c: 114380d2  mov	x17, #0x218
0xfffffff009768110: 1002118b  add	x16, x16, x17
0xfffffff009768114: 080240f9  ldr	x8, [x16]
0xfffffff009768118: e90310aa  mov	x9, x16
