; Candidate 971
; ADRP+ADD at VM 0xfffffff00813ff08 (fileoff 0x113bf08): page=0x1fef3e000 add_imm=0xdd6

0xfffffff00813fe88: e0030191  add	x0, sp, #0x40
0xfffffff00813fe8c: 6b52ff97  bl	#0xfffffff008114838
0xfffffff00813fe90: e0cf00a9  stp	x0, x19, [sp, #8]
0xfffffff00813fe94: f40300f9  str	x20, [sp]
0xfffffff00813fe98: 6076ffb0  adrp	x0, #0xfffffff00700c000
0xfffffff00813fe9c: 00000091  add	x0, x0, #0
0xfffffff00813fea0: c10601f0  adrp	x1, #0xfffffff00a21a000
0xfffffff00813fea4: 21502f91  add	x1, x1, #0xbd4
0xfffffff00813fea8: 237cff90  adrp	x3, #0xfffffff0070c3000
0xfffffff00813feac: 63382491  add	x3, x3, #0x90e
0xfffffff00813feb0: 02028052  mov	w2, #0x10
0xfffffff00813feb4: 9fcc0794  bl	#0xfffffff008333130
0xfffffff00813feb8: aaffff17  b	#0xfffffff00813fd60
0xfffffff00813febc: e00315aa  mov	x0, x21
0xfffffff00813fec0: 21008052  mov	w1, #1
0xfffffff00813fec4: 82c0ff97  bl	#0xfffffff0081300cc
0xfffffff00813fec8: c81a44b9  ldr	w8, [x22, #0x418]
0xfffffff00813fecc: a9220091  add	x9, x21, #8
0xfffffff00813fed0: e20308aa  mov	x2, x8
0xfffffff00813fed4: 3ffda288  casl	w2, wzr, [x9]
0xfffffff00813fed8: 5f00086b  cmp	w2, w8
0xfffffff00813fedc: 41040054  b.ne	#0xfffffff00813ff64
0xfffffff00813fee0: 200801b0  adrp	x0, #0xfffffff00a244000
0xfffffff00813fee4: 00601891  add	x0, x0, #0x618
0xfffffff00813fee8: d0b9f197  bl	#0xfffffff007dae628
0xfffffff00813feec: e00315aa  mov	x0, x21
0xfffffff00813fef0: 010080d2  mov	x1, #0
0xfffffff00813fef4: 32b4ff97  bl	#0xfffffff00812cfbc
0xfffffff00813fef8: e00315aa  mov	x0, x21
0xfffffff00813fefc: 01008052  mov	w1, #0
0xfffffff00813ff00: 2fb2ff97  bl	#0xfffffff00812c7bc
0xfffffff00813ff04: f7fdff17  b	#0xfffffff00813f6e0
0xfffffff00813ff08: e079ffd0  adrp	x0, #0xfffffff00707d000
0xfffffff00813ff0c: 00583791  add	x0, x0, #0xdd6
0xfffffff00813ff10: e179ffd0  adrp	x1, #0xfffffff00707d000
0xfffffff00813ff14: 21002f91  add	x1, x1, #0xbc0
0xfffffff00813ff18: 02548152  mov	w2, #0xaa0
0xfffffff00813ff1c: 3e7e0d94  bl	#0xfffffff00849f814
0xfffffff00813ff20: e01f40f9  ldr	x0, [sp, #0x38]
0xfffffff00813ff24: 01008052  mov	w1, #0
0xfffffff00813ff28: 25b2ff97  bl	#0xfffffff00812c7bc
0xfffffff00813ff2c: 8dffff17  b	#0xfffffff00813fd60
0xfffffff00813ff30: 007aff90  adrp	x0, #0xfffffff00707f000
0xfffffff00813ff34: 00400591  add	x0, x0, #0x150
0xfffffff00813ff38: e179ffd0  adrp	x1, #0xfffffff00707d000
0xfffffff00813ff3c: 21002f91  add	x1, x1, #0xbc0
0xfffffff00813ff40: 82538152  mov	w2, #0xa9c
0xfffffff00813ff44: 347e0d94  bl	#0xfffffff00849f814
0xfffffff00813ff48: 007aff90  adrp	x0, #0xfffffff00707f000
0xfffffff00813ff4c: 009c2a91  add	x0, x0, #0xaa7
0xfffffff00813ff50: 017aff90  adrp	x1, #0xfffffff00707f000
0xfffffff00813ff54: 219c2991  add	x1, x1, #0xa67
0xfffffff00813ff58: c2208052  mov	w2, #0x106
0xfffffff00813ff5c: 2e7e0d94  bl	#0xfffffff00849f814
0xfffffff00813ff60: bb77f097  bl	#0xfffffff007d5de4c
0xfffffff00813ff64: e00315aa  mov	x0, x21
0xfffffff00813ff68: e10316aa  mov	x1, x22
0xfffffff00813ff6c: feb1f197  bl	#0xfffffff007dac764
0xfffffff00813ff70: dcffff17  b	#0xfffffff00813fee0
0xfffffff00813ff74: e079fff0  adrp	x0, #0xfffffff00707e000
0xfffffff00813ff78: 00781991  add	x0, x0, #0x65e
0xfffffff00813ff7c: e179ffd0  adrp	x1, #0xfffffff00707d000
0xfffffff00813ff80: 21002f91  add	x1, x1, #0xbc0
0xfffffff00813ff84: 826f8152  mov	w2, #0xb7c
