; Candidate 8455
; ADRP+ADD at VM 0xfffffff0088ab8f0 (fileoff 0x18a78f0): page=0x1fe93e000 add_imm=0xe80

0xfffffff0088ab870: ea3fff97  bl	#0xfffffff00887b818
0xfffffff0088ab874: f90300aa  mov	x25, x0
0xfffffff0088ab878: 4d220094  bl	#0xfffffff0088b41ac
0xfffffff0088ab87c: f80300aa  mov	x24, x0
0xfffffff0088ab880: e0008052  mov	w0, #7
0xfffffff0088ab884: f33fff97  bl	#0xfffffff00887b850
0xfffffff0088ab888: b9010034  cbz	w25, #0xfffffff0088ab8bc
0xfffffff0088ab88c: f5df03a9  stp	x21, x23, [sp, #0x38]
0xfffffff0088ab890: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff0088ab894: 484cff90  adrp	x8, #0xfffffff007233000
0xfffffff0088ab898: 08051491  add	x8, x8, #0x501
0xfffffff0088ab89c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088ab8a0: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088ab8a4: c80f8052  mov	w8, #0x7e
0xfffffff0088ab8a8: 404cff90  adrp	x0, #0xfffffff007233000
0xfffffff0088ab8ac: 00181791  add	x0, x0, #0x5c6
0xfffffff0088ab8b0: f82300a9  stp	x24, x8, [sp]
0xfffffff0088ab8b4: eb2ed497  bl	#0xfffffff007db7460
0xfffffff0088ab8b8: 16000014  b	#0xfffffff0088ab910
0xfffffff0088ab8bc: 3c220094  bl	#0xfffffff0088b41ac
0xfffffff0088ab8c0: f80300aa  mov	x24, x0
0xfffffff0088ab8c4: e0008052  mov	w0, #7
0xfffffff0088ab8c8: e23fff97  bl	#0xfffffff00887b850
0xfffffff0088ab8cc: e80317aa  mov	x8, x23
0xfffffff0088ab8d0: f5a303a9  stp	x21, x8, [sp, #0x38]
0xfffffff0088ab8d4: f4db02a9  stp	x20, x22, [sp, #0x28]
0xfffffff0088ab8d8: 484cff90  adrp	x8, #0xfffffff007233000
0xfffffff0088ab8dc: 08051491  add	x8, x8, #0x501
0xfffffff0088ab8e0: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088ab8e4: c80f8052  mov	w8, #0x7e
0xfffffff0088ab8e8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088ab8ec: f80300f9  str	x24, [sp]
0xfffffff0088ab8f0: e049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088ab8f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088ab8f8: e18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088ab8fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088ab900: c34dff90  adrp	x3, #0xfffffff007263000
0xfffffff0088ab904: 63b41c91  add	x3, x3, #0x72d
0xfffffff0088ab908: 02008052  mov	w2, #0
0xfffffff0088ab90c: 091eea97  bl	#0xfffffff008333130
0xfffffff0088ab910: e00317aa  mov	x0, x23
0xfffffff0088ab914: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0088ab918: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0088ab91c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0088ab920: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0088ab924: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0088ab928: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff0088ab92c: ffc30291  add	sp, sp, #0xb0
0xfffffff0088ab930: ff0f5fd6  retab	
0xfffffff0088ab934: 7f2303d5  pacibsp	
0xfffffff0088ab938: ffc303d1  sub	sp, sp, #0xf0
0xfffffff0088ab93c: fc6f09a9  stp	x28, x27, [sp, #0x90]
0xfffffff0088ab940: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff0088ab944: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff0088ab948: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff0088ab94c: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff0088ab950: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff0088ab954: fd830391  add	x29, sp, #0xe0
0xfffffff0088ab958: f60305aa  mov	x22, x5
0xfffffff0088ab95c: f80304aa  mov	x24, x4
0xfffffff0088ab960: f70303aa  mov	x23, x3
0xfffffff0088ab964: f50302aa  mov	x21, x2
0xfffffff0088ab968: f40301aa  mov	x20, x1
0xfffffff0088ab96c: f30300aa  mov	x19, x0
