; Candidate 7310
; ADRP+ADD at VM 0xfffffff008866774 (fileoff 0x1862774): page=0x1fe983000 add_imm=0xe80

0xfffffff0088666f4: a25301d1  sub	x2, x29, #0x54
0xfffffff0088666f8: 01008052  mov	w1, #0
0xfffffff0088666fc: 86cc0094  bl	#0xfffffff008899914
0xfffffff008866700: 20f9ff35  cbnz	w0, #0xfffffff008866624
0xfffffff008866704: a8c35ab8  ldur	w8, [x29, #-0x54]
0xfffffff008866708: 1f011a6b  cmp	w8, w26
0xfffffff00886670c: c1f8ff54  b.ne	#0xfffffff008866624
0xfffffff008866710: 800c8052  mov	w0, #0x64
0xfffffff008866714: 3dc2eb97  bl	#0xfffffff008357008
0xfffffff008866718: 14008052  mov	w20, #0
0xfffffff00886671c: 171b8052  mov	w23, #0xd8
0xfffffff008866720: d774a572  movk	w23, #0x2ba6, lsl #16
0xfffffff008866724: 56000014  b	#0xfffffff00886687c
0xfffffff008866728: a1360194  bl	#0xfffffff0088b41ac
0xfffffff00886672c: f50300aa  mov	x21, x0
0xfffffff008866730: 80008052  mov	w0, #4
0xfffffff008866734: 47540094  bl	#0xfffffff00887b850
0xfffffff008866738: e80314aa  mov	x8, x20
0xfffffff00886673c: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008866740: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff008866744: 484dffd0  adrp	x8, #0xfffffff007210000
0xfffffff008866748: 08b92791  add	x8, x8, #0x9ee
0xfffffff00886674c: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008866750: 688a8052  mov	w8, #0x453
0xfffffff008866754: 094efff0  adrp	x9, #0xfffffff007229000
0xfffffff008866758: 29dd1d91  add	x9, x9, #0x777
0xfffffff00886675c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008866760: 084effb0  adrp	x8, #0xfffffff007227000
0xfffffff008866764: 08811191  add	x8, x8, #0x460
0xfffffff008866768: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00886676c: 680c8052  mov	w8, #0x63
0xfffffff008866770: f52300a9  stp	x21, x8, [sp]
0xfffffff008866774: 004cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008866778: 00003a91  add	x0, x0, #0xe80
0xfffffff00886677c: 018dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008866780: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008866784: 834fffb0  adrp	x3, #0xfffffff007257000
0xfffffff008866788: 63b80791  add	x3, x3, #0x1ee
0xfffffff00886678c: 02008052  mov	w2, #0
0xfffffff008866790: 6832eb97  bl	#0xfffffff008333130
0xfffffff008866794: 3a000014  b	#0xfffffff00886687c
0xfffffff008866798: 600c8052  mov	w0, #0x63
0xfffffff00886679c: 81008052  mov	w1, #4
0xfffffff0088667a0: 0c540094  bl	#0xfffffff00887b7d0
0xfffffff0088667a4: 60030034  cbz	w0, #0xfffffff008866810
0xfffffff0088667a8: 600c8052  mov	w0, #0x63
0xfffffff0088667ac: 1b540094  bl	#0xfffffff00887b818
0xfffffff0088667b0: f50300aa  mov	x21, x0
0xfffffff0088667b4: 7e360194  bl	#0xfffffff0088b41ac
0xfffffff0088667b8: f60300aa  mov	x22, x0
0xfffffff0088667bc: 80008052  mov	w0, #4
0xfffffff0088667c0: 24540094  bl	#0xfffffff00887b850
0xfffffff0088667c4: 171b8052  mov	w23, #0xd8
0xfffffff0088667c8: d774a572  movk	w23, #0x2ba6, lsl #16
0xfffffff0088667cc: 75020034  cbz	w21, #0xfffffff008866818
0xfffffff0088667d0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff0088667d4: a9c35ab8  ldur	w9, [x29, #-0x54]
0xfffffff0088667d8: e9d304a9  stp	x9, x20, [sp, #0x48]
0xfffffff0088667dc: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088667e0: 084efff0  adrp	x8, #0xfffffff007229000
0xfffffff0088667e4: 0ae52091  add	x10, x8, #0x839
0xfffffff0088667e8: 888d8052  mov	w8, #0x46c
0xfffffff0088667ec: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088667f0: fbf301a9  stp	x27, x28, [sp, #0x18]
