; Candidate 4080
; ADRP+ADD at VM 0xfffffff008791064 (fileoff 0x178d064): page=0x1fe9a0000 add_imm=0xd90

0xfffffff008790fe4: 6102088b  add	x1, x19, x8
0xfffffff008790fe8: e00313aa  mov	x0, x19
0xfffffff008790fec: 1c010094  bl	#0xfffffff00879145c
0xfffffff008790ff0: 64000014  b	#0xfffffff008791180
0xfffffff008790ff4: 494efff0  adrp	x9, #0xfffffff00715b000
0xfffffff008790ff8: 29c50591  add	x9, x9, #0x171
0xfffffff008790ffc: e92300a9  stp	x9, x8, [sp]
0xfffffff008791000: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791004: 00403691  add	x0, x0, #0xd90
0xfffffff008791008: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00879100c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791010: a34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff008791014: 63cc3b91  add	x3, x3, #0xef3
0xfffffff008791018: 02008052  mov	w2, #0
0xfffffff00879101c: 4588ee97  bl	#0xfffffff008333130
0xfffffff008791020: b4598052  mov	w20, #0x2cd
0xfffffff008791024: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008791028: 58000014  b	#0xfffffff008791188
0xfffffff00879102c: f50302aa  mov	x21, x2
0xfffffff008791030: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff008791034: 800100b4  cbz	x0, #0xfffffff008791064
0xfffffff008791038: 100040f9  ldr	x16, [x0]
0xfffffff00879103c: f10300aa  mov	x17, x0
0xfffffff008791040: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff008791044: 301ac1da  autda	x16, x17
0xfffffff008791048: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff00879104c: e90310aa  mov	x9, x16
0xfffffff008791050: f10309aa  mov	x17, x9
0xfffffff008791054: 913be3f2  movk	x17, #0x19dc, lsl #48
0xfffffff008791058: 11093fd7  blraa	x8, x17
0xfffffff00879105c: f40300aa  mov	x20, x0
0xfffffff008791060: 0a000014  b	#0xfffffff008791088
0xfffffff008791064: 004dff90  adrp	x0, #0xfffffff007131000
0xfffffff008791068: 00403691  add	x0, x0, #0xd90
0xfffffff00879106c: 6193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008791070: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008791074: a34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff008791078: 63903c91  add	x3, x3, #0xf24
0xfffffff00879107c: 02008052  mov	w2, #0
0xfffffff008791080: 2c88ee97  bl	#0xfffffff008333130
0xfffffff008791084: 14278052  mov	w20, #0x138
0xfffffff008791088: 080080d2  mov	x8, #0
0xfffffff00879108c: 69420591  add	x9, x19, #0x150
0xfffffff008791090: aa1a0091  add	x10, x21, #6
0xfffffff008791094: 6b0a088b  add	x11, x19, x8, lsl #2
0xfffffff008791098: 6b4941b9  ldr	w11, [x11, #0x148]
0xfffffff00879109c: ec030baa  mov	x12, x11
0xfffffff0087910a0: ed030aaa  mov	x13, x10
0xfffffff0087910a4: ee0309aa  mov	x14, x9
0xfffffff0087910a8: 7f050071  cmp	w11, #1
0xfffffff0087910ac: ab000054  b.lt	#0xfffffff0087910c0
0xfffffff0087910b0: cf4540b8  ldr	w15, [x14], #4
0xfffffff0087910b4: af250078  strh	w15, [x13], #2
0xfffffff0087910b8: 8c0500f1  subs	x12, x12, #1
0xfffffff0087910bc: a1ffff54  b.ne	#0xfffffff0087910b0
0xfffffff0087910c0: ac06088b  add	x12, x21, x8, lsl #1
0xfffffff0087910c4: 8b050079  strh	w11, [x12, #2]
0xfffffff0087910c8: 08050091  add	x8, x8, #1
0xfffffff0087910cc: 29010291  add	x9, x9, #0x80
0xfffffff0087910d0: 4a010191  add	x10, x10, #0x40
0xfffffff0087910d4: 1f0900f1  cmp	x8, #2
0xfffffff0087910d8: e1fdff54  b.ne	#0xfffffff008791094
0xfffffff0087910dc: 6c5242b9  ldr	w12, [x19, #0x250]
0xfffffff0087910e0: 9f050071  cmp	w12, #1
