; Candidate 2709
; ADRP+ADD at VM 0xfffffff0086e48c4 (fileoff 0x16e08c4): page=0x1fea4d000 add_imm=0xd90

0xfffffff0086e4844: 290140b9  ldr	w9, [x9]
0xfffffff0086e4848: 3f011a6a  tst	w9, w26
0xfffffff0086e484c: 00020054  b.eq	#0xfffffff0086e488c
0xfffffff0086e4850: 897e1f53  lsr	w9, w20, #0x1f
0xfffffff0086e4854: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0086e4858: 6853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e485c: 08ad0691  add	x8, x8, #0x1ab
0xfffffff0086e4860: 29008052  mov	w9, #1
0xfffffff0086e4864: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e4868: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e486c: 00403691  add	x0, x0, #0xd90
0xfffffff0086e4870: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e4874: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e4878: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e487c: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e4880: 02008052  mov	w2, #0
0xfffffff0086e4884: 2b3af197  bl	#0xfffffff008333130
0xfffffff0086e4888: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e488c: 080340f9  ldr	x8, [x24]
0xfffffff0086e4890: 09214139  ldrb	w9, [x8, #0x48]
0xfffffff0086e4894: 347d540b  add	w20, w9, w20, lsr #31
0xfffffff0086e4898: 14210139  strb	w20, [x8, #0x48]
0xfffffff0086e489c: 881e0012  and	w8, w20, #0xff
0xfffffff0086e48a0: 1f110071  cmp	w8, #4
0xfffffff0086e48a4: 23030054  b.lo	#0xfffffff0086e4908
0xfffffff0086e48a8: e81f40f9  ldr	x8, [sp, #0x38]
0xfffffff0086e48ac: 08094039  ldrb	w8, [x8, #2]
0xfffffff0086e48b0: a8010036  tbz	w8, #0, #0xfffffff0086e48e4
0xfffffff0086e48b4: 6853ff90  adrp	x8, #0xfffffff007150000
0xfffffff0086e48b8: 08f90591  add	x8, x8, #0x17e
0xfffffff0086e48bc: 891e4092  and	x9, x20, #0xff
0xfffffff0086e48c0: e82700a9  stp	x8, x9, [sp]
0xfffffff0086e48c4: 6052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086e48c8: 00403691  add	x0, x0, #0xd90
0xfffffff0086e48cc: c198ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e48d0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e48d4: 6352fff0  adrp	x3, #0xfffffff007133000
0xfffffff0086e48d8: 633c2691  add	x3, x3, #0x98f
0xfffffff0086e48dc: 02008052  mov	w2, #0
0xfffffff0086e48e0: 143af197  bl	#0xfffffff008333130
0xfffffff0086e48e4: 00008012  mov	w0, #-1
0xfffffff0086e48e8: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0086e48ec: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0086e48f0: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0086e48f4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0086e48f8: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0086e48fc: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff0086e4900: ff830291  add	sp, sp, #0xa0
0xfffffff0086e4904: ff0f5fd6  retab	
0xfffffff0086e4908: 080240b9  ldr	w8, [x16]
0xfffffff0086e490c: 68000034  cbz	w8, #0xfffffff0086e4918
0xfffffff0086e4910: 340240b9  ldr	w20, [x17]
0xfffffff0086e4914: 20000014  b	#0xfffffff0086e4994
0xfffffff0086e4918: 14008052  mov	w20, #0
0xfffffff0086e491c: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e4920: 89008052  mov	w9, #4
0xfffffff0086e4924: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e4928: 945e1853  lsl	w20, w20, #8
0xfffffff0086e492c: 7f010aeb  cmp	x11, x10
0xfffffff0086e4930: 02010054  b.hs	#0xfffffff0086e4950
0xfffffff0086e4934: 08210011  add	w8, w8, #8
0xfffffff0086e4938: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e493c: 6c050091  add	x12, x11, #1
0xfffffff0086e4940: 6c0a00f9  str	x12, [x19, #0x10]
