; Candidate 10370
; ADRP+ADD at VM 0xfffffff008d1c91c (fileoff 0x1d1891c): page=0x1fe65c000 add_imm=0xeba

0xfffffff008d1c89c: 80010054  b.eq	#0xfffffff008d1c8cc
0xfffffff008d1c8a0: 2a030034  cbz	w10, #0xfffffff008d1c904
0xfffffff008d1c8a4: 93578052  mov	w19, #0x2bc
0xfffffff008d1c8a8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d1c8ac: 68088052  mov	w8, #0x43
0xfffffff008d1c8b0: 0c000014  b	#0xfffffff008d1c8e0
0xfffffff008d1c8b4: 5f050071  cmp	w10, #1
0xfffffff008d1c8b8: 6b020054  b.lt	#0xfffffff008d1c904
0xfffffff008d1c8bc: 93578052  mov	w19, #0x2bc
0xfffffff008d1c8c0: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d1c8c4: 48068052  mov	w8, #0x32
0xfffffff008d1c8c8: 06000014  b	#0xfffffff008d1c8e0
0xfffffff008d1c8cc: 5f090071  cmp	w10, #2
0xfffffff008d1c8d0: ab010054  b.lt	#0xfffffff008d1c904
0xfffffff008d1c8d4: 93578052  mov	w19, #0x2bc
0xfffffff008d1c8d8: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d1c8dc: 48078052  mov	w8, #0x3a
0xfffffff008d1c8e0: ea2300a9  stp	x10, x8, [sp]
0xfffffff008d1c8e4: e032ff90  adrp	x0, #0xfffffff007378000
0xfffffff008d1c8e8: 005c3891  add	x0, x0, #0xe17
0xfffffff008d1c8ec: c44e0094  bl	#0xfffffff008d303fc
0xfffffff008d1c8f0: e00313aa  mov	x0, x19
0xfffffff008d1c8f4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008d1c8f8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008d1c8fc: ffc30091  add	sp, sp, #0x30
0xfffffff008d1c900: ff0f5fd6  retab	
0xfffffff008d1c904: 1f110071  cmp	w8, #4
0xfffffff008d1c908: 00010054  b.eq	#0xfffffff008d1c928
0xfffffff008d1c90c: 1f1d0071  cmp	w8, #7
0xfffffff008d1c910: 61010054  b.ne	#0xfffffff008d1c93c
0xfffffff008d1c914: 93578052  mov	w19, #0x2bc
0xfffffff008d1c918: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d1c91c: e032ff90  adrp	x0, #0xfffffff007378000
0xfffffff008d1c920: 00e83a91  add	x0, x0, #0xeba
0xfffffff008d1c924: f2ffff17  b	#0xfffffff008d1c8ec
0xfffffff008d1c928: 93578052  mov	w19, #0x2bc
0xfffffff008d1c92c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d1c930: e032ff90  adrp	x0, #0xfffffff007378000
0xfffffff008d1c934: 00443c91  add	x0, x0, #0xf11
0xfffffff008d1c938: edffff17  b	#0xfffffff008d1c8ec
0xfffffff008d1c93c: 3f050071  cmp	w9, #1
0xfffffff008d1c940: c1010054  b.ne	#0xfffffff008d1c978
0xfffffff008d1c944: a8010035  cbnz	w8, #0xfffffff008d1c978
0xfffffff008d1c948: 93578052  mov	w19, #0x2bc
0xfffffff008d1c94c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d1c950: e032ff90  adrp	x0, #0xfffffff007378000
0xfffffff008d1c954: 00a03d91  add	x0, x0, #0xf68
0xfffffff008d1c958: e5ffff17  b	#0xfffffff008d1c8ec
0xfffffff008d1c95c: 93578052  mov	w19, #0x2bc
0xfffffff008d1c960: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d1c964: 09098052  mov	w9, #0x48
0xfffffff008d1c968: e82700a9  stp	x8, x9, [sp]
0xfffffff008d1c96c: e032ff90  adrp	x0, #0xfffffff007378000
0xfffffff008d1c970: 00a43991  add	x0, x0, #0xe69
0xfffffff008d1c974: deffff17  b	#0xfffffff008d1c8ec
0xfffffff008d1c978: 3f0d0071  cmp	w9, #3
0xfffffff008d1c97c: e1000054  b.ne	#0xfffffff008d1c998
0xfffffff008d1c980: c8000035  cbnz	w8, #0xfffffff008d1c998
0xfffffff008d1c984: 93578052  mov	w19, #0x2bc
0xfffffff008d1c988: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d1c98c: e032ff90  adrp	x0, #0xfffffff007378000
0xfffffff008d1c990: 00203f91  add	x0, x0, #0xfc8
0xfffffff008d1c994: d6ffff17  b	#0xfffffff008d1c8ec
0xfffffff008d1c998: 3f090071  cmp	w9, #2
