; Candidate 1042
; ADRP+ADD at VM 0xfffffff0081b9fa8 (fileoff 0x11b5fa8): page=0x1feeca000 add_imm=0xdba

0xfffffff0081b9f28: a8bdffd0  adrp	x8, #0xfffffff00796f000
0xfffffff0081b9f2c: 08a11991  add	x8, x8, #0x668
0xfffffff0081b9f30: 000540a9  ldp	x0, x1, [x8]
0xfffffff0081b9f34: 82008052  mov	w2, #4
0xfffffff0081b9f38: 262df197  bl	#0xfffffff007e053d0
0xfffffff0081b9f3c: 809603f9  str	x0, [x20, #0x728]
0xfffffff0081b9f40: 619643f9  ldr	x1, [x19, #0x728]
0xfffffff0081b9f44: e20315aa  mov	x2, x21
0xfffffff0081b9f48: 924aee97  bl	#0xfffffff007d4c990
0xfffffff0081b9f4c: 7fffff17  b	#0xfffffff0081b9d48
0xfffffff0081b9f50: 000080d2  mov	x0, #0
0xfffffff0081b9f54: f33df597  bl	#0xfffffff007f09720
0xfffffff0081b9f58: 78e7ff35  cbnz	w24, #0xfffffff0081b9c44
0xfffffff0081b9f5c: 3bffff17  b	#0xfffffff0081b9c48
0xfffffff0081b9f60: a00201f0  adrp	x0, #0xfffffff00a210000
0xfffffff0081b9f64: 00203391  add	x0, x0, #0xcc8
0xfffffff0081b9f68: e10316aa  mov	x1, x22
0xfffffff0081b9f6c: fec9ef97  bl	#0xfffffff007dac764
0xfffffff0081b9f70: 8dfeff17  b	#0xfffffff0081b99a4
0xfffffff0081b9f74: 200001d0  adrp	x0, #0xfffffff00a1bf000
0xfffffff0081b9f78: 00e01e91  add	x0, x0, #0x7b8
0xfffffff0081b9f7c: a4980b94  bl	#0xfffffff0084a020c
0xfffffff0081b9f80: 200001d0  adrp	x0, #0xfffffff00a1bf000
0xfffffff0081b9f84: 00c01a91  add	x0, x0, #0x6b0
0xfffffff0081b9f88: a1980b94  bl	#0xfffffff0084a020c
0xfffffff0081b9f8c: 200001d0  adrp	x0, #0xfffffff00a1bf000
0xfffffff0081b9f90: 00201c91  add	x0, x0, #0x708
0xfffffff0081b9f94: 9e980b94  bl	#0xfffffff0084a020c
0xfffffff0081b9f98: 4876ffd0  adrp	x8, #0xfffffff007083000
0xfffffff0081b9f9c: 08d13591  add	x8, x8, #0xd74
0xfffffff0081b9fa0: 09798052  mov	w9, #0x3c8
0xfffffff0081b9fa4: e82700a9  stp	x8, x9, [sp]
0xfffffff0081b9fa8: 4076ffd0  adrp	x0, #0xfffffff007083000
0xfffffff0081b9fac: 00e83691  add	x0, x0, #0xdba
0xfffffff0081b9fb0: 57690b94  bl	#0xfffffff00849450c
0xfffffff0081b9fb4: 7f2303d5  pacibsp	
0xfffffff0081b9fb8: ffc301d1  sub	sp, sp, #0x70
0xfffffff0081b9fbc: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff0081b9fc0: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0081b9fc4: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0081b9fc8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0081b9fcc: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0081b9fd0: fd830191  add	x29, sp, #0x60
0xfffffff0081b9fd4: f90305aa  mov	x25, x5
0xfffffff0081b9fd8: f50304aa  mov	x21, x4
0xfffffff0081b9fdc: f60303aa  mov	x22, x3
0xfffffff0081b9fe0: f40302aa  mov	x20, x2
0xfffffff0081b9fe4: f70301aa  mov	x23, x1
0xfffffff0081b9fe8: f80300aa  mov	x24, x0
0xfffffff0081b9fec: ff0f00f9  str	xzr, [sp, #0x18]
0xfffffff0081b9ff0: e00302aa  mov	x0, x2
0xfffffff0081b9ff4: 011c0094  bl	#0xfffffff0081c0ff8
0xfffffff0081b9ff8: 080440f9  ldr	x8, [x0, #8]
0xfffffff0081b9ffc: 280c00b5  cbnz	x8, #0xfffffff0081ba180
0xfffffff0081ba000: e10300aa  mov	x1, x0
0xfffffff0081ba004: 23030012  and	w3, w25, #1
0xfffffff0081ba008: 68741e53  lsl	w8, w3, #2
0xfffffff0081ba00c: 08090052  eor	w8, w8, #7
0xfffffff0081ba010: baff00f0  adrp	x26, #0xfffffff00a1b1000
0xfffffff0081ba014: 490342f9  ldr	x9, [x26, #0x400]
0xfffffff0081ba018: 3301148b  add	x19, x9, x20
0xfffffff0081ba01c: 297f0153  lsr	w9, w25, #1
0xfffffff0081ba020: 29011f12  and	w9, w9, #2
0xfffffff0081ba024: f30700f9  str	x19, [sp, #8]
