; Candidate 10640
; ADRP+ADD at VM 0xfffffff008de0c5c (fileoff 0x1ddcc5c): page=0x1fe5e4000 add_imm=0xe15

0xfffffff008de0bdc: 28498052  mov	w8, #0x249
0xfffffff008de0be0: 02000014  b	#0xfffffff008de0be8
0xfffffff008de0be4: 084a8052  mov	w8, #0x250
0xfffffff008de0be8: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de0bec: 29490d91  add	x9, x9, #0x352
0xfffffff008de0bf0: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de0bf4: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de0bf8: 08493991  add	x8, x8, #0xe52
0xfffffff008de0bfc: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de0c00: 4a892d91  add	x10, x10, #0xb62
0xfffffff008de0c04: 14000014  b	#0xfffffff008de0c54
0xfffffff008de0c08: 68b20091  add	x8, x19, #0x2c
0xfffffff008de0c0c: 09028052  mov	w9, #0x10
0xfffffff008de0c10: 692a00b9  str	w9, [x19, #0x28]
0xfffffff008de0c14: 04000014  b	#0xfffffff008de0c24
0xfffffff008de0c18: 68a20091  add	x8, x19, #0x28
0xfffffff008de0c1c: 09028052  mov	w9, #0x10
0xfffffff008de0c20: 692600b9  str	w9, [x19, #0x24]
0xfffffff008de0c24: 00008052  mov	w0, #0
0xfffffff008de0c28: 4000c03d  ldr	q0, [x2]
0xfffffff008de0c2c: 0001803d  str	q0, [x8]
0xfffffff008de0c30: 0f000014  b	#0xfffffff008de0c6c
0xfffffff008de0c34: 68368052  mov	w8, #0x1b3
0xfffffff008de0c38: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de0c3c: 29490d91  add	x9, x9, #0x352
0xfffffff008de0c40: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de0c44: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de0c48: 08493991  add	x8, x8, #0xe52
0xfffffff008de0c4c: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de0c50: 4ab12391  add	x10, x10, #0x8ec
0xfffffff008de0c54: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de0c58: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de0c5c: 202fff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008de0c60: 00543891  add	x0, x0, #0xe15
0xfffffff008de0c64: efd8d597  bl	#0xfffffff008357020
0xfffffff008de0c68: 40008012  mov	w0, #-3
0xfffffff008de0c6c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008de0c70: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008de0c74: ff430191  add	sp, sp, #0x50
0xfffffff008de0c78: ff0f5fd6  retab	
0xfffffff008de0c7c: 48338052  mov	w8, #0x19a
0xfffffff008de0c80: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de0c84: 29490d91  add	x9, x9, #0x352
0xfffffff008de0c88: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de0c8c: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de0c90: 08493991  add	x8, x8, #0xe52
0xfffffff008de0c94: 2a2fff90  adrp	x10, #0xfffffff0073c4000
0xfffffff008de0c98: 4a1d3991  add	x10, x10, #0xe47
0xfffffff008de0c9c: eeffff17  b	#0xfffffff008de0c54
0xfffffff008de0ca0: 68338052  mov	w8, #0x19b
0xfffffff008de0ca4: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de0ca8: 29490d91  add	x9, x9, #0x352
0xfffffff008de0cac: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de0cb0: 282fff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008de0cb4: 08493991  add	x8, x8, #0xe52
0xfffffff008de0cb8: 0a2fffb0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de0cbc: 4ab12291  add	x10, x10, #0x8ac
0xfffffff008de0cc0: e5ffff17  b	#0xfffffff008de0c54
0xfffffff008de0cc4: e8338052  mov	w8, #0x19f
0xfffffff008de0cc8: 9f000014  b	#0xfffffff008de0f44
0xfffffff008de0ccc: 883a8052  mov	w8, #0x1d4
0xfffffff008de0cd0: 092fffb0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de0cd4: 29490d91  add	x9, x9, #0x352
0xfffffff008de0cd8: e81300f9  str	x8, [sp, #0x20]
