; Candidate 11381
; ADRP+ADD at VM 0xfffffff008eff850 (fileoff 0x1efb850): page=0x1fe50e000 add_imm=0xeca

0xfffffff008eff7d0: 514de9f2  movk	x17, #0x4a6a, lsl #48
0xfffffff008eff7d4: 31093fd7  blraa	x9, x17
0xfffffff008eff7d8: 601d0036  tbz	w0, #0, #0xfffffff008effb84
0xfffffff008eff7dc: b61d00b4  cbz	x22, #0xfffffff008effb90
0xfffffff008eff7e0: 951d00b4  cbz	x21, #0xfffffff008effb90
0xfffffff008eff7e4: 770a40f9  ldr	x23, [x19, #0x10]
0xfffffff008eff7e8: 760a00f9  str	x22, [x19, #0x10]
0xfffffff008eff7ec: d00240f9  ldr	x16, [x22]
0xfffffff008eff7f0: f10316aa  mov	x17, x22
0xfffffff008eff7f4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008eff7f8: 301ac1da  autda	x16, x17
0xfffffff008eff7fc: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff008eff800: e90310aa  mov	x9, x16
0xfffffff008eff804: e00316aa  mov	x0, x22
0xfffffff008eff808: f10309aa  mov	x17, x9
0xfffffff008eff80c: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff008eff810: 11093fd7  blraa	x8, x17
0xfffffff008eff814: 770100b4  cbz	x23, #0xfffffff008eff840
0xfffffff008eff818: f00240f9  ldr	x16, [x23]
0xfffffff008eff81c: f10317aa  mov	x17, x23
0xfffffff008eff820: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008eff824: 301ac1da  autda	x16, x17
0xfffffff008eff828: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008eff82c: e90310aa  mov	x9, x16
0xfffffff008eff830: e00317aa  mov	x0, x23
0xfffffff008eff834: f10309aa  mov	x17, x9
0xfffffff008eff838: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008eff83c: 11093fd7  blraa	x8, x17
0xfffffff008eff840: 750e00f9  str	x21, [x19, #0x18]
0xfffffff008eff844: 28008052  mov	w8, #1
0xfffffff008eff848: e10313aa  mov	x1, x19
0xfffffff008eff84c: 288c05b8  str	w8, [x1, #0x58]!
0xfffffff008eff850: 6028ffd0  adrp	x0, #0xfffffff00740d000
0xfffffff008eff854: 00283b91  add	x0, x0, #0xeca
0xfffffff008eff858: 82008052  mov	w2, #4
0xfffffff008eff85c: d7b5d597  bl	#0xfffffff00846cfb8
0xfffffff008eff860: d00240f9  ldr	x16, [x22]
0xfffffff008eff864: f10316aa  mov	x17, x22
0xfffffff008eff868: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008eff86c: 301ac1da  autda	x16, x17
0xfffffff008eff870: f10310aa  mov	x17, x16
0xfffffff008eff874: f147c1da  xpacd	x17
0xfffffff008eff878: 1f0211eb  cmp	x16, x17
0xfffffff008eff87c: 40000054  b.eq	#0xfffffff008eff884
0xfffffff008eff880: 408e38d4  brk	#0xc472
0xfffffff008eff884: 08e20d91  add	x8, x16, #0x378
0xfffffff008eff888: 09be41f9  ldr	x9, [x16, #0x378]
0xfffffff008eff88c: e00316aa  mov	x0, x22
0xfffffff008eff890: f10308aa  mov	x17, x8
0xfffffff008eff894: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff008eff898: 31093fd7  blraa	x9, x17
0xfffffff008eff89c: 601200f9  str	x0, [x19, #0x20]
0xfffffff008eff8a0: e00313aa  mov	x0, x19
0xfffffff008eff8a4: 010080d2  mov	x1, #0
0xfffffff008eff8a8: bce1d297  bl	#0xfffffff0083b7f98
0xfffffff008eff8ac: f50300aa  mov	x21, x0
0xfffffff008eff8b0: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff008eff8b4: 400100b4  cbz	x0, #0xfffffff008eff8dc
0xfffffff008eff8b8: 100040f9  ldr	x16, [x0]
0xfffffff008eff8bc: f10300aa  mov	x17, x0
0xfffffff008eff8c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008eff8c4: 301ac1da  autda	x16, x17
0xfffffff008eff8c8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008eff8cc: e90310aa  mov	x9, x16
