; Candidate 6204
; ADRP+ADD at VM 0xfffffff00881a180 (fileoff 0x1816180): page=0x1fe9cf000 add_imm=0xe80

0xfffffff00881a100: fa0300aa  mov	x26, x0
0xfffffff00881a104: 2a680294  bl	#0xfffffff0088b41ac
0xfffffff00881a108: f90300aa  mov	x25, x0
0xfffffff00881a10c: c0008052  mov	w0, #6
0xfffffff00881a110: d0850194  bl	#0xfffffff00887b850
0xfffffff00881a114: da010034  cbz	w26, #0xfffffff00881a14c
0xfffffff00881a118: e80318aa  mov	x8, x24
0xfffffff00881a11c: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff00881a120: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00881a124: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881a128: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a12c: 08911491  add	x8, x8, #0x524
0xfffffff00881a130: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881a134: 880e8052  mov	w8, #0x74
0xfffffff00881a138: 2050ffb0  adrp	x0, #0xfffffff00721f000
0xfffffff00881a13c: 00e41391  add	x0, x0, #0x4f9
0xfffffff00881a140: f92300a9  stp	x25, x8, [sp]
0xfffffff00881a144: c774d697  bl	#0xfffffff007db7460
0xfffffff00881a148: 16000014  b	#0xfffffff00881a1a0
0xfffffff00881a14c: 18680294  bl	#0xfffffff0088b41ac
0xfffffff00881a150: f90300aa  mov	x25, x0
0xfffffff00881a154: c0008052  mov	w0, #6
0xfffffff00881a158: be850194  bl	#0xfffffff00887b850
0xfffffff00881a15c: e80318aa  mov	x8, x24
0xfffffff00881a160: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff00881a164: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00881a168: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff00881a16c: 2850ffb0  adrp	x8, #0xfffffff00721f000
0xfffffff00881a170: 08911491  add	x8, x8, #0x524
0xfffffff00881a174: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881a178: 880e8052  mov	w8, #0x74
0xfffffff00881a17c: f92300a9  stp	x25, x8, [sp]
0xfffffff00881a180: 604efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881a184: 00003a91  add	x0, x0, #0xe80
0xfffffff00881a188: 618fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00881a18c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881a190: 6351fff0  adrp	x3, #0xfffffff007249000
0xfffffff00881a194: 63682a91  add	x3, x3, #0xa9a
0xfffffff00881a198: 02008052  mov	w2, #0
0xfffffff00881a19c: e563ec97  bl	#0xfffffff008333130
0xfffffff00881a1a0: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff00881a1a4: 698fffd0  adrp	x9, #0xfffffff007a08000
0xfffffff00881a1a8: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00881a1ac: 290140f9  ldr	x9, [x9]
0xfffffff00881a1b0: 3f0108eb  cmp	x9, x8
0xfffffff00881a1b4: 61760054  b.ne	#0xfffffff00881b080
0xfffffff00881a1b8: e00318aa  mov	x0, x24
0xfffffff00881a1bc: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff00881a1c0: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff00881a1c4: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff00881a1c8: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
0xfffffff00881a1cc: fa674da9  ldp	x26, x25, [sp, #0xd0]
0xfffffff00881a1d0: fc6f4ca9  ldp	x28, x27, [sp, #0xc0]
0xfffffff00881a1d4: ff830491  add	sp, sp, #0x120
0xfffffff00881a1d8: ff0f5fd6  retab	
0xfffffff00881a1dc: 587e8012  mov	w24, #-0x3f3
0xfffffff00881a1e0: b7ffff17  b	#0xfffffff00881a0bc
0xfffffff00881a1e4: e00313aa  mov	x0, x19
0xfffffff00881a1e8: 01008052  mov	w1, #0
0xfffffff00881a1ec: e20319aa  mov	x2, x25
0xfffffff00881a1f0: f5e9ff97  bl	#0xfffffff0088149c4
0xfffffff00881a1f4: 600b0034  cbz	w0, #0xfffffff00881a360
0xfffffff00881a1f8: f80300aa  mov	x24, x0
0xfffffff00881a1fc: 800e8052  mov	w0, #0x74
