; Candidate 3798
; ADRP+ADD at VM 0xfffffff00875d14c (fileoff 0x175914c): page=0x1fe9d4000 add_imm=0xd90

0xfffffff00875d0cc: 09dd75b9  ldr	w9, [x8, #0x35dc]
0xfffffff00875d0d0: 09060034  cbz	w9, #0xfffffff00875d190
0xfffffff00875d0d4: 160080d2  mov	x22, #0
0xfffffff00875d0d8: 89bb8652  mov	w9, #0x35dc
0xfffffff00875d0dc: 1701098b  add	x23, x8, x9
0xfffffff00875d0e0: 18188052  mov	w24, #0xc0
0xfffffff00875d0e4: 09bc8652  mov	w9, #0x35e0
0xfffffff00875d0e8: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff00875d0ec: 5523099b  madd	x21, x26, x9, x8
0xfffffff00875d0f0: 684a3b8b  add	x8, x19, w27, uxtw #2
0xfffffff00875d0f4: 09208052  mov	w9, #0x100
0xfffffff00875d0f8: 09b8a572  movk	w9, #0x2dc0, lsl #16
0xfffffff00875d0fc: c90e1c33  bfi	w9, w22, #4, #4
0xfffffff00875d100: 098d00b8  str	w9, [x8, #8]!
0xfffffff00875d104: d4010034  cbz	w20, #0xfffffff00875d13c
0xfffffff00875d108: 0a0080d2  mov	x10, #0
0xfffffff00875d10c: eb2f40f9  ldr	x11, [sp, #0x58]
0xfffffff00875d110: 0cbc8652  mov	w12, #0x35e0
0xfffffff00875d114: 4b2f0c9b  madd	x11, x26, x12, x11
0xfffffff00875d118: cb2e189b  madd	x11, x22, x24, x11
0xfffffff00875d11c: 6b255db9  ldr	w11, [x11, #0x1d24]
0xfffffff00875d120: 8c7b6af8  ldr	x12, [x28, x10, lsl #3]
0xfffffff00875d124: 8c0d40b9  ldr	w12, [x12, #0xc]
0xfffffff00875d128: 9f010b6b  cmp	w12, w11
0xfffffff00875d12c: 20020054  b.eq	#0xfffffff00875d170
0xfffffff00875d130: 4a050091  add	x10, x10, #1
0xfffffff00875d134: 9f020aeb  cmp	x20, x10
0xfffffff00875d138: 41ffff54  b.ne	#0xfffffff00875d120
0xfffffff00875d13c: c856189b  madd	x8, x22, x24, x21
0xfffffff00875d140: 08395db9  ldr	w8, [x8, #0x1d38]
0xfffffff00875d144: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff00875d148: fb0300f9  str	x27, [sp]
0xfffffff00875d14c: a04eff90  adrp	x0, #0xfffffff007131000
0xfffffff00875d150: 00403691  add	x0, x0, #0xd90
0xfffffff00875d154: 0195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00875d158: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875d15c: 02008052  mov	w2, #0
0xfffffff00875d160: 234fffb0  adrp	x3, #0xfffffff007142000
0xfffffff00875d164: 63080891  add	x3, x3, #0x202
0xfffffff00875d168: f257ef97  bl	#0xfffffff008333130
0xfffffff00875d16c: 04000014  b	#0xfffffff00875d17c
0xfffffff00875d170: 4a0d0012  and	w10, w10, #0xf
0xfffffff00875d174: 4901092a  orr	w9, w10, w9
0xfffffff00875d178: 090100b9  str	w9, [x8]
0xfffffff00875d17c: 7b070011  add	w27, w27, #1
0xfffffff00875d180: d6060091  add	x22, x22, #1
0xfffffff00875d184: e80240b9  ldr	w8, [x23]
0xfffffff00875d188: df0208eb  cmp	x22, x8
0xfffffff00875d18c: 23fbff54  b.lo	#0xfffffff00875d0f0
0xfffffff00875d190: 4850ffd0  adrp	x8, #0xfffffff007167000
0xfffffff00875d194: 006541fd  ldr	d0, [x8, #0x2c8]
0xfffffff00875d198: 604600fd  str	d0, [x19, #0x88]
0xfffffff00875d19c: e62b40f9  ldr	x6, [sp, #0x50]
0xfffffff00875d1a0: ca004039  ldrb	w10, [x6]
0xfffffff00875d1a4: 884b8052  mov	w8, #0x25c
0xfffffff00875d1a8: e59343a9  ldp	x5, x4, [sp, #0x38]
0xfffffff00875d1ac: 8814089b  madd	x8, x4, x8, x5
0xfffffff00875d1b0: 09610191  add	x9, x8, #0x58
0xfffffff00875d1b4: 085d0191  add	x8, x8, #0x57
0xfffffff00875d1b8: 5f050071  cmp	w10, #1
0xfffffff00875d1bc: 2a01889a  csel	x10, x9, x8, eq
0xfffffff00875d1c0: 4a014039  ldrb	w10, [x10]
0xfffffff00875d1c4: 0bbaa552  mov	w11, #0x2dd00000
0xfffffff00875d1c8: 4b051a33  bfi	w11, w10, #6, #2
