; Candidate 14432
; ADRP+ADD at VM 0xfffffff009787134 (fileoff 0x2783134): page=0x1fde06000 add_imm=0xd31

0xfffffff0097870b4: 400100b4  cbz	x0, #0xfffffff0097870dc
0xfffffff0097870b8: 100040f9  ldr	x16, [x0]
0xfffffff0097870bc: f10300aa  mov	x17, x0
0xfffffff0097870c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097870c4: 301ac1da  autda	x16, x17
0xfffffff0097870c8: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0097870cc: e90310aa  mov	x9, x16
0xfffffff0097870d0: f10309aa  mov	x17, x9
0xfffffff0097870d4: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff0097870d8: 11093fd7  blraa	x8, x17
0xfffffff0097870dc: 28f0feb0  adrp	x8, #0xfffffff00758c000
0xfffffff0097870e0: 08290091  add	x8, x8, #0xa
0xfffffff0097870e4: 29f0feb0  adrp	x9, #0xfffffff00758c000
0xfffffff0097870e8: 29190091  add	x9, x9, #6
0xfffffff0097870ec: bf0200f1  cmp	x21, #0
0xfffffff0097870f0: 3611889a  csel	x22, x9, x8, ne
0xfffffff0097870f4: 206000b0  adrp	x0, #0xfffffff00a38c000
0xfffffff0097870f8: 00600491  add	x0, x0, #0x118
0xfffffff0097870fc: 1776ad97  bl	#0xfffffff0082e4958
0xfffffff009787100: f40300aa  mov	x20, x0
0xfffffff009787104: 607240f9  ldr	x0, [x19, #0xe0]
0xfffffff009787108: 600100b4  cbz	x0, #0xfffffff009787134
0xfffffff00978710c: 100040f9  ldr	x16, [x0]
0xfffffff009787110: f10300aa  mov	x17, x0
0xfffffff009787114: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787118: 301ac1da  autda	x16, x17
0xfffffff00978711c: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009787120: e90310aa  mov	x9, x16
0xfffffff009787124: f10309aa  mov	x17, x9
0xfffffff009787128: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff00978712c: 11093fd7  blraa	x8, x17
0xfffffff009787130: 03000014  b	#0xfffffff00978713c
0xfffffff009787134: 20f0fed0  adrp	x0, #0xfffffff00758d000
0xfffffff009787138: 00c43491  add	x0, x0, #0xd31
0xfffffff00978713c: e05b01a9  stp	x0, x22, [sp, #0x10]
0xfffffff009787140: a8f0fe90  adrp	x8, #0xfffffff00759b000
0xfffffff009787144: 08611691  add	x8, x8, #0x598
0xfffffff009787148: f42300a9  stp	x20, x8, [sp]
0xfffffff00978714c: 20f0fe90  adrp	x0, #0xfffffff00758b000
0xfffffff009787150: 00802191  add	x0, x0, #0x860
0xfffffff009787154: 6124fff0  adrp	x1, #0xfffffff007c16000
0xfffffff009787158: 21b842f9  ldr	x1, [x1, #0x570]
0xfffffff00978715c: 03f1fef0  adrp	x3, #0xfffffff0075aa000
0xfffffff009787160: 63e43191  add	x3, x3, #0xc79
0xfffffff009787164: 02008052  mov	w2, #0
0xfffffff009787168: f2afae97  bl	#0xfffffff008333130
0xfffffff00978716c: 687640f9  ldr	x8, [x19, #0xe8]
0xfffffff009787170: 680300b4  cbz	x8, #0xfffffff0097871dc
0xfffffff009787174: e00313aa  mov	x0, x19
0xfffffff009787178: b7f6af97  bl	#0xfffffff008384c54
0xfffffff00978717c: 00030037  tbnz	w0, #0, #0xfffffff0097871dc
0xfffffff009787180: bf0200f1  cmp	x21, #0
0xfffffff009787184: e1079f1a  cset	w1, ne
0xfffffff009787188: 607640f9  ldr	x0, [x19, #0xe8]
0xfffffff00978718c: 100040f9  ldr	x16, [x0]
0xfffffff009787190: f10300aa  mov	x17, x0
0xfffffff009787194: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009787198: 301ac1da  autda	x16, x17
0xfffffff00978719c: 11bd80d2  mov	x17, #0x5e8
0xfffffff0097871a0: 1002118b  add	x16, x16, x17
0xfffffff0097871a4: 080240f9  ldr	x8, [x16]
0xfffffff0097871a8: e20310aa  mov	x2, x16
0xfffffff0097871ac: f00308aa  mov	x16, x8
0xfffffff0097871b0: fd7b44a9  ldp	x29, x30, [sp, #0x40]
