; Candidate 6543
; ADRP+ADD at VM 0xfffffff00883292c (fileoff 0x182e92c): page=0x1fe9f0000 add_imm=0xd6f

0xfffffff0088328ac: 02008052  mov	w2, #0
0xfffffff0088328b0: 2002ec97  bl	#0xfffffff008333130
0xfffffff0088328b4: 680240a9  ldp	x8, x0, [x19]
0xfffffff0088328b8: 15454039  ldrb	w21, [x8, #0x11]
0xfffffff0088328bc: 27e3ff97  bl	#0xfffffff00882b558
0xfffffff0088328c0: bf020071  cmp	w21, #0
0xfffffff0088328c4: 0818457a  ccmp	w0, #5, #8, ne
0xfffffff0088328c8: 8b0e0054  b.lt	#0xfffffff008832a98
0xfffffff0088328cc: 9f2a0071  cmp	w20, #0xa
0xfffffff0088328d0: 6b030054  b.lt	#0xfffffff00883293c
0xfffffff0088328d4: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0088328d8: 1f050071  cmp	w8, #1
0xfffffff0088328dc: 610d0054  b.ne	#0xfffffff008832a88
0xfffffff0088328e0: 000b8052  mov	w0, #0x58
0xfffffff0088328e4: c1008052  mov	w1, #6
0xfffffff0088328e8: ba230194  bl	#0xfffffff00887b7d0
0xfffffff0088328ec: 600c0034  cbz	w0, #0xfffffff008832a78
0xfffffff0088328f0: 000b8052  mov	w0, #0x58
0xfffffff0088328f4: c9230194  bl	#0xfffffff00887b818
0xfffffff0088328f8: f60300aa  mov	x22, x0
0xfffffff0088328fc: 2c060294  bl	#0xfffffff0088b41ac
0xfffffff008832900: f50300aa  mov	x21, x0
0xfffffff008832904: c0008052  mov	w0, #6
0xfffffff008832908: d2230194  bl	#0xfffffff00887b850
0xfffffff00883290c: 16090034  cbz	w22, #0xfffffff008832a2c
0xfffffff008832910: a9388052  mov	w9, #0x1c5
0xfffffff008832914: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832918: 08553791  add	x8, x8, #0xdd5
0xfffffff00883291c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008832920: 080b8052  mov	w8, #0x58
0xfffffff008832924: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008832928: f50300f9  str	x21, [sp]
0xfffffff00883292c: 804fff90  adrp	x0, #0xfffffff007222000
0xfffffff008832930: 00bc3591  add	x0, x0, #0xd6f
0xfffffff008832934: cb12d697  bl	#0xfffffff007db7460
0xfffffff008832938: 50000014  b	#0xfffffff008832a78
0xfffffff00883293c: 682a40b9  ldr	w8, [x19, #0x28]
0xfffffff008832940: 09050051  sub	w9, w8, #1
0xfffffff008832944: 692a00b9  str	w9, [x19, #0x28]
0xfffffff008832948: 1f010071  cmp	w8, #0
0xfffffff00883294c: 6c0a0054  b.gt	#0xfffffff008832a98
0xfffffff008832950: 000b8052  mov	w0, #0x58
0xfffffff008832954: a1008052  mov	w1, #5
0xfffffff008832958: 9e230194  bl	#0xfffffff00887b7d0
0xfffffff00883295c: 40170034  cbz	w0, #0xfffffff008832c44
0xfffffff008832960: 000b8052  mov	w0, #0x58
0xfffffff008832964: ad230194  bl	#0xfffffff00887b818
0xfffffff008832968: f60300aa  mov	x22, x0
0xfffffff00883296c: 10060294  bl	#0xfffffff0088b41ac
0xfffffff008832970: f50300aa  mov	x21, x0
0xfffffff008832974: a0008052  mov	w0, #5
0xfffffff008832978: b6230194  bl	#0xfffffff00887b850
0xfffffff00883297c: 96130034  cbz	w22, #0xfffffff008832bec
0xfffffff008832980: 68264529  ldp	w8, w9, [x19, #0x28]
0xfffffff008832984: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008832988: e80314aa  mov	x8, x20
0xfffffff00883298c: 493b8052  mov	w9, #0x1da
0xfffffff008832990: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008832994: 884fff90  adrp	x8, #0xfffffff007222000
0xfffffff008832998: 08553791  add	x8, x8, #0xdd5
0xfffffff00883299c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088329a0: 080b8052  mov	w8, #0x58
0xfffffff0088329a4: 804fff90  adrp	x0, #0xfffffff007222000
0xfffffff0088329a8: 00703791  add	x0, x0, #0xddc
