; Candidate 12750
; ADRP+ADD at VM 0xfffffff00915055c (fileoff 0x214c55c): page=0x1fe337000 add_imm=0xd1e

0xfffffff0091504dc: 28020034  cbz	w8, #0xfffffff009150520
0xfffffff0091504e0: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff0091504e4: 00783491  add	x0, x0, #0xd1e
0xfffffff0091504e8: de9bb197  bl	#0xfffffff007db7460
0xfffffff0091504ec: 1f000014  b	#0xfffffff009150568
0xfffffff0091504f0: 88635e39  ldrb	w8, [x28, #0x798]
0xfffffff0091504f4: a8000034  cbz	w8, #0xfffffff009150508
0xfffffff0091504f8: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff0091504fc: 00a43191  add	x0, x0, #0xc69
0xfffffff009150500: d89bb197  bl	#0xfffffff007db7460
0xfffffff009150504: 10000014  b	#0xfffffff009150544
0xfffffff009150508: 65f6b597  bl	#0xfffffff007ecde9c
0xfffffff00915050c: 60010034  cbz	w0, #0xfffffff009150538
0xfffffff009150510: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff009150514: 00a43191  add	x0, x0, #0xc69
0xfffffff009150518: c21ac897  bl	#0xfffffff008357020
0xfffffff00915051c: 0a000014  b	#0xfffffff009150544
0xfffffff009150520: 5ff6b597  bl	#0xfffffff007ecde9c
0xfffffff009150524: c0010034  cbz	w0, #0xfffffff00915055c
0xfffffff009150528: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff00915052c: 00783491  add	x0, x0, #0xd1e
0xfffffff009150530: bc1ac897  bl	#0xfffffff008357020
0xfffffff009150534: 0d000014  b	#0xfffffff009150568
0xfffffff009150538: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff00915053c: 00a43191  add	x0, x0, #0xc69
0xfffffff009150540: 047ccc97  bl	#0xfffffff00846f550
0xfffffff009150544: 00008052  mov	w0, #0
0xfffffff009150548: 1c000014  b	#0xfffffff0091505b8
0xfffffff00915054c: e80300f9  str	x8, [sp]
0xfffffff009150550: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff009150554: 00683291  add	x0, x0, #0xc9a
0xfffffff009150558: 6dffff17  b	#0xfffffff00915030c
0xfffffff00915055c: a019fff0  adrp	x0, #0xfffffff007487000
0xfffffff009150560: 00783491  add	x0, x0, #0xd1e
0xfffffff009150564: fb7bcc97  bl	#0xfffffff00846f550
0xfffffff009150568: 68224439  ldrb	w8, [x19, #0x108]
0xfffffff00915056c: 68030034  cbz	w8, #0xfffffff0091505d8
0xfffffff009150570: 00008052  mov	w0, #0
0xfffffff009150574: 288e00b0  adrp	x8, #0xfffffff00a315000
0xfffffff009150578: 08615e39  ldrb	w8, [x8, #0x798]
0xfffffff00915057c: e8010035  cbnz	w8, #0xfffffff0091505b8
0xfffffff009150580: 8850ff90  adrp	x8, #0xfffffff007b60000
0xfffffff009150584: 08a10291  add	x8, x8, #0xa8
0xfffffff009150588: 09e10e91  add	x9, x8, #0x3b8
0xfffffff00915058c: 08dd41f9  ldr	x8, [x8, #0x3b8]
0xfffffff009150590: e00313aa  mov	x0, x19
0xfffffff009150594: e10319aa  mov	x1, x25
0xfffffff009150598: e20318aa  mov	x2, x24
0xfffffff00915059c: e30316aa  mov	x3, x22
0xfffffff0091505a0: e40315aa  mov	x4, x21
0xfffffff0091505a4: e50314aa  mov	x5, x20
0xfffffff0091505a8: e60317aa  mov	x6, x23
0xfffffff0091505ac: f10309aa  mov	x17, x9
0xfffffff0091505b0: 1131e1f2  movk	x17, #0x988, lsl #48
0xfffffff0091505b4: 11093fd7  blraa	x8, x17
0xfffffff0091505b8: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0091505bc: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0091505c0: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0091505c4: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0091505c8: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0091505cc: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0091505d0: ff430291  add	sp, sp, #0x90
0xfffffff0091505d4: ff0f5fd6  retab	
0xfffffff0091505d8: 1b00eed2  mov	x27, #0x7000000000000000
