; Candidate 5061
; ADRP+ADD at VM 0xfffffff0087d5988 (fileoff 0x17d1988): page=0x1fea14000 add_imm=0xe80

0xfffffff0087d5908: f40300aa  mov	x20, x0
0xfffffff0087d590c: 287a0394  bl	#0xfffffff0088b41ac
0xfffffff0087d5910: f30300aa  mov	x19, x0
0xfffffff0087d5914: 80008052  mov	w0, #4
0xfffffff0087d5918: ce970294  bl	#0xfffffff00887b850
0xfffffff0087d591c: 940a0034  cbz	w20, #0xfffffff0087d5a6c
0xfffffff0087d5920: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5924: 08e92f91  add	x8, x8, #0xbfa
0xfffffff0087d5928: c9038052  mov	w9, #0x1e
0xfffffff0087d592c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d5930: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5934: 08892c91  add	x8, x8, #0xb22
0xfffffff0087d5938: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d593c: 68008052  mov	w8, #3
0xfffffff0087d5940: f32300a9  stp	x19, x8, [sp]
0xfffffff0087d5944: e051ff90  adrp	x0, #0xfffffff007211000
0xfffffff0087d5948: 00242f91  add	x0, x0, #0xbc9
0xfffffff0087d594c: c586d797  bl	#0xfffffff007db7460
0xfffffff0087d5950: 5c000014  b	#0xfffffff0087d5ac0
0xfffffff0087d5954: 167a0394  bl	#0xfffffff0088b41ac
0xfffffff0087d5958: f30300aa  mov	x19, x0
0xfffffff0087d595c: 80008052  mov	w0, #4
0xfffffff0087d5960: bc970294  bl	#0xfffffff00887b850
0xfffffff0087d5964: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5968: 089d2c91  add	x8, x8, #0xb27
0xfffffff0087d596c: 09038052  mov	w9, #0x18
0xfffffff0087d5970: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d5974: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d5978: 08892c91  add	x8, x8, #0xb22
0xfffffff0087d597c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d5980: 68008052  mov	w8, #3
0xfffffff0087d5984: f32300a9  stp	x19, x8, [sp]
0xfffffff0087d5988: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d598c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d5990: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d5994: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d5998: 2353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d599c: 637c1991  add	x3, x3, #0x65f
0xfffffff0087d59a0: 02008052  mov	w2, #0
0xfffffff0087d59a4: e375ed97  bl	#0xfffffff008333130
0xfffffff0087d59a8: 007d8012  mov	w0, #-0x3e9
0xfffffff0087d59ac: 46000014  b	#0xfffffff0087d5ac4
0xfffffff0087d59b0: ff790394  bl	#0xfffffff0088b41ac
0xfffffff0087d59b4: f30300aa  mov	x19, x0
0xfffffff0087d59b8: 80008052  mov	w0, #4
0xfffffff0087d59bc: a5970294  bl	#0xfffffff00887b850
0xfffffff0087d59c0: f50300aa  mov	x21, x0
0xfffffff0087d59c4: e00314aa  mov	x0, x20
0xfffffff0087d59c8: cdd70294  bl	#0xfffffff00888b8fc
0xfffffff0087d59cc: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d59d0: 08a52d91  add	x8, x8, #0xb69
0xfffffff0087d59d4: 69038052  mov	w9, #0x1b
0xfffffff0087d59d8: e88302a9  stp	x8, x0, [sp, #0x28]
0xfffffff0087d59dc: e851ff90  adrp	x8, #0xfffffff007211000
0xfffffff0087d59e0: 08892c91  add	x8, x8, #0xb22
0xfffffff0087d59e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d59e8: 68008052  mov	w8, #3
0xfffffff0087d59ec: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff0087d59f0: f30300f9  str	x19, [sp]
0xfffffff0087d59f4: a050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d59f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d59fc: 8191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d5a00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d5a04: 2353ffd0  adrp	x3, #0xfffffff00723b000
