; Candidate 635
; ADRP+ADD at VM 0xfffffff007fc92b4 (fileoff 0xfc52b4): page=0x1ff09d000 add_imm=0xcfe

0xfffffff007fc9234: 00a03791  add	x0, x0, #0xde8
0xfffffff007fc9238: e184ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fc923c: 21dc3291  add	x1, x1, #0xcb7
0xfffffff007fc9240: a2398052  mov	w2, #0x1cd
0xfffffff007fc9244: 74591394  bl	#0xfffffff00849f814
0xfffffff007fc9248: e084ffd0  adrp	x0, #0xfffffff007067000
0xfffffff007fc924c: 00181291  add	x0, x0, #0x486
0xfffffff007fc9250: e184ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fc9254: 21dc3291  add	x1, x1, #0xcb7
0xfffffff007fc9258: 22388052  mov	w2, #0x1c1
0xfffffff007fc925c: 6e591394  bl	#0xfffffff00849f814
0xfffffff007fc9260: e00316aa  mov	x0, x22
0xfffffff007fc9264: e10313aa  mov	x1, x19
0xfffffff007fc9268: 3f8df797  bl	#0xfffffff007dac764
0xfffffff007fc926c: 5efeff17  b	#0xfffffff007fc8be4
0xfffffff007fc9270: e00316aa  mov	x0, x22
0xfffffff007fc9274: e10313aa  mov	x1, x19
0xfffffff007fc9278: 3b8df797  bl	#0xfffffff007dac764
0xfffffff007fc927c: 78feff17  b	#0xfffffff007fc8c5c
0xfffffff007fc9280: e00316aa  mov	x0, x22
0xfffffff007fc9284: e10313aa  mov	x1, x19
0xfffffff007fc9288: 22008052  mov	w2, #1
0xfffffff007fc928c: 1b8af797  bl	#0xfffffff007dabaf8
0xfffffff007fc9290: 280340b9  ldr	w8, [x25]
0xfffffff007fc9294: 28d4ff35  cbnz	w8, #0xfffffff007fc8d18
0xfffffff007fc9298: 07000014  b	#0xfffffff007fc92b4
0xfffffff007fc929c: e00314aa  mov	x0, x20
0xfffffff007fc92a0: e10313aa  mov	x1, x19
0xfffffff007fc92a4: 22008052  mov	w2, #1
0xfffffff007fc92a8: 148af797  bl	#0xfffffff007dabaf8
0xfffffff007fc92ac: c80240b9  ldr	w8, [x22]
0xfffffff007fc92b0: 48f8ff35  cbnz	w8, #0xfffffff007fc91b8
0xfffffff007fc92b4: e084ffb0  adrp	x0, #0xfffffff007066000
0xfffffff007fc92b8: 00f83391  add	x0, x0, #0xcfe
0xfffffff007fc92bc: e184ffb0  adrp	x1, #0xfffffff007066000
0xfffffff007fc92c0: 21dc3291  add	x1, x1, #0xcb7
0xfffffff007fc92c4: 22c98152  mov	w2, #0xe49
0xfffffff007fc92c8: 53591394  bl	#0xfffffff00849f814
0xfffffff007fc92cc: e00314aa  mov	x0, x20
0xfffffff007fc92d0: e10313aa  mov	x1, x19
0xfffffff007fc92d4: 248df797  bl	#0xfffffff007dac764
0xfffffff007fc92d8: c7ffff17  b	#0xfffffff007fc91f4
0xfffffff007fc92dc: 6086ffb0  adrp	x0, #0xfffffff007096000
0xfffffff007fc92e0: 00d81e91  add	x0, x0, #0x7b6
0xfffffff007fc92e4: 6186ffb0  adrp	x1, #0xfffffff007096000
0xfffffff007fc92e8: 21801d91  add	x1, x1, #0x760
0xfffffff007fc92ec: 02328052  mov	w2, #0x190
0xfffffff007fc92f0: 49591394  bl	#0xfffffff00849f814
0xfffffff007fc92f4: c083ffd0  adrp	x0, #0xfffffff007043000
0xfffffff007fc92f8: 00401191  add	x0, x0, #0x450
0xfffffff007fc92fc: 6186ffb0  adrp	x1, #0xfffffff007096000
0xfffffff007fc9300: 219c0991  add	x1, x1, #0x267
0xfffffff007fc9304: 42908052  mov	w2, #0x482
0xfffffff007fc9308: 43591394  bl	#0xfffffff00849f814
0xfffffff007fc930c: 01000014  b	#0xfffffff007fc9310
0xfffffff007fc9310: 081e8152  mov	w8, #0x8f0
0xfffffff007fc9314: e983ffb0  adrp	x9, #0xfffffff007046000
0xfffffff007fc9318: 29d92791  add	x9, x9, #0x9f6
0xfffffff007fc931c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007fc9320: fa0300a9  stp	x26, x0, [sp]
0xfffffff007fc9324: 06000014  b	#0xfffffff007fc933c
0xfffffff007fc9328: 081e8152  mov	w8, #0x8f0
0xfffffff007fc932c: e983ffb0  adrp	x9, #0xfffffff007046000
0xfffffff007fc9330: 29d92791  add	x9, x9, #0x9f6
