; Candidate 8438
; ADRP+ADD at VM 0xfffffff0088aab2c (fileoff 0x18a6b2c): page=0x1fe93f000 add_imm=0xe80

0xfffffff0088aaaac: 694d8052  mov	w9, #0x26b
0xfffffff0088aaab0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088aaab4: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aaab8: 08850b91  add	x8, x8, #0x2e1
0xfffffff0088aaabc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aaac0: c80f8052  mov	w8, #0x7e
0xfffffff0088aaac4: 404cffb0  adrp	x0, #0xfffffff007233000
0xfffffff0088aaac8: 00180e91  add	x0, x0, #0x386
0xfffffff0088aaacc: f92300a9  stp	x25, x8, [sp]
0xfffffff0088aaad0: 6432d497  bl	#0xfffffff007db7460
0xfffffff0088aaad4: 1d000014  b	#0xfffffff0088aab48
0xfffffff0088aaad8: b5250094  bl	#0xfffffff0088b41ac
0xfffffff0088aaadc: f80300aa  mov	x24, x0
0xfffffff0088aaae0: 80008052  mov	w0, #4
0xfffffff0088aaae4: 5b43ff97  bl	#0xfffffff00887b850
0xfffffff0088aaae8: e80316aa  mov	x8, x22
0xfffffff0088aaaec: e90315aa  mov	x9, x21
0xfffffff0088aaaf0: e8df04a9  stp	x8, x23, [sp, #0x48]
0xfffffff0088aaaf4: e80314aa  mov	x8, x20
0xfffffff0088aaaf8: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff0088aaafc: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aab00: 08d10c91  add	x8, x8, #0x334
0xfffffff0088aab04: c94a8052  mov	w9, #0x256
0xfffffff0088aab08: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0088aab0c: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aab10: 08850b91  add	x8, x8, #0x2e1
0xfffffff0088aab14: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088aab18: c80f8052  mov	w8, #0x7e
0xfffffff0088aab1c: c34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088aab20: 63201191  add	x3, x3, #0x448
0xfffffff0088aab24: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088aab28: f80300f9  str	x24, [sp]
0xfffffff0088aab2c: e049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088aab30: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aab34: e18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088aab38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088aab3c: 02008052  mov	w2, #0
0xfffffff0088aab40: 7c21ea97  bl	#0xfffffff008333130
0xfffffff0088aab44: 187d8012  mov	w24, #-0x3e9
0xfffffff0088aab48: c00f8052  mov	w0, #0x7e
0xfffffff0088aab4c: e1008052  mov	w1, #7
0xfffffff0088aab50: 2043ff97  bl	#0xfffffff00887b7d0
0xfffffff0088aab54: 40050034  cbz	w0, #0xfffffff0088aabfc
0xfffffff0088aab58: c00f8052  mov	w0, #0x7e
0xfffffff0088aab5c: 2f43ff97  bl	#0xfffffff00887b818
0xfffffff0088aab60: fa0300aa  mov	x26, x0
0xfffffff0088aab64: 92250094  bl	#0xfffffff0088b41ac
0xfffffff0088aab68: f90300aa  mov	x25, x0
0xfffffff0088aab6c: e0008052  mov	w0, #7
0xfffffff0088aab70: 3843ff97  bl	#0xfffffff00887b850
0xfffffff0088aab74: ba010034  cbz	w26, #0xfffffff0088aaba8
0xfffffff0088aab78: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0088aab7c: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088aab80: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088aab84: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aab88: 08850b91  add	x8, x8, #0x2e1
0xfffffff0088aab8c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aab90: c80f8052  mov	w8, #0x7e
0xfffffff0088aab94: 404cffb0  adrp	x0, #0xfffffff007233000
0xfffffff0088aab98: 00281091  add	x0, x0, #0x40a
0xfffffff0088aab9c: f92300a9  stp	x25, x8, [sp]
0xfffffff0088aaba0: 3032d497  bl	#0xfffffff007db7460
0xfffffff0088aaba4: 16000014  b	#0xfffffff0088aabfc
0xfffffff0088aaba8: 81250094  bl	#0xfffffff0088b41ac
