; Candidate 4307
; ADRP+ADD at VM 0xfffffff00879e37c (fileoff 0x179a37c): page=0x1fe993000 add_imm=0xd90

0xfffffff00879e2fc: 665652f9  ldr	x6, [x19, #0x24a8]
0xfffffff00879e300: e00313aa  mov	x0, x19
0xfffffff00879e304: e17740b9  ldr	w1, [sp, #0x74]
0xfffffff00879e308: e27740f9  ldr	x2, [sp, #0xe8]
0xfffffff00879e30c: 59f8fe97  bl	#0xfffffff00875c470
0xfffffff00879e310: 1f040031  cmn	w0, #1
0xfffffff00879e314: e87f8052  mov	w8, #0x3ff
0xfffffff00879e318: 0901801a  csel	w9, w8, w0, eq
0xfffffff00879e31c: 687a50f9  ldr	x8, [x19, #0x20f0]
0xfffffff00879e320: 0a278152  mov	w10, #0x938
0xfffffff00879e324: eb4b40f9  ldr	x11, [sp, #0x90]
0xfffffff00879e328: 6a210a9b  madd	x10, x11, x10, x8
0xfffffff00879e32c: 49611279  strh	w9, [x10, #0x930]
0xfffffff00879e330: 695e4bb9  ldr	w9, [x19, #0xb5c]
0xfffffff00879e334: 3f010071  cmp	w9, #0
0xfffffff00879e338: 2900a052  mov	w9, #0x10000
0xfffffff00879e33c: 0a04a052  mov	w10, #0x200000
0xfffffff00879e340: 4901891a  csel	w9, w10, w9, eq
0xfffffff00879e344: 6ab24bb9  ldr	w10, [x19, #0xbb0]
0xfffffff00879e348: 4901092a  orr	w9, w10, w9
0xfffffff00879e34c: 69b20bb9  str	w9, [x19, #0xbb0]
0xfffffff00879e350: 19000014  b	#0xfffffff00879e3b4
0xfffffff00879e354: 29034039  ldrb	w9, [x25]
0xfffffff00879e358: 69f2ff34  cbz	w9, #0xfffffff00879e1a4
0xfffffff00879e35c: e95740f9  ldr	x9, [sp, #0xa8]
0xfffffff00879e360: 3f050071  cmp	w9, #1
0xfffffff00879e364: 80000054  b.eq	#0xfffffff00879e374
0xfffffff00879e368: 08711d12  and	w8, w8, #0xfffffff8
0xfffffff00879e36c: 1f410071  cmp	w8, #0x10
0xfffffff00879e370: 41790054  b.ne	#0xfffffff00879f298
0xfffffff00879e374: e85740f9  ldr	x8, [sp, #0xa8]
0xfffffff00879e378: e80300f9  str	x8, [sp]
0xfffffff00879e37c: 804cfff0  adrp	x0, #0xfffffff007131000
0xfffffff00879e380: 00403691  add	x0, x0, #0xd90
0xfffffff00879e384: e192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879e388: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879e38c: 02008052  mov	w2, #0
0xfffffff00879e390: 434dfff0  adrp	x3, #0xfffffff007149000
0xfffffff00879e394: 63d83a91  add	x3, x3, #0xeb6
0xfffffff00879e398: 6653ee97  bl	#0xfffffff008333130
0xfffffff00879e39c: 3f030039  strb	wzr, [x25]
0xfffffff00879e3a0: 605a46f9  ldr	x0, [x19, #0xcb0]
0xfffffff00879e3a4: 00f0ffb4  cbz	x0, #0xfffffff00879e1a4
0xfffffff00879e3a8: aee7ff97  bl	#0xfffffff008798260
0xfffffff00879e3ac: 7effff17  b	#0xfffffff00879e1a4
0xfffffff00879e3b0: 16d08452  mov	w22, #0x2680
0xfffffff00879e3b4: ea274ba9  ldp	x10, x9, [sp, #0xb0]
0xfffffff00879e3b8: 5825169b  madd	x24, x10, x22, x9
0xfffffff00879e3bc: 094f4338  ldrb	w9, [x24, #0x34]!
0xfffffff00879e3c0: 89030034  cbz	w9, #0xfffffff00879e430
0xfffffff00879e3c4: ea274ba9  ldp	x10, x9, [sp, #0xb0]
0xfffffff00879e3c8: 4925169b  madd	x9, x10, x22, x9
0xfffffff00879e3cc: 2c3940b9  ldr	w12, [x9, #0x38]
0xfffffff00879e3d0: 8d050031  adds	w13, w12, #1
0xfffffff00879e3d4: e2020054  b.hs	#0xfffffff00879e430
0xfffffff00879e3d8: 090080d2  mov	x9, #0
0xfffffff00879e3dc: 0a518b52  mov	w10, #0x5a88
0xfffffff00879e3e0: 8a720a9b  madd	x10, x20, x10, x28
0xfffffff00879e3e4: 0b2c8b52  mov	w11, #0x5960
0xfffffff00879e3e8: 4a010b8b  add	x10, x10, x11
0xfffffff00879e3ec: ee2f4ba9  ldp	x14, x11, [sp, #0xb0]
0xfffffff00879e3f0: cb2d169b  madd	x11, x14, x22, x11
0xfffffff00879e3f4: 0eba8452  mov	w14, #0x25d0
0xfffffff00879e3f8: 6b010e8b  add	x11, x11, x14
