; Candidate 13432
; ADRP+ADD at VM 0xfffffff0092d0648 (fileoff 0x22cc648): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d05c8: 400300b4  cbz	x0, #0xfffffff0092d0630
0xfffffff0092d05cc: 700240f9  ldr	x16, [x19]
0xfffffff0092d05d0: f10313aa  mov	x17, x19
0xfffffff0092d05d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d05d8: 301ac1da  autda	x16, x17
0xfffffff0092d05dc: 116e80d2  mov	x17, #0x370
0xfffffff0092d05e0: 1002118b  add	x16, x16, x17
0xfffffff0092d05e4: 080240f9  ldr	x8, [x16]
0xfffffff0092d05e8: e90310aa  mov	x9, x16
0xfffffff0092d05ec: e00313aa  mov	x0, x19
0xfffffff0092d05f0: f10309aa  mov	x17, x9
0xfffffff0092d05f4: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d05f8: 11093fd7  blraa	x8, x17
0xfffffff0092d05fc: 100040f9  ldr	x16, [x0]
0xfffffff0092d0600: f10300aa  mov	x17, x0
0xfffffff0092d0604: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0608: 301ac1da  autda	x16, x17
0xfffffff0092d060c: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0610: 1002118b  add	x16, x16, x17
0xfffffff0092d0614: 080240f9  ldr	x8, [x16]
0xfffffff0092d0618: e90310aa  mov	x9, x16
0xfffffff0092d061c: 010080d2  mov	x1, #0
0xfffffff0092d0620: f10309aa  mov	x17, x9
0xfffffff0092d0624: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0628: 11093fd7  blraa	x8, x17
0xfffffff0092d062c: 03000014  b	#0xfffffff0092d0638
0xfffffff0092d0630: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d0634: 00102191  add	x0, x0, #0x844
0xfffffff0092d0638: a8024079  ldrh	w8, [x21]
0xfffffff0092d063c: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d0640: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d0644: f60300f9  str	x22, [sp]
0xfffffff0092d0648: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d064c: 00983891  add	x0, x0, #0xe26
0xfffffff0092d0650: 741ac297  bl	#0xfffffff008357020
0xfffffff0092d0654: 75423a91  add	x21, x19, #0xe90
0xfffffff0092d0658: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d065c: 94623591  add	x20, x20, #0xd58
0xfffffff0092d0660: e00314aa  mov	x0, x20
0xfffffff0092d0664: e10315aa  mov	x1, x21
0xfffffff0092d0668: 42008052  mov	w2, #2
0xfffffff0092d066c: 5372c697  bl	#0xfffffff00846cfb8
0xfffffff0092d0670: c0070034  cbz	w0, #0xfffffff0092d0768
0xfffffff0092d0674: 700240f9  ldr	x16, [x19]
0xfffffff0092d0678: f10313aa  mov	x17, x19
0xfffffff0092d067c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0680: 301ac1da  autda	x16, x17
0xfffffff0092d0684: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0688: 1002118b  add	x16, x16, x17
0xfffffff0092d068c: 080240f9  ldr	x8, [x16]
0xfffffff0092d0690: e90310aa  mov	x9, x16
0xfffffff0092d0694: e00313aa  mov	x0, x19
0xfffffff0092d0698: 010080d2  mov	x1, #0
0xfffffff0092d069c: f10309aa  mov	x17, x9
0xfffffff0092d06a0: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d06a4: 11093fd7  blraa	x8, x17
0xfffffff0092d06a8: f60300aa  mov	x22, x0
0xfffffff0092d06ac: 700240f9  ldr	x16, [x19]
0xfffffff0092d06b0: f10313aa  mov	x17, x19
0xfffffff0092d06b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d06b8: 301ac1da  autda	x16, x17
0xfffffff0092d06bc: 116e80d2  mov	x17, #0x370
0xfffffff0092d06c0: 1002118b  add	x16, x16, x17
0xfffffff0092d06c4: 080240f9  ldr	x8, [x16]
