; Candidate 14887
; ADRP+ADD at VM 0xfffffff0099dec30 (fileoff 0x29dac30): page=0x1fdc1f000 add_imm=0xdc2

0xfffffff0099debb0: d64e0090  adrp	x22, #0xfffffff00a3b6000
0xfffffff0099debb4: d6a22291  add	x22, x22, #0x8a8
0xfffffff0099debb8: c80240b9  ldr	w8, [x22]
0xfffffff0099debbc: 28040036  tbz	w8, #0, #0xfffffff0099dec40
0xfffffff0099debc0: 700240f9  ldr	x16, [x19]
0xfffffff0099debc4: f10313aa  mov	x17, x19
0xfffffff0099debc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099debcc: 301ac1da  autda	x16, x17
0xfffffff0099debd0: 113d80d2  mov	x17, #0x1e8
0xfffffff0099debd4: 1002118b  add	x16, x16, x17
0xfffffff0099debd8: 080240f9  ldr	x8, [x16]
0xfffffff0099debdc: e90310aa  mov	x9, x16
0xfffffff0099debe0: e00313aa  mov	x0, x19
0xfffffff0099debe4: 010080d2  mov	x1, #0
0xfffffff0099debe8: f10309aa  mov	x17, x9
0xfffffff0099debec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0099debf0: 11093fd7  blraa	x8, x17
0xfffffff0099debf4: f50300aa  mov	x21, x0
0xfffffff0099debf8: 940100b4  cbz	x20, #0xfffffff0099dec28
0xfffffff0099debfc: 900240f9  ldr	x16, [x20]
0xfffffff0099dec00: f10314aa  mov	x17, x20
0xfffffff0099dec04: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099dec08: 301ac1da  autda	x16, x17
0xfffffff0099dec0c: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0099dec10: e90310aa  mov	x9, x16
0xfffffff0099dec14: e00314aa  mov	x0, x20
0xfffffff0099dec18: f10309aa  mov	x17, x9
0xfffffff0099dec1c: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0099dec20: 11093fd7  blraa	x8, x17
0xfffffff0099dec24: 02000014  b	#0xfffffff0099dec2c
0xfffffff0099dec28: 00008052  mov	w0, #0
0xfffffff0099dec2c: f50300a9  stp	x21, x0, [sp]
0xfffffff0099dec30: e0e0fef0  adrp	x0, #0xfffffff0075fd000
0xfffffff0099dec34: 00083791  add	x0, x0, #0xdc2
0xfffffff0099dec38: 4642aa97  bl	#0xfffffff00846f550
0xfffffff0099dec3c: c80240b9  ldr	w8, [x22]
0xfffffff0099dec40: 08040836  tbz	w8, #1, #0xfffffff0099decc0
0xfffffff0099dec44: 700240f9  ldr	x16, [x19]
0xfffffff0099dec48: f10313aa  mov	x17, x19
0xfffffff0099dec4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099dec50: 301ac1da  autda	x16, x17
0xfffffff0099dec54: 113d80d2  mov	x17, #0x1e8
0xfffffff0099dec58: 1002118b  add	x16, x16, x17
0xfffffff0099dec5c: 080240f9  ldr	x8, [x16]
0xfffffff0099dec60: e90310aa  mov	x9, x16
0xfffffff0099dec64: e00313aa  mov	x0, x19
0xfffffff0099dec68: 010080d2  mov	x1, #0
0xfffffff0099dec6c: f10309aa  mov	x17, x9
0xfffffff0099dec70: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0099dec74: 11093fd7  blraa	x8, x17
0xfffffff0099dec78: f30300aa  mov	x19, x0
0xfffffff0099dec7c: 940100b4  cbz	x20, #0xfffffff0099decac
0xfffffff0099dec80: 900240f9  ldr	x16, [x20]
0xfffffff0099dec84: f10314aa  mov	x17, x20
0xfffffff0099dec88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099dec8c: 301ac1da  autda	x16, x17
0xfffffff0099dec90: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0099dec94: e90310aa  mov	x9, x16
0xfffffff0099dec98: e00314aa  mov	x0, x20
0xfffffff0099dec9c: f10309aa  mov	x17, x9
0xfffffff0099deca0: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0099deca4: 11093fd7  blraa	x8, x17
0xfffffff0099deca8: 02000014  b	#0xfffffff0099decb0
0xfffffff0099decac: 00008052  mov	w0, #0
