; Candidate 4235
; ADRP+ADD at VM 0xfffffff008797ef4 (fileoff 0x1793ef4): page=0x1fe99a000 add_imm=0xd90

0xfffffff008797e74: 03f74139  ldrb	w3, [x24, #0x7d]
0xfffffff008797e78: 3bbefe97  bl	#0xfffffff008747764
0xfffffff008797e7c: 080c8052  mov	w8, #0x60
0xfffffff008797e80: 086da572  movk	w8, #0x2b68, lsl #16
0xfffffff008797e84: 00110011  add	w0, w8, #4
0xfffffff008797e88: 010080d2  mov	x1, #0
0xfffffff008797e8c: 020080d2  mov	x2, #0
0xfffffff008797e90: 030080d2  mov	x3, #0
0xfffffff008797e94: 040080d2  mov	x4, #0
0xfffffff008797e98: 050080d2  mov	x5, #0
0xfffffff008797e9c: 1a98e797  bl	#0xfffffff00817df04
0xfffffff008797ea0: 1ff70139  strb	wzr, [x24, #0x7d]
0xfffffff008797ea4: 0c000014  b	#0xfffffff008797ed4
0xfffffff008797ea8: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797eac: 08f11891  add	x8, x8, #0x63c
0xfffffff008797eb0: e85b00a9  stp	x8, x22, [sp]
0xfffffff008797eb4: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797eb8: 00403691  add	x0, x0, #0xd90
0xfffffff008797ebc: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008797ec0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797ec4: 02008052  mov	w2, #0
0xfffffff008797ec8: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797ecc: 63dc3191  add	x3, x3, #0xc77
0xfffffff008797ed0: 986cee97  bl	#0xfffffff008333130
0xfffffff008797ed4: d6060091  add	x22, x22, #1
0xfffffff008797ed8: b5420091  add	x21, x21, #0x10
0xfffffff008797edc: 7f0316eb  cmp	x27, x22
0xfffffff008797ee0: c1f1ff54  b.ne	#0xfffffff008797d18
0xfffffff008797ee4: 31000014  b	#0xfffffff008797fa8
0xfffffff008797ee8: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797eec: 08f11891  add	x8, x8, #0x63c
0xfffffff008797ef0: e80300f9  str	x8, [sp]
0xfffffff008797ef4: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797ef8: 00403691  add	x0, x0, #0xd90
0xfffffff008797efc: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008797f00: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797f04: 02008052  mov	w2, #0
0xfffffff008797f08: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797f0c: 63483491  add	x3, x3, #0xd12
0xfffffff008797f10: 886cee97  bl	#0xfffffff008333130
0xfffffff008797f14: f0ffff17  b	#0xfffffff008797ed4
0xfffffff008797f18: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797f1c: 08f11891  add	x8, x8, #0x63c
0xfffffff008797f20: e80300f9  str	x8, [sp]
0xfffffff008797f24: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797f28: 00403691  add	x0, x0, #0xd90
0xfffffff008797f2c: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008797f30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797f34: 02008052  mov	w2, #0
0xfffffff008797f38: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797f3c: 63b43291  add	x3, x3, #0xcad
0xfffffff008797f40: 7c6cee97  bl	#0xfffffff008333130
0xfffffff008797f44: e4ffff17  b	#0xfffffff008797ed4
0xfffffff008797f48: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797f4c: 08f11891  add	x8, x8, #0x63c
0xfffffff008797f50: e80300f9  str	x8, [sp]
0xfffffff008797f54: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797f58: 00403691  add	x0, x0, #0xd90
0xfffffff008797f5c: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008797f60: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008797f64: 02008052  mov	w2, #0
0xfffffff008797f68: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797f6c: 63e83491  add	x3, x3, #0xd3a
0xfffffff008797f70: 706cee97  bl	#0xfffffff008333130
