; Candidate 13437
; ADRP+ADD at VM 0xfffffff0092d0bac (fileoff 0x22ccbac): page=0x1fe20f000 add_imm=0xe26

0xfffffff0092d0b2c: 400300b4  cbz	x0, #0xfffffff0092d0b94
0xfffffff0092d0b30: 700240f9  ldr	x16, [x19]
0xfffffff0092d0b34: f10313aa  mov	x17, x19
0xfffffff0092d0b38: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0b3c: 301ac1da  autda	x16, x17
0xfffffff0092d0b40: 116e80d2  mov	x17, #0x370
0xfffffff0092d0b44: 1002118b  add	x16, x16, x17
0xfffffff0092d0b48: 080240f9  ldr	x8, [x16]
0xfffffff0092d0b4c: e90310aa  mov	x9, x16
0xfffffff0092d0b50: e00313aa  mov	x0, x19
0xfffffff0092d0b54: f10309aa  mov	x17, x9
0xfffffff0092d0b58: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092d0b5c: 11093fd7  blraa	x8, x17
0xfffffff0092d0b60: 100040f9  ldr	x16, [x0]
0xfffffff0092d0b64: f10300aa  mov	x17, x0
0xfffffff0092d0b68: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0b6c: 301ac1da  autda	x16, x17
0xfffffff0092d0b70: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0b74: 1002118b  add	x16, x16, x17
0xfffffff0092d0b78: 080240f9  ldr	x8, [x16]
0xfffffff0092d0b7c: e90310aa  mov	x9, x16
0xfffffff0092d0b80: 010080d2  mov	x1, #0
0xfffffff0092d0b84: f10309aa  mov	x17, x9
0xfffffff0092d0b88: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0b8c: 11093fd7  blraa	x8, x17
0xfffffff0092d0b90: 03000014  b	#0xfffffff0092d0b9c
0xfffffff0092d0b94: 6010ffd0  adrp	x0, #0xfffffff0074de000
0xfffffff0092d0b98: 00102191  add	x0, x0, #0x844
0xfffffff0092d0b9c: a8024079  ldrh	w8, [x21]
0xfffffff0092d0ba0: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092d0ba4: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092d0ba8: f60300f9  str	x22, [sp]
0xfffffff0092d0bac: 6010fff0  adrp	x0, #0xfffffff0074df000
0xfffffff0092d0bb0: 00983891  add	x0, x0, #0xe26
0xfffffff0092d0bb4: 1b19c297  bl	#0xfffffff008357020
0xfffffff0092d0bb8: 75da3a91  add	x21, x19, #0xeb6
0xfffffff0092d0bbc: 7410fff0  adrp	x20, #0xfffffff0074df000
0xfffffff0092d0bc0: 94763791  add	x20, x20, #0xddd
0xfffffff0092d0bc4: e00314aa  mov	x0, x20
0xfffffff0092d0bc8: e10315aa  mov	x1, x21
0xfffffff0092d0bcc: 42008052  mov	w2, #2
0xfffffff0092d0bd0: fa70c697  bl	#0xfffffff00846cfb8
0xfffffff0092d0bd4: c0070034  cbz	w0, #0xfffffff0092d0ccc
0xfffffff0092d0bd8: 700240f9  ldr	x16, [x19]
0xfffffff0092d0bdc: f10313aa  mov	x17, x19
0xfffffff0092d0be0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0be4: 301ac1da  autda	x16, x17
0xfffffff0092d0be8: 113d80d2  mov	x17, #0x1e8
0xfffffff0092d0bec: 1002118b  add	x16, x16, x17
0xfffffff0092d0bf0: 080240f9  ldr	x8, [x16]
0xfffffff0092d0bf4: e90310aa  mov	x9, x16
0xfffffff0092d0bf8: e00313aa  mov	x0, x19
0xfffffff0092d0bfc: 010080d2  mov	x1, #0
0xfffffff0092d0c00: f10309aa  mov	x17, x9
0xfffffff0092d0c04: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092d0c08: 11093fd7  blraa	x8, x17
0xfffffff0092d0c0c: f60300aa  mov	x22, x0
0xfffffff0092d0c10: 700240f9  ldr	x16, [x19]
0xfffffff0092d0c14: f10313aa  mov	x17, x19
0xfffffff0092d0c18: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092d0c1c: 301ac1da  autda	x16, x17
0xfffffff0092d0c20: 116e80d2  mov	x17, #0x370
0xfffffff0092d0c24: 1002118b  add	x16, x16, x17
0xfffffff0092d0c28: 080240f9  ldr	x8, [x16]
