; Candidate 756
; ADRP+ADD at VM 0xfffffff00806b98c (fileoff 0x106798c): page=0x1ff005000 add_imm=0xd12

0xfffffff00806b90c: 0d030054  b.le	#0xfffffff00806b96c
0xfffffff00806b910: 28008052  mov	w8, #1
0xfffffff00806b914: 8a024139  ldrb	w10, [x20, #0x40]
0xfffffff00806b918: 29008052  mov	w9, #1
0xfffffff00806b91c: 8a000837  tbnz	w10, #1, #0xfffffff00806b92c
0xfffffff00806b920: 894640b9  ldr	w9, [x20, #0x44]
0xfffffff00806b924: 3f050071  cmp	w9, #1
0xfffffff00806b928: c90f0054  b.ls	#0xfffffff00806bb20
0xfffffff00806b92c: 17008052  mov	w23, #0
0xfffffff00806b930: 69760179  strh	w9, [x19, #0xba]
0xfffffff00806b934: 68720179  strh	w8, [x19, #0xb8]
0xfffffff00806b938: a80e00b9  str	w8, [x21, #0xc]
0xfffffff00806b93c: c81a44b9  ldr	w8, [x22, #0x418]
0xfffffff00806b940: 89220091  add	x9, x20, #8
0xfffffff00806b944: e20308aa  mov	x2, x8
0xfffffff00806b948: 3ffda288  casl	w2, wzr, [x9]
0xfffffff00806b94c: 5f00086b  cmp	w2, w8
0xfffffff00806b950: 40d7ff54  b.eq	#0xfffffff00806b438
0xfffffff00806b954: e00314aa  mov	x0, x20
0xfffffff00806b958: e10316aa  mov	x1, x22
0xfffffff00806b95c: 8203f597  bl	#0xfffffff007dac764
0xfffffff00806b960: b6feff17  b	#0xfffffff00806b438
0xfffffff00806b964: 17008052  mov	w23, #0
0xfffffff00806b968: e6feff17  b	#0xfffffff00806b500
0xfffffff00806b96c: f703004b  neg	w23, w0
0xfffffff00806b970: f3ffff17  b	#0xfffffff00806b93c
0xfffffff00806b974: 2080ff90  adrp	x0, #0xfffffff00706f000
0xfffffff00806b978: 00c02f91  add	x0, x0, #0xbf0
0xfffffff00806b97c: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806b980: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806b984: a25b8152  mov	w2, #0xadd
0xfffffff00806b988: a3cf1094  bl	#0xfffffff00849f814
0xfffffff00806b98c: 2080ffb0  adrp	x0, #0xfffffff007070000
0xfffffff00806b990: 00483491  add	x0, x0, #0xd12
0xfffffff00806b994: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806b998: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806b99c: 225c8152  mov	w2, #0xae1
0xfffffff00806b9a0: 9dcf1094  bl	#0xfffffff00849f814
0xfffffff00806b9a4: 2080ffb0  adrp	x0, #0xfffffff007070000
0xfffffff00806b9a8: 00e42f91  add	x0, x0, #0xbf9
0xfffffff00806b9ac: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806b9b0: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806b9b4: 025d8152  mov	w2, #0xae8
0xfffffff00806b9b8: 97cf1094  bl	#0xfffffff00849f814
0xfffffff00806b9bc: 2080ffb0  adrp	x0, #0xfffffff007070000
0xfffffff00806b9c0: 00743291  add	x0, x0, #0xc9d
0xfffffff00806b9c4: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806b9c8: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806b9cc: a25d8152  mov	w2, #0xaed
0xfffffff00806b9d0: 91cf1094  bl	#0xfffffff00849f814
0xfffffff00806b9d4: 2080ff90  adrp	x0, #0xfffffff00706f000
0xfffffff00806b9d8: 00f02f91  add	x0, x0, #0xbfc
0xfffffff00806b9dc: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806b9e0: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806b9e4: 025e8152  mov	w2, #0xaf0
0xfffffff00806b9e8: 8bcf1094  bl	#0xfffffff00849f814
0xfffffff00806b9ec: e00314aa  mov	x0, x20
0xfffffff00806b9f0: e10316aa  mov	x1, x22
0xfffffff00806b9f4: 02008052  mov	w2, #0
0xfffffff00806b9f8: 4000f597  bl	#0xfffffff007dabaf8
0xfffffff00806b9fc: 47feff17  b	#0xfffffff00806b318
0xfffffff00806ba00: 2080ff90  adrp	x0, #0xfffffff00706f000
0xfffffff00806ba04: 00d83b91  add	x0, x0, #0xef6
0xfffffff00806ba08: 2180ff90  adrp	x1, #0xfffffff00706f000
