; Candidate 13794
; ADRP+ADD at VM 0xfffffff00958c728 (fileoff 0x2588728): page=0x1fe660000 add_imm=0xda8

0xfffffff00958c6a8: 1928b797  bl	#0xfffffff00835670c
0xfffffff00958c6ac: e16f00b0  adrp	x1, #0xfffffff00a389000
0xfffffff00958c6b0: 21c00391  add	x1, x1, #0xf0
0xfffffff00958c6b4: e0448092  mov	x0, #-0x228
0xfffffff00958c6b8: 065bb597  bl	#0xfffffff0082e32d0
0xfffffff00958c6bc: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff00958c6c0: e932ffb0  adrp	x9, #0xfffffff007be9000
0xfffffff00958c6c4: 290546f9  ldr	x9, [x9, #0xc08]
0xfffffff00958c6c8: 290140f9  ldr	x9, [x9]
0xfffffff00958c6cc: 3f0108eb  cmp	x9, x8
0xfffffff00958c6d0: 21010054  b.ne	#0xfffffff00958c6f4
0xfffffff00958c6d4: e00314aa  mov	x0, x20
0xfffffff00958c6d8: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff00958c6dc: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff00958c6e0: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff00958c6e4: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00958c6e8: fa6748a9  ldp	x26, x25, [sp, #0x80]
0xfffffff00958c6ec: ff430391  add	sp, sp, #0xd0
0xfffffff00958c6f0: ff0f5fd6  retab	
0xfffffff00958c6f4: d6459f97  bl	#0xfffffff007d5de4c
0xfffffff00958c6f8: 7f2303d5  pacibsp	
0xfffffff00958c6fc: ff4301d1  sub	sp, sp, #0x50
0xfffffff00958c700: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00958c704: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00958c708: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00958c70c: fd030191  add	x29, sp, #0x40
0xfffffff00958c710: f40301aa  mov	x20, x1
0xfffffff00958c714: f50300aa  mov	x21, x0
0xfffffff00958c718: 084841f9  ldr	x8, [x0, #0x290]
0xfffffff00958c71c: 169540f9  ldr	x22, [x8, #0x128]
0xfffffff00958c720: e10b0229  stp	w1, w2, [sp, #0x10]
0xfffffff00958c724: e31b00b9  str	w3, [sp, #0x18]
0xfffffff00958c728: 0033ff90  adrp	x0, #0xfffffff007bec000
0xfffffff00958c72c: 00a03691  add	x0, x0, #0xda8
0xfffffff00958c730: 7127b797  bl	#0xfffffff0083564f4
0xfffffff00958c734: f30300aa  mov	x19, x0
0xfffffff00958c738: a00000b4  cbz	x0, #0xfffffff00958c74c
0xfffffff00958c73c: e16f00b0  adrp	x1, #0xfffffff00a389000
0xfffffff00958c740: 21c00391  add	x1, x1, #0xf0
0xfffffff00958c744: 00458052  mov	w0, #0x228
0xfffffff00958c748: e25ab597  bl	#0xfffffff0082e32d0
0xfffffff00958c74c: 62720091  add	x2, x19, #0x1c
0xfffffff00958c750: e00315aa  mov	x0, x21
0xfffffff00958c754: e10314aa  mov	x1, x20
0xfffffff00958c758: 60fdff97  bl	#0xfffffff00958bcd8
0xfffffff00958c75c: e0000034  cbz	w0, #0xfffffff00958c778
0xfffffff00958c760: a8720d91  add	x8, x21, #0x35c
0xfffffff00958c764: f42300a9  stp	x20, x8, [sp]
0xfffffff00958c768: 80fefef0  adrp	x0, #0xfffffff00755f000
0xfffffff00958c76c: 00f83191  add	x0, x0, #0xc7e
0xfffffff00958c770: 3caba097  bl	#0xfffffff007db7460
0xfffffff00958c774: 0e000014  b	#0xfffffff00958c7ac
0xfffffff00958c778: c00e40f9  ldr	x0, [x22, #0x18]
0xfffffff00958c77c: 10000090  adrp	x16, #0xfffffff00958c000
0xfffffff00958c780: 10921f91  add	x16, x16, #0x7e4
0xfffffff00958c784: b19597d2  mov	x17, #0xbcad
0xfffffff00958c788: 3002c1da  pacia	x16, x17
0xfffffff00958c78c: e20310aa  mov	x2, x16
0xfffffff00958c790: e3430091  add	x3, sp, #0x10
0xfffffff00958c794: e10313aa  mov	x1, x19
0xfffffff00958c798: 6782ff97  bl	#0xfffffff00956d134
0xfffffff00958c79c: c00e40f9  ldr	x0, [x22, #0x18]
0xfffffff00958c7a0: 600000b4  cbz	x0, #0xfffffff00958c7ac
0xfffffff00958c7a4: 01008052  mov	w1, #0
