; Candidate 2677
; ADRP+ADD at VM 0xfffffff0086dd444 (fileoff 0x16d9444): page=0x1fea54000 add_imm=0xd90

0xfffffff0086dd3c4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0086dd3c8: 60da01fd  str	d0, [x19, #0x3b0]
0xfffffff0086dd3cc: a93a4cb9  ldr	w9, [x21, #0xc38]
0xfffffff0086dd3d0: 69010034  cbz	w9, #0xfffffff0086dd3fc
0xfffffff0086dd3d4: a9727039  ldrb	w9, [x21, #0xc1c]
0xfffffff0086dd3d8: 69010037  tbnz	w9, #0, #0xfffffff0086dd404
0xfffffff0086dd3dc: 09c18052  mov	w9, #0x608
0xfffffff0086dd3e0: 4967099b  madd	x9, x26, x9, x25
0xfffffff0086dd3e4: 29014c79  ldrh	w9, [x9, #0x600]
0xfffffff0086dd3e8: 0a008052  mov	w10, #0
0xfffffff0086dd3ec: 3402a837  tbnz	w20, #0x15, #0xfffffff0086dd430
0xfffffff0086dd3f0: df020071  cmp	w22, #0
0xfffffff0086dd3f4: 2905891a  cinc	w9, w9, ne
0xfffffff0086dd3f8: 1f000014  b	#0xfffffff0086dd474
0xfffffff0086dd3fc: a95e4bb9  ldr	w9, [x21, #0xb5c]
0xfffffff0086dd400: e9feff34  cbz	w9, #0xfffffff0086dd3dc
0xfffffff0086dd404: 09c18052  mov	w9, #0x608
0xfffffff0086dd408: 4967099b  madd	x9, x26, x9, x25
0xfffffff0086dd40c: 29014c79  ldrh	w9, [x9, #0x600]
0xfffffff0086dd410: 1f01096b  cmp	w8, w9
0xfffffff0086dd414: 0831891a  csel	w8, w8, w9, lo
0xfffffff0086dd418: df020071  cmp	w22, #0
0xfffffff0086dd41c: 0019407a  ccmp	w8, #0, #0, ne
0xfffffff0086dd420: 08159f1a  csinc	w8, w8, wzr, ne
0xfffffff0086dd424: 89021012  and	w9, w20, #0x10000
0xfffffff0086dd428: 2801082a  orr	w8, w9, w8
0xfffffff0086dd42c: 19000014  b	#0xfffffff0086dd490
0xfffffff0086dd430: 36020034  cbz	w22, #0xfffffff0086dd474
0xfffffff0086dd434: 09020035  cbnz	w9, #0xfffffff0086dd474
0xfffffff0086dd438: 8853ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff0086dd43c: 08211a91  add	x8, x8, #0x688
0xfffffff0086dd440: e80300f9  str	x8, [sp]
0xfffffff0086dd444: a052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086dd448: 00403691  add	x0, x0, #0xd90
0xfffffff0086dd44c: 0199ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086dd450: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086dd454: a352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086dd458: 63b01891  add	x3, x3, #0x62c
0xfffffff0086dd45c: 02008052  mov	w2, #0
0xfffffff0086dd460: 3457f197  bl	#0xfffffff008333130
0xfffffff0086dd464: 68aa43b9  ldr	w8, [x19, #0x3a8]
0xfffffff0086dd468: 69b643b9  ldr	w9, [x19, #0x3b4]
0xfffffff0086dd46c: 2a111012  and	w10, w9, #0x1f0000
0xfffffff0086dd470: 29008052  mov	w9, #1
0xfffffff0086dd474: 3f01086b  cmp	w9, w8
0xfffffff0086dd478: 2831881a  csel	w8, w9, w8, lo
0xfffffff0086dd47c: 0a250a33  bfi	w10, w8, #0x16, #0xa
0xfffffff0086dd480: 897e1453  lsr	w9, w20, #0x14
0xfffffff0086dd484: 883e0012  and	w8, w20, #0xffff
0xfffffff0086dd488: 4801082a  orr	w8, w10, w8
0xfffffff0086dd48c: 28010b33  bfi	w8, w9, #0x15, #1
0xfffffff0086dd490: 68b603b9  str	w8, [x19, #0x3b4]
0xfffffff0086dd494: 00008052  mov	w0, #0
0xfffffff0086dd498: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff0086dd49c: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff0086dd4a0: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff0086dd4a4: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff0086dd4a8: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff0086dd4ac: fc6f46a9  ldp	x28, x27, [sp, #0x60]
0xfffffff0086dd4b0: ff030391  add	sp, sp, #0xc0
0xfffffff0086dd4b4: ff0f5fd6  retab	
0xfffffff0086dd4b8: 0cec6eb9  ldr	w12, [x0, #0x2eec]
0xfffffff0086dd4bc: 4c010034  cbz	w12, #0xfffffff0086dd4e4
0xfffffff0086dd4c0: 2a1540f9  ldr	x10, [x9, #0x28]
