; Candidate 13419
; ADRP+ADD at VM 0xfffffff0092cf844 (fileoff 0x22cb844): page=0x1fe210000 add_imm=0xe26

0xfffffff0092cf7c4: 400300b4  cbz	x0, #0xfffffff0092cf82c
0xfffffff0092cf7c8: 700240f9  ldr	x16, [x19]
0xfffffff0092cf7cc: f10313aa  mov	x17, x19
0xfffffff0092cf7d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf7d4: 301ac1da  autda	x16, x17
0xfffffff0092cf7d8: 116e80d2  mov	x17, #0x370
0xfffffff0092cf7dc: 1002118b  add	x16, x16, x17
0xfffffff0092cf7e0: 080240f9  ldr	x8, [x16]
0xfffffff0092cf7e4: e90310aa  mov	x9, x16
0xfffffff0092cf7e8: e00313aa  mov	x0, x19
0xfffffff0092cf7ec: f10309aa  mov	x17, x9
0xfffffff0092cf7f0: f176f2f2  movk	x17, #0x93b7, lsl #48
0xfffffff0092cf7f4: 11093fd7  blraa	x8, x17
0xfffffff0092cf7f8: 100040f9  ldr	x16, [x0]
0xfffffff0092cf7fc: f10300aa  mov	x17, x0
0xfffffff0092cf800: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf804: 301ac1da  autda	x16, x17
0xfffffff0092cf808: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf80c: 1002118b  add	x16, x16, x17
0xfffffff0092cf810: 080240f9  ldr	x8, [x16]
0xfffffff0092cf814: e90310aa  mov	x9, x16
0xfffffff0092cf818: 010080d2  mov	x1, #0
0xfffffff0092cf81c: f10309aa  mov	x17, x9
0xfffffff0092cf820: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf824: 11093fd7  blraa	x8, x17
0xfffffff0092cf828: 03000014  b	#0xfffffff0092cf834
0xfffffff0092cf82c: 6010fff0  adrp	x0, #0xfffffff0074de000
0xfffffff0092cf830: 00102191  add	x0, x0, #0x844
0xfffffff0092cf834: a8024079  ldrh	w8, [x21]
0xfffffff0092cf838: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0092cf83c: f78300a9  stp	x23, x0, [sp, #8]
0xfffffff0092cf840: f60300f9  str	x22, [sp]
0xfffffff0092cf844: 8010ff90  adrp	x0, #0xfffffff0074df000
0xfffffff0092cf848: 00983891  add	x0, x0, #0xe26
0xfffffff0092cf84c: f51dc297  bl	#0xfffffff008357020
0xfffffff0092cf850: 756a3a91  add	x21, x19, #0xe9a
0xfffffff0092cf854: 9410ff90  adrp	x20, #0xfffffff0074df000
0xfffffff0092cf858: 94a63091  add	x20, x20, #0xc29
0xfffffff0092cf85c: e00314aa  mov	x0, x20
0xfffffff0092cf860: e10315aa  mov	x1, x21
0xfffffff0092cf864: 42008052  mov	w2, #2
0xfffffff0092cf868: d475c697  bl	#0xfffffff00846cfb8
0xfffffff0092cf86c: c0070034  cbz	w0, #0xfffffff0092cf964
0xfffffff0092cf870: 700240f9  ldr	x16, [x19]
0xfffffff0092cf874: f10313aa  mov	x17, x19
0xfffffff0092cf878: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf87c: 301ac1da  autda	x16, x17
0xfffffff0092cf880: 113d80d2  mov	x17, #0x1e8
0xfffffff0092cf884: 1002118b  add	x16, x16, x17
0xfffffff0092cf888: 080240f9  ldr	x8, [x16]
0xfffffff0092cf88c: e90310aa  mov	x9, x16
0xfffffff0092cf890: e00313aa  mov	x0, x19
0xfffffff0092cf894: 010080d2  mov	x1, #0
0xfffffff0092cf898: f10309aa  mov	x17, x9
0xfffffff0092cf89c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092cf8a0: 11093fd7  blraa	x8, x17
0xfffffff0092cf8a4: f60300aa  mov	x22, x0
0xfffffff0092cf8a8: 700240f9  ldr	x16, [x19]
0xfffffff0092cf8ac: f10313aa  mov	x17, x19
0xfffffff0092cf8b0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092cf8b4: 301ac1da  autda	x16, x17
0xfffffff0092cf8b8: 116e80d2  mov	x17, #0x370
0xfffffff0092cf8bc: 1002118b  add	x16, x16, x17
0xfffffff0092cf8c0: 080240f9  ldr	x8, [x16]
