; Candidate 1705
; ADRP+ADD at VM 0xfffffff0084f66dc (fileoff 0x14f26dc): page=0x1febeb000 add_imm=0xe53

0xfffffff0084f665c: 00a83d91  add	x0, x0, #0xf6a
0xfffffff0084f6660: ab77fe97  bl	#0xfffffff00849450c
0xfffffff0084f6664: 5f2403d5  bti	c
0xfffffff0084f6668: 000080d2  mov	x0, #0
0xfffffff0084f666c: c0035fd6  ret	
0xfffffff0084f6670: 5f2403d5  bti	c
0xfffffff0084f6674: 20b8f717  b	#0xfffffff0082e46f4
0xfffffff0084f6678: 5f2403d5  bti	c
0xfffffff0084f667c: 1eb8f717  b	#0xfffffff0082e46f4
0xfffffff0084f6680: 7f2303d5  pacibsp	
0xfffffff0084f6684: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084f6688: fd030091  mov	x29, sp
0xfffffff0084f668c: 405ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f6690: 00603791  add	x0, x0, #0xdd8
0xfffffff0084f6694: e9caf897  bl	#0xfffffff008329238
0xfffffff0084f6698: e8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f669c: 005500f9  str	x0, [x8, #0xa8]
0xfffffff0084f66a0: 405ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f66a4: 00083891  add	x0, x0, #0xe02
0xfffffff0084f66a8: e4caf897  bl	#0xfffffff008329238
0xfffffff0084f66ac: e8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f66b0: 005900f9  str	x0, [x8, #0xb0]
0xfffffff0084f66b4: 405ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f66b8: 00883891  add	x0, x0, #0xe22
0xfffffff0084f66bc: dfcaf897  bl	#0xfffffff008329238
0xfffffff0084f66c0: e8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f66c4: 005d00f9  str	x0, [x8, #0xb8]
0xfffffff0084f66c8: 405ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f66cc: 00e43891  add	x0, x0, #0xe39
0xfffffff0084f66d0: dacaf897  bl	#0xfffffff008329238
0xfffffff0084f66d4: e8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f66d8: 006100f9  str	x0, [x8, #0xc0]
0xfffffff0084f66dc: 405ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f66e0: 004c3991  add	x0, x0, #0xe53
0xfffffff0084f66e4: d5caf897  bl	#0xfffffff008329238
0xfffffff0084f66e8: e8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f66ec: 006500f9  str	x0, [x8, #0xc8]
0xfffffff0084f66f0: 405ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084f66f4: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0084f66f8: d0caf897  bl	#0xfffffff008329238
0xfffffff0084f66fc: e8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084f6700: 006900f9  str	x0, [x8, #0xd0]
0xfffffff0084f6704: 00ef0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff0084f6708: 00601e91  add	x0, x0, #0x798
0xfffffff0084f670c: 215fff90  adrp	x1, #0xfffffff0070da000
0xfffffff0084f6710: 21180391  add	x1, x1, #0xc6
0xfffffff0084f6714: e2a4fff0  adrp	x2, #0xfffffff007995000
0xfffffff0084f6718: 42ec44f9  ldr	x2, [x2, #0x9d8]
0xfffffff0084f671c: 03248052  mov	w3, #0x120
0xfffffff0084f6720: 06b5f797  bl	#0xfffffff0082e3b38
0xfffffff0084f6724: 10a5ff90  adrp	x16, #0xfffffff007996000
0xfffffff0084f6728: 10022d91  add	x16, x16, #0xb40
0xfffffff0084f672c: 10420091  add	x16, x16, #0x10
0xfffffff0084f6730: f10300aa  mov	x17, x0
0xfffffff0084f6734: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084f6738: 300ac1da  pacda	x16, x17
0xfffffff0084f673c: 100000f9  str	x16, [x0]
0xfffffff0084f6740: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0084f6744: ff0f5fd6  retab	
0xfffffff0084f6748: 5f2403d5  bti	c
0xfffffff0084f674c: 00ef0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff0084f6750: 00601e91  add	x0, x0, #0x798
0xfffffff0084f6754: e8b7f717  b	#0xfffffff0082e46f4
0xfffffff0084f6758: 7f2303d5  pacibsp	
