; Candidate 6000
; ADRP+ADD at VM 0xfffffff00880e2c8 (fileoff 0x180a2c8): page=0x1fe9db000 add_imm=0xe80

0xfffffff00880e248: e9258052  mov	w9, #0x12f
0xfffffff00880e24c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880e250: 6850ffb0  adrp	x8, #0xfffffff00721b000
0xfffffff00880e254: 08c93b91  add	x8, x8, #0xef2
0xfffffff00880e258: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880e25c: c80e8052  mov	w8, #0x76
0xfffffff00880e260: f92300a9  stp	x25, x8, [sp]
0xfffffff00880e264: c04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880e268: 00003a91  add	x0, x0, #0xe80
0xfffffff00880e26c: c18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00880e270: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880e274: c351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff00880e278: 633c0191  add	x3, x3, #0x4f
0xfffffff00880e27c: 02008052  mov	w2, #0
0xfffffff00880e280: ac93ec97  bl	#0xfffffff008333130
0xfffffff00880e284: 19008052  mov	w25, #0
0xfffffff00880e288: 18000014  b	#0xfffffff00880e2e8
0xfffffff00880e28c: c8970294  bl	#0xfffffff0088b41ac
0xfffffff00880e290: fb0300aa  mov	x27, x0
0xfffffff00880e294: 80008052  mov	w0, #4
0xfffffff00880e298: 6eb50194  bl	#0xfffffff00887b850
0xfffffff00880e29c: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00880e2a0: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00880e2a4: 0850ffd0  adrp	x8, #0xfffffff007210000
0xfffffff00880e2a8: 08b92791  add	x8, x8, #0x9ee
0xfffffff00880e2ac: 09278052  mov	w9, #0x138
0xfffffff00880e2b0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880e2b4: 6850ffb0  adrp	x8, #0xfffffff00721b000
0xfffffff00880e2b8: 08c93b91  add	x8, x8, #0xef2
0xfffffff00880e2bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880e2c0: 880e8052  mov	w8, #0x74
0xfffffff00880e2c4: fb2300a9  stp	x27, x8, [sp]
0xfffffff00880e2c8: c04efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880e2cc: 00003a91  add	x0, x0, #0xe80
0xfffffff00880e2d0: c18fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00880e2d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880e2d8: c351ffb0  adrp	x3, #0xfffffff007247000
0xfffffff00880e2dc: 631c0291  add	x3, x3, #0x87
0xfffffff00880e2e0: 02008052  mov	w2, #0
0xfffffff00880e2e4: 9393ec97  bl	#0xfffffff008333130
0xfffffff00880e2e8: 800e8052  mov	w0, #0x74
0xfffffff00880e2ec: e1008052  mov	w1, #7
0xfffffff00880e2f0: 38b50194  bl	#0xfffffff00887b7d0
0xfffffff00880e2f4: 60050034  cbz	w0, #0xfffffff00880e3a0
0xfffffff00880e2f8: 800e8052  mov	w0, #0x74
0xfffffff00880e2fc: 47b50194  bl	#0xfffffff00887b818
0xfffffff00880e300: fc0300aa  mov	x28, x0
0xfffffff00880e304: aa970294  bl	#0xfffffff0088b41ac
0xfffffff00880e308: fb0300aa  mov	x27, x0
0xfffffff00880e30c: e0008052  mov	w0, #7
0xfffffff00880e310: 50b50194  bl	#0xfffffff00887b850
0xfffffff00880e314: dc010034  cbz	w28, #0xfffffff00880e34c
0xfffffff00880e318: f8eb04a9  stp	x24, x26, [sp, #0x48]
0xfffffff00880e31c: f6df03a9  stp	x22, x23, [sp, #0x38]
0xfffffff00880e320: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00880e324: 6850ffb0  adrp	x8, #0xfffffff00721b000
0xfffffff00880e328: 08c93b91  add	x8, x8, #0xef2
0xfffffff00880e32c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00880e330: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00880e334: 880e8052  mov	w8, #0x74
0xfffffff00880e338: 6050ffb0  adrp	x0, #0xfffffff00721b000
0xfffffff00880e33c: 00883e91  add	x0, x0, #0xfa2
0xfffffff00880e340: fb2300a9  stp	x27, x8, [sp]
0xfffffff00880e344: 47a4d697  bl	#0xfffffff007db7460
