; Candidate 16739
; ADRP+ADD at VM 0xfffffff009f3d010 (fileoff 0x2f39010): page=0x1fddfe000 add_imm=0xd48

0xfffffff009f3cf90: c23e40f9  ldr	x2, [x22, #0x78]
0xfffffff009f3cf94: e4230091  add	x4, sp, #8
0xfffffff009f3cf98: e5130091  add	x5, sp, #4
0xfffffff009f3cf9c: e00316aa  mov	x0, x22
0xfffffff009f3cfa0: e10317aa  mov	x1, x23
0xfffffff009f3cfa4: 03008052  mov	w3, #0
0xfffffff009f3cfa8: fdfbff97  bl	#0xfffffff009f3bf9c
0xfffffff009f3cfac: c03600b9  str	w0, [x22, #0x34]
0xfffffff009f3cfb0: a0000034  cbz	w0, #0xfffffff009f3cfc4
0xfffffff009f3cfb4: c80a40f9  ldr	x8, [x22, #0x10]
0xfffffff009f3cfb8: 08f95b92  and	x8, x8, #0xffffffefffffffff
0xfffffff009f3cfbc: 08017db2  orr	x8, x8, #8
0xfffffff009f3cfc0: c80a00f9  str	x8, [x22, #0x10]
0xfffffff009f3cfc4: e00313aa  mov	x0, x19
0xfffffff009f3cfc8: 15ddff97  bl	#0xfffffff009f3441c
0xfffffff009f3cfcc: e00316aa  mov	x0, x22
0xfffffff009f3cfd0: 1ce8ff97  bl	#0xfffffff009f37040
0xfffffff009f3cfd4: 88d24139  ldrb	w8, [x20, #0x74]
0xfffffff009f3cfd8: d6240090  adrp	x22, #0xfffffff00a3d4000
0xfffffff009f3cfdc: d6222a91  add	x22, x22, #0xa88
0xfffffff009f3cfe0: e8010034  cbz	w8, #0xfffffff009f3d01c
0xfffffff009f3cfe4: 813e40f9  ldr	x1, [x20, #0x78]
0xfffffff009f3cfe8: a10100b4  cbz	x1, #0xfffffff009f3d01c
0xfffffff009f3cfec: a80640b9  ldr	w8, [x21, #4]
0xfffffff009f3cff0: e80308cb  neg	x8, x8
0xfffffff009f3cff4: c80228f8  ldadd	x8, x8, [x22]
0xfffffff009f3cff8: a80640b9  ldr	w8, [x21, #4]
0xfffffff009f3cffc: 082100d1  sub	x8, x8, #8
0xfffffff009f3d000: 082100b1  adds	x8, x8, #8
0xfffffff009f3d004: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff009f3d008: 2221889a  csel	x2, x9, x8, hs
0xfffffff009f3d00c: 9f3e00f9  str	xzr, [x20, #0x78]
0xfffffff009f3d010: e0effed0  adrp	x0, #0xfffffff007d3b000
0xfffffff009f3d014: 00203591  add	x0, x0, #0xd48
0xfffffff009f3d018: 74679097  bl	#0xfffffff008356de8
0xfffffff009f3d01c: e0effe90  adrp	x0, #0xfffffff007d39000
0xfffffff009f3d020: 00601991  add	x0, x0, #0x658
0xfffffff009f3d024: e10314aa  mov	x1, x20
0xfffffff009f3d028: b9659097  bl	#0xfffffff00835670c
0xfffffff009f3d02c: e80f8092  mov	x8, #-0x80
0xfffffff009f3d030: c80228f8  ldadd	x8, x8, [x22]
0xfffffff009f3d034: 68320e91  add	x8, x19, #0x38c
0xfffffff009f3d038: 09008012  mov	w9, #-1
0xfffffff009f3d03c: 080129b8  ldadd	w9, w8, [x8]
0xfffffff009f3d040: 1f050071  cmp	w8, #1
0xfffffff009f3d044: a1020054  b.ne	#0xfffffff009f3d098
0xfffffff009f3d048: 68220e91  add	x8, x19, #0x388
0xfffffff009f3d04c: 08013fb8  ldadd	wzr, w8, [x8]
0xfffffff009f3d050: 48020034  cbz	w8, #0xfffffff009f3d098
0xfffffff009f3d054: e00313aa  mov	x0, x19
0xfffffff009f3d058: 56c27997  bl	#0xfffffff007dad9b0
0xfffffff009f3d05c: e00313aa  mov	x0, x19
0xfffffff009f3d060: 6f668a97  bl	#0xfffffff0081d6a1c
0xfffffff009f3d064: e00313aa  mov	x0, x19
0xfffffff009f3d068: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009f3d06c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009f3d070: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009f3d074: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009f3d078: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff009f3d07c: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff009f3d080: ffc30191  add	sp, sp, #0x70
0xfffffff009f3d084: ff2303d5  autibsp	
0xfffffff009f3d088: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009f3d08c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009f3d094
