; Candidate 3035
; ADRP+ADD at VM 0xfffffff00870da90 (fileoff 0x1709a90): page=0x1fea24000 add_imm=0xd90

0xfffffff00870da10: 301ac1da  autda	x16, x17
0xfffffff00870da14: 088e4ff8  ldr	x8, [x16, #0xf8]!
0xfffffff00870da18: e90310aa  mov	x9, x16
0xfffffff00870da1c: e00313aa  mov	x0, x19
0xfffffff00870da20: f10309aa  mov	x17, x9
0xfffffff00870da24: b156ebf2  movk	x17, #0x5ab5, lsl #48
0xfffffff00870da28: 11093fd7  blraa	x8, x17
0xfffffff00870da2c: 40020034  cbz	w0, #0xfffffff00870da74
0xfffffff00870da30: 2051ff90  adrp	x0, #0xfffffff007131000
0xfffffff00870da34: 00403691  add	x0, x0, #0xd90
0xfffffff00870da38: 8197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00870da3c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870da40: 4351ffd0  adrp	x3, #0xfffffff007137000
0xfffffff00870da44: 63800291  add	x3, x3, #0xa0
0xfffffff00870da48: 02008052  mov	w2, #0
0xfffffff00870da4c: b995f097  bl	#0xfffffff008333130
0xfffffff00870da50: 00268052  mov	w0, #0x130
0xfffffff00870da54: fd7b50a9  ldp	x29, x30, [sp, #0x100]
0xfffffff00870da58: f44f4fa9  ldp	x20, x19, [sp, #0xf0]
0xfffffff00870da5c: f6574ea9  ldp	x22, x21, [sp, #0xe0]
0xfffffff00870da60: f85f4da9  ldp	x24, x23, [sp, #0xd0]
0xfffffff00870da64: fa674ca9  ldp	x26, x25, [sp, #0xc0]
0xfffffff00870da68: fc6f4ba9  ldp	x28, x27, [sp, #0xb0]
0xfffffff00870da6c: ff430491  add	sp, sp, #0x110
0xfffffff00870da70: ff0f5fd6  retab	
0xfffffff00870da74: 68864fb9  ldr	w8, [x19, #0xf84]
0xfffffff00870da78: 09050011  add	w9, w8, #1
0xfffffff00870da7c: 699227b9  str	w9, [x19, #0x2790]
0xfffffff00870da80: 682a4039  ldrb	w8, [x19, #0xa]
0xfffffff00870da84: 88010034  cbz	w8, #0xfffffff00870dab4
0xfffffff00870da88: 3f110071  cmp	w9, #4
0xfffffff00870da8c: a3020054  b.lo	#0xfffffff00870dae0
0xfffffff00870da90: 2051ff90  adrp	x0, #0xfffffff007131000
0xfffffff00870da94: 00403691  add	x0, x0, #0xd90
0xfffffff00870da98: 8197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00870da9c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870daa0: 4351ffd0  adrp	x3, #0xfffffff007137000
0xfffffff00870daa4: 63440391  add	x3, x3, #0xd1
0xfffffff00870daa8: 02008052  mov	w2, #0
0xfffffff00870daac: a195f097  bl	#0xfffffff008333130
0xfffffff00870dab0: 88ffff17  b	#0xfffffff00870d8d0
0xfffffff00870dab4: 3f0d0071  cmp	w9, #3
0xfffffff00870dab8: 43010054  b.lo	#0xfffffff00870dae0
0xfffffff00870dabc: 2051ff90  adrp	x0, #0xfffffff007131000
0xfffffff00870dac0: 00403691  add	x0, x0, #0xd90
0xfffffff00870dac4: 8197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00870dac8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00870dacc: 4351ffd0  adrp	x3, #0xfffffff007137000
0xfffffff00870dad0: 63f40391  add	x3, x3, #0xfd
0xfffffff00870dad4: 02008052  mov	w2, #0
0xfffffff00870dad8: 9695f097  bl	#0xfffffff008333130
0xfffffff00870dadc: 7dffff17  b	#0xfffffff00870d8d0
0xfffffff00870dae0: 0a0080d2  mov	x10, #0
0xfffffff00870dae4: 29008052  mov	w9, #1
0xfffffff00870dae8: 09a32c39  strb	w9, [x24, #0xb28]
0xfffffff00870daec: 1fb33539  strb	wzr, [x24, #0xd6c]
0xfffffff00870daf0: 1fa30d79  strh	wzr, [x24, #0x6d0]
0xfffffff00870daf4: 0b008012  mov	w11, #-1
0xfffffff00870daf8: 6b7e27b9  str	w11, [x19, #0x277c]
0xfffffff00870dafc: 09df1a79  strh	w9, [x24, #0xd6e]
0xfffffff00870db00: 7f422eb9  str	wzr, [x19, #0x2e40]
0xfffffff00870db04: 4df48452  mov	w13, #0x27a2
0xfffffff00870db08: 6c5e52f9  ldr	x12, [x19, #0x24b8]
0xfffffff00870db0c: 6d020d8b  add	x13, x19, x13
